Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,51.889999,52.099998,51.41,51.610001,4279800,46.457502
2014-05-02,51.41,51.720001,51.0,51.18,3341300,46.070431
2014-05-05,50.990002,51.369999,50.310001,51.360001,2580300,46.232461
2014-05-06,51.200001,51.299999,50.830002,50.91,3353200,45.827386
2014-05-07,52.380001,52.869999,51.27,52.790001,7022600,47.519697
2014-05-08,52.689999,53.09,51.959999,52.150002,4092100,46.943592
2014-05-09,52.07,52.349998,51.080002,52.259998,5012500,47.042607
2014-05-12,52.360001,52.560001,52.220001,52.369999,3626400,47.141626
2014-05-13,52.450001,52.5,51.919998,52.200001,4145200,46.988599
2014-05-14,52.23,53.0,52.080002,52.869999,4878400,47.591708
2014-05-15,52.959999,53.07,52.419998,52.689999,6963800,47.429678
2014-05-16,52.650002,52.970001,52.41,52.93,5826200,47.645719
2014-05-19,52.84,54.209999,52.709999,54.110001,6010500,48.707914
2014-05-20,53.860001,53.93,53.310001,53.540001,5021200,48.19482
2014-05-21,53.5,53.84,53.099998,53.27,4088000,47.951775
2014-05-22,53.290001,54.34,52.939999,53.630001,4486400,48.275835
2014-05-23,53.939999,54.380001,53.84,53.950001,3023500,48.563888
2014-05-27,54.200001,54.200001,53.779999,53.990002,3816300,48.599895
2014-05-28,53.959999,54.610001,53.82,54.07,4108300,48.671906
2014-05-29,54.099998,54.450001,53.75,54.029999,2768600,48.635899
2014-05-30,53.98,54.43,53.889999,54.330002,4025600,48.905951
2014-06-02,54.43,54.950001,53.91,54.150002,3635000,48.743921
2014-06-03,54.060001,54.470001,53.869999,54.369999,3078000,48.941955
2014-06-04,53.919998,54.639999,53.669998,54.580002,3388200,49.130992
2014-06-05,54.549999,55.32,54.360001,55.299999,4847300,49.779109
2014-06-06,55.32,55.400002,54.889999,55.099998,3449800,49.599075
2014-06-09,54.419998,54.880001,53.720001,53.84,6297500,48.464869
2014-06-10,53.139999,54.080002,52.290001,53.970001,8414700,48.581891
2014-06-11,53.849998,54.700001,53.75,54.23,5386800,48.815933
2014-06-12,54.220001,54.25,53.459999,53.66,3941600,48.302839
2014-06-13,53.669998,54.310001,53.439999,54.16,4413000,48.752921
2014-06-16,54.18,54.310001,53.450001,54.0,4410400,48.608895
2014-06-17,54.490002,54.540001,53.849998,54.299999,3385000,48.878944
2014-06-18,54.27,54.610001,54.0,54.57,3337300,49.121989
2014-06-19,54.139999,54.810001,53.919998,54.189999,3952800,48.779925
2014-06-20,55.619999,55.619999,53.16,53.299999,13457700,47.978779
2014-06-23,53.759998,54.400002,53.540001,53.75,6235600,48.383854
