Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,199.100006,199.100006,195.520004,195.869995,441000,195.367525
2014-05-02,195.660004,197.130005,194.429993,196.960007,403700,196.45474
2014-05-05,195.029999,196.080002,193.229996,195.699997,261400,195.197963
2014-05-06,195.440002,195.440002,192.380005,192.639999,262600,192.145815
2014-05-07,193.630005,196.059998,190.960007,196.039993,416300,195.537087
2014-05-08,195.149994,197.699997,191.839996,192.199997,547600,191.706942
2014-05-09,192.679993,192.710007,190.009995,191.679993,418800,191.188271
2014-05-12,193.050003,196.179993,192.809998,195.679993,297800,195.17801
2014-05-13,195.830002,196.179993,192.839996,193.339996,272400,192.844017
2014-05-14,192.600006,193.820007,190.300003,190.460007,213000,189.971415
2014-05-15,189.300003,189.800003,183.380005,185.889999,436200,185.413131
2014-05-16,186.699997,186.729996,183.520004,185.029999,333700,184.555337
2014-05-19,184.460007,188.600006,183.550003,188.5,419500,188.016436
2014-05-20,187.720001,187.720001,183.5,184.369995,467600,183.897026
2014-05-21,185.419998,188.460007,185.199997,186.259995,489900,185.782177
2014-05-22,187.169998,190.779999,186.5,189.830002,528200,189.343026
2014-05-23,189.770004,191.5,189.240005,189.850006,397200,189.362979
2014-05-27,190.779999,191.960007,189.559998,190.740005,282600,190.250696
2014-05-28,190.779999,191.449997,186.529999,186.529999,711700,186.051489
2014-05-29,187.149994,189.679993,186.089996,189.649994,346200,189.16348
2014-05-30,188.820007,189.600006,186.960007,188.600006,325700,188.116186
2014-06-02,189.270004,190.570007,185.729996,190.380005,380600,189.891618
2014-06-03,189.449997,190.929993,188.169998,190.699997,411900,190.21079
2014-06-04,190.300003,194.009995,188.970001,193.75,468300,193.252968
2014-06-05,194.690002,198.800003,192.789993,198.550003,678700,198.040658
2014-06-06,198.809998,202.119995,197.699997,201.580002,624000,201.062884
2014-06-09,200.899994,202.289993,200.169998,201.020004,366200,200.504323
2014-06-10,200.039993,200.190002,198.630005,200.169998,237300,199.656497
2014-06-11,198.889999,199.389999,197.570007,199.259995,259400,198.748828
2014-06-12,198.369995,199.919998,197.580002,197.940002,346900,197.432222
2014-06-13,198.820007,198.919998,196.289993,196.970001,260300,196.464709
2014-06-16,196.970001,201.089996,196.889999,200.919998,611600,200.404573
2014-06-17,199.899994,204.880005,199.899994,203.589996,519000,203.067722
2014-06-18,204.070007,204.070007,200.669998,202.869995,423600,202.349568
2014-06-19,203.729996,204.619995,200.470001,201.729996,272100,201.212493
2014-06-20,202.160004,203.669998,201.679993,203.380005,741800,202.858269
2014-06-23,203.270004,204.5,201.75,203.380005,332800,202.858269
2014-06-24,202.210007,204.940002,201.369995,201.559998,352400,201.042931
2014-06-25,201.619995,205.339996,201.029999,203.979996,972100,203.456721
2014-06-26,204.470001,204.679993,200.220001,200.550003,690500,200.035527
2014-06-27,199.690002,203.059998,199.320007,202.449997,802700,201.930647
2014-06-30,201.839996,205.929993,201.839996,205.399994,8627900,204.873076
2014-07-01,207.449997,208.259995,205.160004,205.279999,800300,204.753389
2014-07-02,204.880005,206.5,204.220001,205.770004,538200,205.242137
2014-07-03,206.720001,208.940002,205.679993,208.660004,269100,208.124723
2014-07-07,207.899994,208.710007,206.009995,206.649994,446500,206.11987
2014-07-08,206.399994,206.830002,204.190002,205.699997,511200,205.17231
2014-07-09,207.919998,208.009995,204.699997,205.520004,790100,204.992779
2014-07-10,201.460007,203.550003,200.649994,202.820007,497800,202.299708
2014-07-11,202.770004,204.610001,202.320007,203.910004,259100,203.386908
2014-07-14,206.259995,206.259995,204.119995,204.770004,360100,204.244703
2014-07-15,204.460007,206.820007,203.690002,205.059998,389400,204.533952
2014-07-16,206.259995,209.470001,204.550003,205.539993,246200,205.012717
2014-07-17,204.190002,207.110001,201.860001,202.240005,414900,201.721194
2014-07-18,203.130005,206.479996,202.520004,205.529999,374300,205.002748
2014-07-21,203.850006,205.600006,203.160004,205.220001,217300,204.693545
2014-07-22,206.919998,208.600006,205.919998,207.210007,336400,206.678446
2014-07-23,207.229996,209.009995,206.360001,206.669998,252100,206.139823
