Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,73.760002,73.860001,72.889999,73.57,386200,66.551998
2014-05-02,73.470001,74.669998,73.440002,74.300003,260400,67.212365
2014-05-05,73.959999,74.5,73.830002,74.25,320600,67.167132
2014-05-06,73.0,74.690002,73.0,74.68,559700,67.556113
2014-05-07,74.889999,75.440002,74.220001,74.769997,494100,67.637525
2014-05-08,74.730003,75.660004,74.599998,74.739998,384100,67.610387
2014-05-09,74.800003,75.25,74.489998,74.970001,290100,67.81845
2014-05-12,75.190002,75.639999,74.900002,75.290001,283900,68.107925
2014-05-13,75.370003,76.07,74.68,75.0,207200,67.845587
2014-05-14,75.080002,75.519997,74.419998,75.239998,281300,68.062691
2014-05-15,75.050003,75.440002,74.290001,75.43,293200,68.234569
2014-05-16,75.269997,75.989998,74.970001,75.980003,160800,68.732106
2014-05-19,76.050003,76.300003,75.459999,75.660004,257300,68.442632
2014-05-20,75.580002,76.019997,75.059998,75.169998,271100,67.999369
2014-05-21,75.360001,75.639999,74.760002,74.980003,171000,67.827498
2014-05-22,74.970001,75.290001,74.529999,74.610001,218200,67.492791
2014-05-23,74.849998,75.410004,74.489998,75.199997,265400,68.026506
2014-05-27,75.239998,75.309998,74.260002,74.849998,590600,67.709895
2014-05-28,74.790001,74.93,74.18,74.860001,454800,67.718943
2014-05-29,75.019997,75.529999,74.709999,75.470001,188800,68.270754
2014-05-30,75.449997,76.279999,75.269997,76.089996,521900,68.831607
2014-06-02,75.919998,77.080002,75.809998,76.889999,348300,69.555296
2014-06-03,76.860001,77.150002,76.419998,76.989998,241700,69.645755
2014-06-04,76.860001,77.190002,76.519997,77.019997,227100,69.672892
2014-06-05,77.129997,78.360001,76.900002,78.300003,360000,70.830796
2014-06-06,78.379997,78.690002,77.599998,77.779999,330300,70.360396
2014-06-09,77.809998,78.07,76.959999,77.18,210700,69.817633
2014-06-10,77.07,77.339996,76.370003,76.650002,255400,69.338192
2014-06-11,76.599998,76.940002,76.099998,76.400002,226300,69.11204
2014-06-12,76.25,76.980003,75.739998,76.910004,450200,69.573392
2014-06-13,77.099998,77.300003,76.309998,76.730003,214300,69.410562
2014-06-16,76.75,77.139999,76.209999,76.559998,199700,69.256773
2014-06-17,76.660004,77.160004,76.419998,76.860001,362400,69.528159
2014-06-18,76.830002,77.519997,76.75,77.370003,246500,69.98951
2014-06-19,77.519997,77.830002,77.199997,77.5,255400,70.107107
2014-06-20,77.489998,77.580002,76.480003,76.940002,666300,69.600529
2014-06-23,77.040001,77.400002,76.730003,76.779999,220200,69.455788
2014-06-24,76.860001,77.150002,76.580002,76.940002,241900,69.600529
2014-06-25,76.980003,77.370003,76.82,77.129997,224900,69.7724
2014-06-26,76.43,76.43,75.900002,76.32,203200,69.690221
2014-06-27,76.279999,77.080002,75.739998,77.059998,441600,70.365937
2014-06-30,76.910004,77.650002,76.760002,77.639999,551100,70.895555
2014-07-01,77.889999,78.150002,77.150002,77.830002,727600,71.069052
2014-07-02,77.580002,78.089996,77.080002,77.900002,380000,71.132971
