Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,136.759995,136.979996,135.0,136.369995,720600,124.595256
2014-05-02,135.869995,137.119995,135.389999,137.070007,835200,125.234826
2014-05-05,136.619995,138.300003,136.270004,138.240005,491400,126.303802
2014-05-06,137.259995,138.119995,137.050003,137.520004,529900,125.645968
2014-05-07,138.289993,139.720001,137.440002,139.110001,1047300,127.098678
2014-05-08,139.080002,140.0,138.619995,139.649994,679800,127.592046
2014-05-09,139.529999,139.990005,138.490005,139.330002,602800,127.299683
2014-05-12,139.399994,140.639999,139.270004,140.440002,566900,128.313842
2014-05-13,139.960007,141.289993,138.839996,139.139999,584000,127.126086
2014-05-14,139.399994,139.839996,138.630005,139.080002,413600,127.071269
2014-05-15,139.220001,140.440002,138.820007,140.229996,1192100,128.121968
2014-05-16,140.039993,140.699997,139.470001,140.630005,742800,128.487439
2014-05-19,140.399994,141.0,139.699997,140.860001,763300,128.697576
2014-05-20,140.289993,141.039993,139.660004,140.350006,753500,128.231616
2014-05-21,140.429993,141.199997,139.309998,139.830002,650700,127.756511
2014-05-22,139.690002,140.380005,139.070007,139.360001,604300,127.327092
2014-05-23,139.660004,140.130005,139.449997,140.059998,477700,127.966648
2014-05-27,140.270004,141.0,140.160004,140.619995,738200,128.478293
2014-05-28,140.619995,140.830002,139.550003,140.270004,846000,128.158522
2014-05-29,140.440002,140.649994,139.520004,140.360001,606700,128.240748
2014-05-30,140.509995,141.949997,139.850006,141.839996,1669500,129.592955
2014-06-02,141.740005,142.429993,141.679993,141.850006,1003700,129.6021
2014-06-03,141.509995,142.580002,141.419998,142.369995,498300,130.077191
2014-06-04,142.0,142.910004,141.860001,142.639999,581500,130.323882
2014-06-05,142.779999,144.509995,142.199997,144.410004,670800,131.941057
2014-06-06,144.339996,144.410004,142.059998,142.559998,746200,130.250788
2014-06-09,142.630005,143.279999,139.360001,139.919998,1266800,127.838737
2014-06-10,139.509995,140.229996,138.789993,139.089996,867600,127.080401
2014-06-11,139.089996,139.449997,138.259995,138.949997,624900,126.95249
2014-06-12,138.910004,139.669998,138.070007,139.289993,731400,127.263129
2014-06-13,139.660004,140.279999,138.520004,140.020004,569600,127.930108
2014-06-16,139.720001,140.279999,138.949997,139.149994,561300,127.135218
2014-06-17,139.089996,140.300003,138.509995,140.25,1174900,128.140245
2014-06-18,139.75,141.039993,138.820007,140.75,637800,128.597073
2014-06-19,140.679993,141.410004,140.449997,141.399994,703400,129.190944
2014-06-20,141.979996,142.0,140.440002,141.300003,1671900,129.099587
2014-06-23,141.279999,142.350006,140.949997,141.720001,680800,129.48332
2014-06-24,141.279999,142.490005,141.279999,142.470001,550900,130.168562
2014-06-25,142.020004,142.949997,142.020004,142.839996,571300,130.506611
2014-06-26,141.529999,142.009995,140.929993,141.369995,363600,130.221054
2014-06-27,141.110001,142.410004,140.919998,142.350006,453100,131.123778
2014-06-30,142.559998,143.050003,140.899994,142.190002,624700,130.976392
2014-07-01,142.139999,142.949997,141.350006,142.399994,744800,131.169823
2014-07-02,142.440002,142.600006,141.289993,142.550003,363100,131.308002
2014-07-03,142.309998,142.649994,140.919998,142.029999,304400,130.829007
2014-07-07,141.809998,142.929993,141.800003,142.679993,519500,131.42774
2014-07-08,142.399994,144.0,142.350006,143.460007,404600,132.14624
2014-07-09,143.899994,144.0,142.389999,143.509995,476000,132.192285
2014-07-10,142.839996,144.820007,142.679993,143.800003,624000,132.459423
2014-07-11,143.479996,144.300003,143.059998,143.860001,530800,132.514689
2014-07-14,144.119995,145.320007,143.630005,145.270004,494400,133.813494
2014-07-15,145.330002,146.339996,145.0,146.050003,709300,134.53198
2014-07-16,146.25,146.850006,145.529999,146.679993,485600,135.112286
2014-07-17,146.009995,146.929993,145.509995,146.119995,564400,134.596452
2014-07-18,146.419998,147.550003,145.789993,147.320007,663400,135.701827
2014-07-21,147.119995,147.169998,146.270004,146.270004,457800,134.734631
2014-07-22,146.490005,147.300003,146.25,146.369995,671300,134.826736
2014-07-23,146.380005,146.679993,145.139999,145.139999,1216900,133.693742
2014-07-24,150.0,151.0,146.399994,149.149994,1495300,137.387494
2014-07-25,148.869995,148.960007,147.570007,147.979996,594800,136.309766
2014-07-28,148.100006,150.869995,148.100006,150.199997,682300,138.35469
2014-07-29,149.589996,150.449997,148.669998,149.639999,668100,137.838856
2014-07-30,149.639999,151.399994,149.639999,150.979996,844600,139.073176
2014-07-31,150.320007,150.860001,148.059998,148.080002,978200,136.401886
2014-08-01,148.210007,149.770004,147.910004,148.679993,898100,136.954559
2014-08-04,148.600006,150.720001,147.529999,150.309998,535300,138.456016
2014-08-05,149.389999,150.320007,148.289993,148.830002,610100,137.092738
2014-08-06,149.210007,149.600006,148.160004,149.380005,566400,137.599366
2014-08-07,149.550003,150.059998,148.460007,149.070007,570800,137.313816
2014-08-08,149.570007,149.839996,148.460007,149.800003,508100,137.986241
2014-08-11,149.800003,151.259995,149.479996,150.539993,507200,138.667873
2014-08-12,150.119995,151.130005,150.059998,150.440002,576300,138.575768
