Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,62.919998,64.900002,62.580002,63.490002,1886300,60.816811
2014-05-02,64.720001,64.989998,63.18,64.269997,1340700,61.563965
2014-05-05,63.869999,64.449997,63.02,64.25,1352900,61.54481
2014-05-06,67.93,68.080002,66.25,67.339996,12780200,64.504705
2014-05-07,67.75,68.610001,66.349998,66.809998,56028000,63.997021
2014-05-08,66.809998,68.93,66.709999,67.949997,5370000,65.089022
2014-05-09,67.919998,68.559998,66.68,67.410004,3870000,64.571764
2014-05-12,67.93,69.18,67.410004,69.129997,2739400,66.219339
2014-05-13,69.269997,69.339996,68.559998,68.760002,2302100,65.864922
2014-05-14,68.540001,69.599998,67.550003,68.510002,3024300,65.625448
2014-05-15,68.669998,68.949997,67.110001,67.93,3209300,65.069867
2014-05-16,68.089996,68.93,67.32,68.480003,5204400,65.596713
2014-05-19,69.099998,69.410004,68.139999,68.32,3778900,65.443446
2014-05-20,68.360001,68.379997,66.919998,67.519997,2908500,64.677126
2014-05-21,67.519997,68.440002,67.370003,68.410004,1689600,65.52966
2014-05-22,68.43,69.220001,67.879997,68.68,1567900,65.788289
2014-05-23,69.120003,70.610001,68.730003,70.550003,3201700,67.579557
2014-05-27,71.029999,71.279999,70.32,70.93,3163700,67.943555
2014-05-28,70.550003,70.75,69.839996,70.099998,3492700,67.148499
2014-05-29,70.480003,70.849998,69.809998,70.790001,2756600,67.80945
2014-05-30,71.849998,72.0,69.410004,70.669998,3893800,67.6945
2014-06-02,71.209999,72.0,70.599998,71.639999,2659900,68.62366
2014-06-03,71.330002,72.080002,70.839996,71.449997,2230800,68.441657
2014-06-04,71.260002,71.860001,71.139999,71.610001,1937900,68.594924
2014-06-05,71.510002,72.0,71.230003,71.870003,2728800,68.843979
2014-06-06,72.279999,72.349998,71.239998,71.629997,1586600,68.614079
2014-06-09,71.879997,72.5,71.470001,71.790001,1742000,68.767346
2014-06-10,71.75,72.25,71.5,71.860001,1640900,68.834398
2014-06-11,71.669998,72.389999,71.349998,71.75,2494300,68.729029
2014-06-12,71.339996,72.040001,71.199997,71.760002,1360400,68.73861
2014-06-13,72.18,72.449997,70.910004,71.419998,1350800,68.412922
2014-06-16,71.470001,71.940002,70.599998,70.879997,1566800,67.895657
2014-06-17,70.589996,71.620003,70.589996,71.480003,1381700,68.751694
2014-06-18,71.580002,71.879997,70.550003,71.220001,1383300,68.501616
2014-06-19,71.129997,71.32,70.339996,70.93,1273400,68.222684
2014-06-20,71.160004,71.949997,70.870003,71.57,2183400,68.838255
2014-06-23,71.610001,71.959999,70.790001,71.239998,1334900,68.520849
2014-06-24,71.779999,72.300003,70.629997,70.669998,1530400,67.972606
2014-06-25,70.580002,71.699997,70.059998,71.629997,1282700,68.895963
2014-06-26,71.720001,71.870003,70.379997,70.959999,812600,68.251538
2014-06-27,70.739998,71.169998,70.25,70.940002,1693500,68.232304
2014-06-30,70.919998,72.07,70.919998,72.07,1777300,69.319171
2014-07-01,72.480003,74.129997,72.349998,74.029999,2142900,71.204359
2014-07-02,73.580002,74.599998,73.580002,74.32,1608100,71.483291
2014-07-03,74.669998,75.370003,74.410004,75.18,799400,72.310466
2014-07-07,75.43,75.550003,74.43,74.529999,1906600,71.685275
2014-07-08,74.330002,74.5,72.099998,73.389999,1916900,70.588788
2014-07-09,73.660004,74.230003,73.089996,74.230003,979800,71.39673
2014-07-10,72.07,73.540001,72.050003,73.150002,1547900,70.35795
2014-07-11,73.269997,73.480003,72.669998,73.199997,1251700,70.406037
2014-07-14,74.57,74.900002,73.410004,74.040001,1224200,71.213979
2014-07-15,74.010002,74.379997,72.690002,73.419998,1455600,70.617641
2014-07-16,73.110001,74.379997,72.75,73.650002,1518000,70.838866
2014-07-17,73.260002,73.669998,71.660004,71.900002,1781600,69.155661
2014-07-18,72.739998,75.260002,72.610001,75.0,3394900,72.137336
2014-07-21,74.519997,75.5,74.489998,75.419998,1536800,72.541304
2014-07-22,75.580002,76.440002,75.300003,75.389999,2399700,72.51245
2014-07-23,75.699997,75.709999,73.589996,73.629997,2445000,70.819625
2014-07-24,73.699997,73.889999,72.269997,72.510002,2067600,69.742379
2014-07-25,72.279999,72.300003,69.709999,69.919998,3683800,67.251232
2014-07-28,70.019997,70.75,69.139999,70.510002,3181300,67.818717
2014-07-29,70.400002,71.169998,69.839996,69.879997,1911100,67.212758
2014-07-30,70.949997,71.040001,69.720001,70.510002,1754500,67.818717
2014-07-31,70.010002,70.300003,68.800003,69.379997,1847600,66.731843
2014-08-01,69.919998,70.709999,68.709999,70.440002,1914100,67.751389
2014-08-04,70.32,71.599998,69.93,71.339996,1545200,68.617031
2014-08-05,70.82,71.419998,69.839996,70.120003,1538800,67.443603
2014-08-06,69.800003,70.970001,69.760002,70.290001,1035400,67.607113
2014-08-07,70.889999,70.889999,69.449997,69.629997,1122200,66.972301
2014-08-08,69.730003,70.5,69.32,70.43,1282200,67.741768
2014-08-11,70.510002,71.449997,70.510002,70.82,1417300,68.116882
2014-08-12,70.889999,71.389999,70.459999,71.150002,942100,68.434288
2014-08-13,71.629997,72.129997,71.080002,71.970001,1083600,69.222989
2014-08-14,72.68,74.230003,72.68,73.839996,1899700,71.021609
2014-08-15,74.540001,74.889999,73.419998,74.790001,2114300,71.935353
2014-08-18,75.309998,75.400002,74.349998,75.370003,1253100,72.493217
2014-08-19,75.580002,76.620003,75.43,75.620003,1873400,72.733674
2014-08-20,75.669998,76.5,75.639999,76.379997,1137500,73.464661
2014-08-21,76.129997,76.639999,75.75,76.269997,1555000,73.358859
2014-08-22,76.510002,76.510002,75.510002,76.209999,1583700,73.301151
2014-08-25,77.0,77.209999,75.419998,75.769997,1710000,72.877943
2014-08-26,75.860001,76.150002,75.269997,75.959999,1354400,73.060693
2014-08-27,76.0,76.510002,75.510002,76.160004,1343400,73.253064
2014-08-28,75.540001,76.489998,74.949997,76.360001,1858700,73.445427
2014-08-29,81.82,84.800003,76.5,82.089996,6293400,78.956716
2014-09-02,82.970001,85.139999,82.400002,85.019997,4160400,81.774881
2014-09-03,85.269997,86.190002,84.5,85.389999,3268100,82.130762
2014-09-04,85.529999,87.25,85.470001,86.089996,2806100,82.80404
2014-09-05,86.360001,88.059998,86.25,87.879997,2659400,84.525719
2014-09-08,88.07,89.669998,87.519997,88.190002,2894900,84.823892
2014-09-09,88.379997,89.110001,87.959999,88.410004,2189600,85.035496
2014-09-10,88.279999,89.099998,87.720001,89.0,1885500,85.602973
2014-09-11,88.910004,89.110001,87.82,89.07,1788800,85.6703
2014-09-12,89.010002,89.07,87.400002,87.849998,1824400,84.496865
2014-09-15,88.139999,88.239998,86.269997,86.709999,1599800,83.400378
2014-09-16,86.370003,88.269997,85.669998,87.919998,2114600,84.564193
2014-09-17,87.970001,88.43,87.370003,87.739998,1565300,84.699339
2014-09-18,88.18,89.529999,88.029999,89.519997,1816500,86.417651
2014-09-19,90.129997,90.879997,88.900002,89.099998,4183400,86.012208
2014-09-22,88.639999,89.169998,86.419998,87.18,2386900,84.158748
2014-09-23,87.010002,87.949997,86.379997,87.559998,2082900,84.525577
2014-09-24,87.690002,89.050003,87.349998,89.019997,1450300,85.934979
