Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,48.650002,48.810001,48.189999,48.48,700700,45.067256
2014-05-02,48.459999,48.970001,48.279999,48.389999,518700,44.983591
2014-05-05,48.32,48.82,48.23,48.450001,636800,45.039369
2014-05-06,48.349998,48.509998,47.880001,47.900002,779600,44.528087
2014-05-07,48.060001,48.889999,48.02,48.860001,925700,45.420507
2014-05-08,48.860001,49.220001,48.43,48.709999,842300,45.281065
2014-05-09,48.639999,48.77,48.279999,48.619999,519100,45.1974
2014-05-12,48.830002,49.209999,48.799999,48.959999,731600,45.513466
2014-05-13,49.009998,49.099998,47.330002,48.419998,946900,45.011479
2014-05-14,48.459999,48.5,47.990002,48.119999,519200,44.732598
2014-05-15,48.060001,48.07,47.18,47.43,672500,44.091171
2014-05-16,47.48,47.48,46.830002,47.16,1476300,43.840178
2014-05-19,47.130001,47.549999,47.040001,47.310001,1254200,43.97962
2014-05-20,47.32,47.450001,46.650002,46.66,1039300,43.375375
2014-05-21,46.799999,47.529999,46.689999,47.009998,1367600,43.700735
2014-05-22,47.009998,48.599998,46.880001,48.240002,1931600,44.844153
2014-05-23,48.369999,48.540001,48.009998,48.200001,886700,44.806968
2014-05-27,48.389999,48.900002,48.259998,48.610001,724500,45.188106
2014-05-28,48.66,48.880001,48.299999,48.82,856800,45.383322
2014-05-29,48.900002,49.220001,48.720001,49.209999,689900,45.745867
2014-05-30,50.060001,50.900002,49.970001,50.700001,2182700,47.130981
2014-06-02,50.509998,50.509998,49.650002,49.939999,919600,46.74719
2014-06-03,49.93,49.93,49.330002,49.43,1142200,46.269797
2014-06-04,49.360001,49.650002,49.209999,49.5,621800,46.335322
2014-06-05,49.59,49.82,49.060001,49.619999,657400,46.447649
2014-06-06,49.75,50.029999,49.619999,49.759998,457600,46.578698
2014-06-09,49.669998,50.349998,49.630001,50.080002,729400,46.878242
2014-06-10,50.049999,50.259998,49.849998,50.18,685700,46.971848
2014-06-11,49.919998,49.939999,49.439999,49.689999,625400,46.513173
2014-06-12,49.560001,49.84,49.369999,49.48,592400,46.3166
2014-06-13,49.509998,49.900002,49.369999,49.740002,617400,46.559979
2014-06-16,49.740002,50.57,49.740002,50.209999,840700,46.999928
2014-06-17,50.18,50.82,49.98,50.610001,633700,47.374357
2014-06-18,50.560001,50.900002,50.240002,50.869999,459500,47.617733
2014-06-19,50.919998,51.240002,50.66,50.990002,631800,47.730063
2014-06-20,51.130001,51.41,51.02,51.389999,651100,48.104488
2014-06-23,51.32,51.540001,50.599998,50.919998,685800,47.664535
2014-06-24,50.880001,51.5,50.669998,50.970001,725000,47.711341
2014-06-25,50.849998,51.0,50.34,50.830002,756700,47.580293
2014-06-26,50.900002,51.419998,50.529999,51.41,850600,48.12321
2014-06-27,51.299999,51.610001,51.049999,51.48,650500,48.188734
2014-06-30,51.52,51.560001,50.919998,51.25,622500,47.973439
2014-07-01,51.419998,51.68,51.029999,51.380001,467300,48.095129
2014-07-02,51.209999,51.380001,50.830002,51.0,430900,47.739422
2014-07-03,51.32,51.82,51.150002,51.490002,456200,48.198097
2014-07-07,51.380001,51.490002,50.790001,50.869999,441800,47.617733
2014-07-08,50.650002,51.099998,50.52,51.080002,635400,47.814309
2014-07-09,51.32,51.470001,50.689999,50.889999,615000,47.636454
2014-07-10,50.5,50.950001,50.200001,50.849998,762200,47.599011
2014-07-11,50.73,50.919998,50.380001,50.490002,569500,47.26203
2014-07-14,50.799999,51.09,50.73,50.98,417000,47.720701
2014-07-15,50.98,51.610001,50.790001,50.889999,434400,47.636454
2014-07-16,51.139999,51.27,50.709999,51.040001,445900,47.776866
2014-07-17,50.75,51.130001,50.57,50.68,864900,47.439881
2014-07-18,50.889999,51.09,50.68,50.98,438400,47.720701
2014-07-21,50.619999,50.68,50.389999,50.630001,360500,47.393078
2014-07-22,50.939999,51.18,50.490002,50.52,556300,47.290111
2014-07-23,50.529999,50.939999,50.490002,50.599998,694900,47.364994
2014-07-24,50.630001,51.18,50.630001,50.900002,1215000,47.645817
2014-07-25,51.02,51.16,48.98,49.240002,1609800,46.091946
2014-07-28,49.02,49.209999,48.349998,48.950001,1181500,45.820485
2014-07-29,48.630001,48.73,47.970001,48.029999,1094500,44.959302
2014-07-30,48.099998,48.18,47.400002,47.849998,795700,44.79081
2014-07-31,47.57,47.57,47.099998,47.209999,1087500,44.191727
2014-08-01,47.150002,47.439999,46.93,47.310001,782000,44.285336
2014-08-04,47.470001,47.810001,47.189999,47.73,745400,44.678482
2014-08-05,47.450001,47.689999,47.0,47.360001,502400,44.332139
2014-08-06,47.16,47.630001,47.16,47.209999,511200,44.191727
2014-08-07,47.400002,47.490002,46.77,47.139999,709200,44.126203
2014-08-08,47.09,47.610001,46.880001,47.57,648800,44.528712
2014-08-11,47.860001,47.970001,47.599998,47.759998,307400,44.706563
2014-08-12,47.639999,47.900002,47.48,47.830002,391700,44.772091
2014-08-13,48.080002,48.18,47.84,47.98,421400,44.912499
2014-08-14,47.970001,48.290001,47.970001,48.049999,551700,44.978024
2014-08-15,48.27,48.360001,47.580002,47.880001,712200,44.818894
2014-08-18,48.139999,48.41,48.040001,48.380001,674000,45.286928
2014-08-19,48.299999,49.16,48.290001,49.099998,1028100,45.960893
2014-08-20,48.860001,49.02,48.540001,48.790001,470400,45.670715
2014-08-21,48.650002,48.740002,48.279999,48.529999,430900,45.427335
2014-08-22,48.43,48.43,48.0,48.0,477800,44.931221
2014-08-25,48.27,48.48,48.099998,48.169998,602100,45.090351
2014-08-26,48.189999,48.290001,47.98,48.02,416600,44.949943
2014-08-27,48.16,48.290001,47.799999,47.900002,643100,44.837616
2014-08-28,47.759998,48.16,47.68,48.110001,342000,45.034189
2014-08-29,47.84,48.23,47.599998,48.130001,835100,45.383075
2014-09-02,48.07,48.43,48.0,48.150002,879000,45.401934
2014-09-03,48.27,48.610001,48.110001,48.439999,827500,45.67538
2014-09-04,48.459999,48.849998,48.459999,48.669998,687200,45.892253
2014-09-05,48.599998,48.900002,48.450001,48.880001,614900,46.09027
2014-09-08,48.759998,49.16,48.639999,48.759998,373300,45.977116
2014-09-09,48.650002,48.810001,48.389999,48.490002,447800,45.722529
