Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,137.220001,138.419998,136.770004,138.020004,712300,135.981626
2014-05-02,138.300003,140.149994,137.509995,139.800003,676100,137.735336
2014-05-05,138.940002,140.800003,138.350006,140.320007,633800,138.24766
2014-05-06,139.979996,141.320007,139.550003,140.0,581700,137.932379
2014-05-07,140.029999,141.380005,138.610001,141.210007,899100,139.124516
2014-05-08,141.520004,144.050003,141.050003,142.899994,653500,140.789544
2014-05-09,142.699997,144.229996,141.5,144.080002,806400,141.952125
2014-05-12,144.759995,147.259995,144.559998,147.149994,787600,144.976777
2014-05-13,147.360001,147.970001,146.039993,147.529999,733600,145.35117
2014-05-14,147.5,147.5,146.199997,146.369995,497500,144.208298
2014-05-15,145.919998,146.369995,144.550003,145.960007,792400,143.804364
2014-05-16,146.25,149.229996,145.520004,148.520004,1418700,146.326554
2014-05-19,148.0,149.820007,148.0,148.830002,710500,146.631973
2014-05-20,148.639999,148.949997,146.580002,147.289993,917400,145.114709
2014-05-21,147.729996,147.949997,146.830002,147.460007,622500,145.282211
2014-05-22,147.5,147.5,145.520004,146.240005,891400,144.080228
2014-05-23,146.399994,146.850006,145.360001,146.619995,505600,144.454606
2014-05-27,147.149994,147.490005,146.399994,147.149994,554000,144.976777
2014-05-28,147.740005,148.429993,146.820007,147.009995,583100,144.838845
2014-05-29,147.080002,148.130005,146.759995,147.889999,408700,145.705853
2014-05-30,147.440002,148.619995,146.979996,147.910004,710300,145.725562
2014-06-02,148.100006,148.410004,146.949997,148.240005,398700,146.05069
2014-06-03,147.5,148.020004,145.839996,145.940002,920300,143.784655
2014-06-04,145.509995,147.440002,145.5,147.380005,585800,145.203391
2014-06-05,147.190002,147.259995,145.460007,147.080002,620800,144.907819
2014-06-06,147.529999,148.0,146.360001,147.919998,742400,145.735409
2014-06-09,147.869995,148.639999,146.369995,148.050003,671300,145.863494
2014-06-10,146.429993,146.5,140.839996,141.050003,2110900,138.966875
2014-06-11,140.979996,140.990005,137.179993,137.979996,2353600,135.942208
2014-06-12,140.0,141.100006,137.259995,140.979996,1928400,138.897902
2014-06-13,141.259995,142.600006,137.020004,137.419998,1442200,135.390481
2014-06-16,137.089996,139.210007,136.490005,137.850006,964300,135.814138
2014-06-17,137.75,138.940002,137.240005,137.740005,587200,135.705762
2014-06-18,136.369995,138.639999,135.800003,138.600006,673800,136.553061
2014-06-19,138.470001,139.089996,138.259995,139.080002,627000,137.025968
2014-06-20,139.669998,140.389999,139.399994,140.330002,835100,138.257507
2014-06-23,140.330002,141.130005,140.070007,140.690002,857400,138.612191
2014-06-24,140.699997,142.649994,140.25,142.139999,711500,140.040774
2014-06-25,142.259995,146.039993,141.630005,145.179993,1084800,143.03587
2014-06-26,144.809998,145.759995,143.660004,144.520004,738000,142.385629
2014-06-27,144.029999,145.419998,143.940002,144.229996,574500,142.099903
2014-06-30,144.5,144.5,142.789993,143.009995,796700,140.89792
2014-07-01,144.009995,146.029999,143.410004,145.820007,519500,143.666433
2014-07-02,145.820007,146.190002,144.610001,146.160004,438200,144.001408
2014-07-03,146.050003,146.169998,145.309998,145.699997,567100,143.548195
2014-07-07,145.529999,146.949997,145.419998,146.729996,454600,144.562982
2014-07-08,146.5,146.5,145.660004,145.910004,614100,143.7551
2014-07-09,146.5,146.869995,144.710007,145.809998,380700,143.656571
2014-07-10,144.759995,146.259995,144.410004,145.740005,437600,143.587612
2014-07-11,145.589996,146.070007,144.720001,145.720001,279100,143.567903
2014-07-14,146.25,147.050003,145.75,146.970001,582500,144.799442
2014-07-15,146.490005,147.350006,144.990005,146.149994,580900,143.991546
2014-07-16,146.649994,146.830002,144.830002,145.110001,455900,142.966912
2014-07-17,144.339996,145.309998,142.070007,142.300003,703900,140.411289
2014-07-18,143.190002,145.25,142.539993,144.910004,530300,142.986648
2014-07-21,143.869995,144.509995,141.979996,143.5,554300,141.595359
2014-07-22,144.300003,144.889999,143.630005,143.820007,477000,141.911119
2014-07-23,144.529999,146.039993,144.039993,145.830002,366800,143.894435
2014-07-24,146.25,147.300003,145.080002,146.949997,578600,144.999565
2014-07-25,145.139999,149.899994,144.740005,148.850006,677300,146.874355
2014-07-28,148.75,154.160004,148.539993,153.130005,1296100,151.097547
2014-07-29,153.229996,154.0,150.020004,150.25,963600,148.255767
2014-07-30,150.75,151.899994,150.020004,151.410004,431400,149.400375
2014-07-31,150.470001,151.380005,149.229996,149.229996,487100,147.249301
2014-08-01,149.220001,149.779999,148.110001,149.479996,501500,147.495983
2014-08-04,149.970001,151.899994,148.759995,151.520004,552000,149.508915
2014-08-05,150.770004,151.949997,150.229996,150.490005,491800,148.492587
2014-08-06,150.0,150.949997,149.169998,149.929993,555800,147.940008
2014-08-07,150.300003,150.300003,147.529999,147.919998,350800,145.956691
2014-08-08,147.940002,148.759995,147.0,148.630005,490300,146.657274
2014-08-11,149.389999,149.389999,148.259995,149.070007,388800,147.091437
2014-08-12,149.039993,149.800003,148.539993,149.270004,368100,147.288779
2014-08-13,149.619995,151.729996,149.619995,151.690002,402300,149.676657
2014-08-14,151.889999,152.199997,150.229996,151.020004,326200,149.015552
2014-08-15,151.460007,151.460007,149.020004,149.830002,692100,147.841344
2014-08-18,150.860001,151.389999,150.300003,150.699997,703800,148.699792
2014-08-19,151.179993,151.320007,149.869995,149.880005,664500,147.890683
2014-08-20,149.990005,150.0,148.259995,149.0,597500,147.022358
2014-08-21,149.720001,149.759995,148.550003,148.699997,450800,146.726337
2014-08-22,149.039993,149.039993,146.970001,147.0,960700,145.048904
2014-08-25,147.940002,149.410004,147.5,149.039993,328800,147.061821
2014-08-26,149.330002,149.860001,148.710007,149.639999,316000,147.653863
2014-08-27,149.809998,149.919998,148.080002,148.610001,237400,146.637535
2014-08-28,147.880005,148.429993,147.029999,147.600006,423700,145.640946
2014-08-29,147.679993,148.649994,147.190002,148.440002,369100,146.469794
2014-09-02,148.690002,149.520004,148.600006,149.360001,434900,147.377581
2014-09-03,149.710007,149.960007,149.279999,149.419998,426600,147.436782
2014-09-04,149.970001,150.5,149.110001,149.360001,477300,147.377581
2014-09-05,149.449997,150.380005,148.259995,150.160004,249900,148.166966
2014-09-08,150.0,150.089996,148.830002,149.369995,384600,147.387443
2014-09-09,149.320007,149.850006,148.610001,148.839996,254600,146.864478
2014-09-10,148.979996,149.589996,148.809998,149.190002,281200,147.209839
2014-09-11,148.710007,149.929993,147.880005,149.869995,290600,147.880806
2014-09-12,149.460007,149.649994,147.039993,147.929993,424200,145.966553
2014-09-15,147.770004,147.800003,146.570007,146.979996,340900,145.029165
2014-09-16,146.25,147.440002,145.139999,147.279999,422200,145.325186
2014-09-17,147.539993,147.850006,145.270004,145.979996,437800,144.042438
2014-09-18,146.300003,147.130005,145.910004,146.880005,347200,144.930501
2014-09-19,147.0,147.690002,146.350006,147.229996,713100,145.275847
2014-09-22,147.0,147.600006,145.729996,147.110001,492200,145.157445
2014-09-23,146.289993,147.080002,145.009995,145.020004,499100,143.095188
2014-09-24,144.880005,145.960007,144.539993,145.389999,635800,143.460272
2014-09-25,145.279999,145.729996,143.699997,144.059998,362600,142.147923
2014-09-26,144.029999,144.5,143.410004,143.600006,379900,141.694037
2014-09-29,142.759995,143.720001,142.520004,143.369995,446700,141.467079
2014-09-30,143.210007,144.070007,142.669998,142.710007,488500,140.815851
2014-10-01,142.839996,143.009995,141.490005,142.229996,438400,140.342211
2014-10-02,142.610001,144.960007,142.229996,144.779999,457000,142.858368
2014-10-03,145.429993,146.639999,145.25,146.259995,565300,144.31872
2014-10-06,147.330002,149.940002,147.039993,149.240005,803700,147.259178
2014-10-07,148.039993,149.449997,147.279999,147.919998,625100,145.956691
2014-10-08,148.020004,151.490005,147.419998,151.490005,576600,149.479315
2014-10-09,151.520004,151.979996,148.800003,148.880005,520800,146.903956
2014-10-10,148.940002,151.759995,148.940002,149.889999,755000,147.900545
2014-10-13,149.690002,151.330002,148.490005,149.759995,584000,147.772266
2014-10-14,150.220001,153.580002,150.220001,150.720001,783100,148.71953
2014-10-15,149.360001,150.229996,145.559998,147.789993,966200,145.828412
2014-10-16,146.270004,147.509995,144.389999,144.770004,666800,143.061469
2014-10-17,145.789993,146.330002,144.419998,145.270004,533200,143.555568
2014-10-20,145.380005,146.899994,145.380005,146.720001,410900,144.988453
2014-10-21,147.839996,149.490005,147.839996,149.220001,402500,147.458949
2014-10-22,149.320007,149.970001,147.899994,147.979996,829100,146.233577
2014-10-23,150.0,156.179993,149.889999,154.229996,1008800,152.409817
2014-10-24,155.100006,157.839996,155.100006,156.970001,759000,155.117485
2014-10-27,156.949997,158.979996,156.479996,158.669998,883300,156.797419
2014-10-28,158.729996,160.229996,158.550003,160.229996,615500,158.339006
2014-10-29,160.339996,161.520004,158.490005,159.679993,695800,157.795494
2014-10-30,158.929993,161.100006,158.929993,160.990005,571700,159.090047
2014-10-31,162.75,164.910004,162.339996,163.970001,1625900,162.034873
2014-11-03,163.839996,164.300003,162.619995,162.869995,446900,160.947849
2014-11-04,162.720001,163.75,162.589996,163.619995,312500,161.688998
2014-11-05,164.279999,164.759995,163.470001,164.580002,661200,162.637675
2014-11-06,165.0,165.460007,164.270004,164.970001,448100,163.023072
2014-11-07,164.699997,164.960007,161.889999,162.380005,344600,160.463642
2014-11-10,162.5,163.869995,161.789993,163.869995,479700,161.936047
2014-11-11,163.869995,164.669998,162.850006,164.270004,300500,162.331336
2014-11-12,163.490005,165.309998,162.679993,165.210007,271000,163.260245
2014-11-13,165.210007,166.630005,164.389999,165.589996,419900,163.63575
2014-11-14,165.169998,165.910004,163.529999,164.039993,257600,162.104039
2014-11-17,164.169998,164.830002,163.869995,164.809998,476300,162.864956
2014-11-18,165.0,167.660004,164.979996,167.360001,477900,165.384865
2014-11-19,166.240005,166.990005,166.020004,166.669998,461400,164.703006
2014-11-20,166.309998,167.199997,165.300003,167.110001,295700,165.137815
2014-11-21,168.919998,169.089996,166.240005,166.5,611700,164.535014
2014-11-24,166.970001,167.75,166.679993,167.649994,239900,165.671436
2014-11-25,167.899994,167.919998,166.100006,166.449997,628300,164.485601
2014-11-26,167.179993,167.929993,166.589996,167.169998,326900,165.197105
2014-11-28,168.0,169.190002,167.190002,167.350006,223700,165.374988
2014-12-01,167.240005,170.580002,166.539993,170.039993,788000,168.033229
2014-12-02,170.25,171.649994,170.25,170.990005,530000,168.972029
2014-12-03,171.330002,174.130005,170.520004,172.399994,954900,170.365377
2014-12-04,171.899994,173.839996,171.440002,172.470001,516300,170.434559
2014-12-05,172.149994,174.460007,172.020004,172.369995,650500,170.335733
2014-12-08,172.440002,174.380005,172.009995,172.679993,562800,170.642072
2014-12-09,171.300003,171.529999,169.820007,170.100006,719200,168.092534
2014-12-10,169.820007,170.389999,167.339996,167.470001,624800,165.493567
2014-12-11,167.979996,170.210007,167.410004,169.149994,577400,167.153733
2014-12-12,167.820007,169.470001,167.429993,167.490005,380000,165.513335
2014-12-15,167.979996,168.830002,164.429993,166.210007,688600,164.248443
2014-12-16,166.020004,169.050003,165.369995,165.839996,665800,163.882799
2014-12-17,166.289993,169.729996,166.100006,168.869995,463300,166.877039
2014-12-18,170.619995,171.75,169.970001,171.580002,783000,169.555063
2014-12-19,171.5,172.759995,169.440002,169.5,981100,167.499609
2014-12-22,169.610001,171.0,168.899994,169.509995,465500,167.509485
2014-12-23,170.25,170.300003,168.229996,169.539993,316000,167.53913
2014-12-24,169.460007,169.949997,168.710007,169.100006,265100,167.104335
2014-12-26,169.300003,169.889999,168.100006,168.399994,151300,166.412584
2014-12-29,168.130005,169.149994,167.440002,168.710007,223900,166.718939
2014-12-30,168.830002,169.740005,168.320007,168.660004,233000,166.669526
2014-12-31,169.149994,170.229996,166.520004,166.619995,378700,164.653593
2015-01-02,167.0,168.520004,166.270004,167.479996,504100,165.503444
2015-01-05,163.960007,166.720001,163.080002,164.990005,840700,163.04284
2015-01-06,165.479996,166.539993,163.610001,165.559998,853600,163.606105
2015-01-07,166.660004,170.460007,166.009995,170.440002,595000,168.428517
2015-01-08,171.949997,175.0,171.380005,174.869995,667700,172.806228
2015-01-09,175.039993,175.850006,173.350006,173.710007,656100,171.65993
2015-01-12,174.880005,175.039993,173.259995,174.070007,414800,172.015682
2015-01-13,175.169998,177.199997,171.929993,173.5,521600,171.452402
2015-01-14,171.529999,174.25,171.300003,174.0,713800,171.946501
2015-01-15,174.259995,174.539993,172.740005,172.839996,366400,170.800187
2015-01-16,172.149994,174.229996,171.279999,174.059998,593200,172.00579
2015-01-20,175.970001,177.039993,174.740005,175.770004,591900,173.695616
