Date,Open,High,Low,Close,Volume,Adj Close
5/1/14,44.759998,45.055,44.485001,89.839996,506000,44.919998
5/2/14,44.825001,45.314999,44.709999,90.559998,705000,45.279999
5/5/14,45.220001,45.700001,44.959999,91.199997,789600,45.599998
5/6/14,45.355,45.465,44.814999,89.779999,1085600,44.889999
5/7/14,44.955002,45.380001,44.924999,90.629997,577600,45.314999
5/8/14,45.264999,45.525002,44.965,90.169998,441800,45.084999
5/9/14,45,45.27,44.799999,90.459999,548000,45.23
5/12/14,45.395,45.630001,45.16,90.57,628000,45.285
5/13/14,45.285,45.529999,45.220001,90.879997,658000,45.439999
5/14/14,45.5,45.805,45.380001,91.349998,759800,45.674999
5/15/14,45.529999,45.695,45.055,90.410004,660800,45.205002
5/16/14,45.195,46.134998,45.169998,92.139999,630200,46.07
5/19/14,46.02,46.125,45.73,91.529999,483000,45.764999
5/20/14,45.764999,45.915001,45.145,90.389999,618800,45.195
5/21/14,45.27,45.810001,45.195,91.5,600600,45.75
5/22/14,45.744999,46.235001,45.494999,91.879997,567200,45.939999
5/23/14,46.025002,46.025002,45.494999,91.419998,502600,45.709999
5/27/14,45.639999,46.119999,45.639999,92.010002,401000,46.005001
5/28/14,46.105,46.110001,45.619999,91.300003,488800,45.650002
5/29/14,45.689999,46.27,45.689999,92.279999,433000,46.139999
5/30/14,46.134998,46.400002,46.044998,92.669998,777800,46.334999
6/2/14,46.715,47.384998,46.215,93.589996,889000,46.794998
6/3/14,46.91,47.009998,46.360001,92.900002,1333600,46.450001
6/4/14,46.459999,46.66,46.044998,93.150002,1163400,46.575001
6/5/14,46.575001,47.369999,46.099998,94.669998,971800,47.334999
6/6/14,47.365002,47.43,46.904999,94.489998,868000,47.244999
6/9/14,47.09,47.369999,46.564999,93.370003,963600,46.685001
6/10/14,46.549999,46.98,46.535,93.68,927400,46.84
6/11/14,46.915001,47.110001,46.709999,93.919998,491800,46.959999
6/12/14,46.915001,47.244999,46.68,93.839996,510200,46.919998
6/13/14,46.880001,47.185001,46.695,93.639999,360600,46.82
6/16/14,46.705002,46.970001,46.700001,93.82,857600,46.91
6/17/14,46.834999,47.09,46.575001,93.970001,457200,46.985001
6/18/14,47.005001,48.009998,46.82,95.970001,770000,47.985001
6/19/14,47.959999,48.334999,47.895,96.650002,700400,48.325001
6/20/14,48.575001,48.575001,47.955002,96.410004,1087400,48.205002
6/23/14,48.080002,48.224998,47.544998,95.339996,605000,47.669998
6/24/14,47.5,47.544998,47.200001,94.419998,618400,47.209999
6/25/14,47.209999,47.5,47.029999,94.75,539000,47.375
6/26/14,47.349998,47.424999,46.91,94.010002,432600,47.005001
6/27/14,46.834999,47.209999,46.755001,94.239998,610800,47.119999
6/30/14,47.040001,47.814999,46.924999,94.169998,877600,47.084999
7/1/14,47.240002,47.639999,47.150002,94.870003,830400,47.435001
7/2/14,47.34,47.66,47.009998,94.400002,622200,47.200001
7/3/14,47.165001,47.555,47.125,94.43,709800,47.215
7/7/14,47.244999,47.790001,47.169998,95.32,664200,47.66
7/8/14,47.685001,47.830002,47.080002,94.220001,760600,47.110001
7/9/14,47.305,47.305,46.93,94.089996,645800,47.044998
7/10/14,46.669998,47.02,46.509998,93.790001,389800,46.895
7/11/14,46.994999,47.080002,46.57,93.849998,365000,46.924999
7/14/14,47.235001,47.244999,46.764999,93.93,420200,46.965
7/15/14,46.880001,47,46.595001,93.339996,632600,46.669998
7/16/14,46.709999,46.709999,46.299999,92.800003,561400,46.400002
