Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,62.080002,62.540001,60.540001,60.66,2897000,58.651669
2014-05-02,60.810001,61.130001,60.049999,60.650002,2018700,58.642002
2014-05-05,60.330002,60.650002,59.849998,60.5,1323600,58.496966
2014-05-06,60.52,60.799999,59.959999,60.16,1412200,58.168223
2014-05-07,60.34,60.599998,59.360001,59.93,1003800,57.945838
2014-05-08,59.849998,61.049999,59.599998,59.82,812300,57.839479
2014-05-09,59.849998,59.970001,58.849998,59.119999,1182800,57.162654
2014-05-12,59.580002,61.18,59.490002,61.110001,1110000,59.086771
2014-05-13,61.209999,61.34,60.599998,60.84,763000,58.82571
2014-05-14,60.790001,61.049999,60.259998,60.349998,654900,58.351931
2014-05-15,60.029999,60.09,58.240002,59.060001,1551300,57.104643
2014-05-16,59.09,59.790001,58.540001,59.720001,1206900,57.742792
2014-05-19,59.639999,60.27,59.419998,59.970001,964900,57.984515
2014-05-20,60.060001,60.080002,59.049999,59.389999,1072100,57.423716
2014-05-21,59.52,60.630001,59.369999,60.48,1235800,58.477628
2014-05-22,60.630001,61.459999,60.490002,61.060001,1495100,59.038427
2014-05-23,61.02,62.450001,60.919998,62.169998,1329900,60.111674
2014-05-27,62.400002,62.84,62.189999,62.360001,915500,60.295386
2014-05-28,62.43,62.939999,61.939999,62.630001,1146600,60.556447
2014-05-29,62.77,63.209999,62.310001,62.84,637100,60.759494
2014-05-30,62.73,63.41,62.630001,62.889999,1483100,60.807838
2014-06-02,62.889999,63.360001,62.18,63.310001,964200,61.213934
2014-06-03,63.169998,64.0,63.07,63.799999,1072700,61.687709
2014-06-04,63.470001,64.559998,62.959999,64.389999,1214700,62.258176
2014-06-05,64.82,65.370003,64.559998,65.150002,1715600,62.993016
2014-06-06,65.400002,66.379997,65.209999,66.160004,2108700,63.969579
2014-06-09,66.099998,66.519997,65.760002,65.910004,809800,63.727856
2014-06-10,65.629997,66.330002,65.5,66.07,1033100,63.882554
2014-06-11,65.639999,66.190002,65.5,66.080002,789400,63.892225
2014-06-12,65.900002,65.900002,64.239998,64.470001,1525700,62.335529
2014-06-13,64.440002,65.300003,64.220001,65.120003,842900,62.96401
2014-06-16,64.949997,65.669998,64.589996,65.139999,926200,62.983345
2014-06-17,65.010002,65.650002,64.760002,65.07,707100,62.915662
2014-06-18,65.150002,65.209999,64.120003,64.949997,1220500,62.799633
2014-06-19,65.160004,65.239998,64.830002,65.089996,923000,62.934997
2014-06-20,65.059998,65.57,64.550003,64.660004,1670500,62.519241
2014-06-23,64.720001,64.940002,64.480003,64.599998,1120900,62.461222
2014-06-24,64.5,64.849998,63.599998,63.689999,996900,61.58135
2014-06-25,63.41,64.610001,63.209999,64.529999,1156100,62.39354
2014-06-26,64.580002,65.18,63.57,65.059998,1590500,62.905991
2014-06-27,64.93,65.75,64.559998,65.360001,813300,63.196062
2014-06-30,65.339996,65.459999,64.800003,65.190002,960700,63.031692
2014-07-01,65.589996,66.349998,65.379997,66.080002,801600,63.892225
2014-07-02,66.07,67.489998,66.040001,66.620003,1362200,64.414348
2014-07-03,66.620003,67.080002,66.5,67.010002,515100,64.791435
2014-07-07,66.790001,67.029999,66.470001,66.730003,751600,64.520707
2014-07-08,66.389999,66.769997,65.68,66.559998,1449900,64.356329
2014-07-09,66.610001,67.400002,66.480003,67.379997,1125200,65.149181
2014-07-10,66.309998,67.489998,65.949997,66.150002,1691700,63.959908
2014-07-11,66.050003,66.260002,65.699997,66.190002,1259300,63.998584
2014-07-14,66.790001,66.790001,65.510002,65.900002,1557900,63.718185
2014-07-15,65.769997,66.129997,65.220001,65.370003,1700600,63.205733
2014-07-16,65.550003,65.959999,65.089996,65.18,1671200,63.022021
2014-07-17,64.860001,65.669998,64.040001,64.160004,1680200,62.035795
2014-07-18,64.419998,65.300003,64.080002,65.18,998500,63.022021
2014-07-21,65.0,65.629997,64.699997,64.830002,696400,62.68361
2014-07-22,65.349998,65.940002,65.269997,65.699997,1196600,63.524802
2014-07-23,65.959999,66.0,65.25,65.470001,753600,63.302421
2014-07-24,65.800003,65.940002,65.410004,65.559998,929200,63.389437
2014-07-25,65.220001,66.150002,65.220001,65.839996,955600,63.660166
2014-07-28,65.760002,65.769997,64.760002,65.489998,880700,63.321755
2014-07-29,65.389999,65.959999,64.519997,64.529999,1002300,62.39354
2014-07-30,64.690002,64.739998,63.740002,64.5,2277000,62.364534
2014-07-31,63.41,63.439999,61.509998,62.25,2523400,60.189027
2014-08-01,61.98,62.23,60.439999,60.91,1936400,58.893392
2014-08-04,61.259998,62.16,61.009998,62.02,1224400,59.966643
2014-08-05,61.52,62.209999,61.310001,61.389999,1583200,59.3575
2014-08-06,60.959999,61.380001,60.759998,60.779999,1380200,58.767695
2014-08-07,61.279999,61.689999,60.52,60.759998,1569400,58.748357
2014-08-08,60.860001,62.0,60.810001,61.919998,1223300,59.869951
2014-08-11,61.959999,62.240002,61.790001,61.84,818600,59.792602
2014-08-12,61.689999,62.16,61.380001,61.66,627600,59.618561
2014-08-13,62.080002,62.349998,61.490002,62.23,905900,60.169689
2014-08-14,62.080002,62.48,61.779999,62.419998,696300,60.353397
2014-08-15,62.75,62.970001,61.669998,62.16,851500,60.102007
2014-08-18,62.650002,62.799999,62.220001,62.419998,839800,60.353397
2014-08-19,62.68,62.959999,62.279999,62.889999,739200,60.807838
2014-08-20,62.799999,64.0,62.459999,63.720001,946700,61.61036
2014-08-21,63.889999,63.900002,62.689999,62.709999,925800,60.633797
2014-08-22,62.5,62.529999,61.889999,62.23,937000,60.169689
2014-08-25,62.720001,62.959999,62.259998,62.41,628100,60.34373
2014-08-26,62.610001,62.650002,61.779999,61.82,743300,59.773263
2014-08-27,62.049999,62.200001,61.610001,61.970001,484500,59.918299
2014-08-28,61.599998,62.200001,61.32,61.950001,864800,60.024879
2014-08-29,62.290001,62.310001,61.860001,62.189999,791700,60.257418
2014-09-02,62.23,62.959999,62.029999,62.689999,965700,60.741881
2014-09-03,63.080002,63.200001,62.689999,62.77,1106800,60.819396
2014-09-04,62.779999,63.619999,62.779999,63.049999,1001100,61.090694
2014-09-05,62.939999,63.240002,62.27,63.189999,1030800,61.226343
2014-09-08,62.77,63.299999,62.119999,62.529999,1230700,60.586853
2014-09-09,62.290001,62.630001,61.709999,61.82,1161500,59.898917
2014-09-10,61.799999,62.040001,61.259998,61.34,1026300,59.433834
2014-09-11,60.93,61.279999,60.610001,61.189999,928000,59.288494
2014-09-12,61.060001,61.25,59.950001,60.200001,1057300,58.329261
2014-09-15,60.07,60.439999,58.66,58.689999,1735700,56.866182
2014-09-16,58.369999,58.73,57.970001,58.349998,2321700,56.536748
