Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,72.860001,73.589996,72.629997,73.540001,1842000,65.766725
2014-05-02,73.400002,75.650002,73.349998,74.57,3503300,66.687852
2014-05-05,74.25,76.5,74.209999,76.459999,2591100,68.378076
2014-05-06,76.220001,76.82,76.139999,76.699997,2502900,68.592705
2014-05-07,77.019997,77.82,77.0,77.699997,3237300,69.487004
2014-05-08,77.580002,77.949997,77.07,77.199997,1911300,69.039855
2014-05-09,77.209999,77.5,76.830002,77.239998,2207100,69.075628
2014-05-12,77.419998,77.610001,76.900002,77.339996,1661600,69.165056
2014-05-13,77.32,77.599998,77.019997,77.230003,2123500,69.066689
2014-05-14,77.330002,77.510002,76.949997,77.279999,1820300,69.1114
2014-05-15,76.940002,77.089996,76.150002,76.82,1639900,68.700024
2014-05-16,76.769997,77.419998,76.410004,76.800003,1579900,68.682141
2014-05-19,76.739998,76.879997,76.18,76.370003,1485100,68.297592
2014-05-20,76.269997,76.660004,75.610001,75.940002,1105000,67.913043
2014-05-21,76.120003,76.790001,76.050003,76.559998,1711400,68.467504
2014-05-22,76.629997,76.82,76.279999,76.389999,1599200,68.315475
2014-05-23,76.43,76.599998,75.540001,76.0,1722300,67.966699
2014-05-27,76.169998,76.699997,75.760002,76.419998,1173600,68.342303
2014-05-28,76.089996,76.709999,76.0,76.610001,839300,68.512222
2014-05-29,76.68,76.900002,76.029999,76.629997,1217500,68.530105
2014-05-30,76.510002,76.849998,76.419998,76.730003,2073700,68.61954
2014-06-02,76.839996,77.110001,76.18,76.290001,2014500,68.226047
2014-06-03,76.309998,76.43,75.400002,75.610001,1786800,67.617923
2014-06-04,75.650002,76.129997,75.410004,75.470001,1878500,67.492722
2014-06-05,75.650002,75.849998,74.989998,75.760002,2907700,67.752069
2014-06-06,76.029999,76.169998,75.580002,75.900002,1567700,67.877271
2014-06-09,75.650002,76.040001,75.559998,75.769997,1375200,67.761007
