Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,51.82,52.110001,51.720001,52.110001,26996400,24.771721
2014-05-02,52.419998,52.419998,51.68,52.029999,26765400,24.733691
2014-05-05,51.830002,52.48,51.73,52.459999,27093400,24.938102
2014-05-06,52.099998,52.330002,51.599998,51.810001,32064200,24.62911
2014-05-07,52.029999,52.189999,51.290001,51.740002,28597600,24.595834
2014-05-08,51.650002,51.759998,50.779999,51.099998,37924600,24.291593
2014-05-09,51.07,51.130001,50.09,51.0,30732800,24.244056
2014-05-12,51.110001,51.209999,50.470001,50.650002,29710600,24.077676
2014-05-13,50.849998,50.869999,50.029999,50.110001,50113200,23.820974
2014-05-14,50.169998,50.25,49.68,49.830002,31636000,23.68787
2014-05-15,49.790001,50.349998,49.16,50.310001,33025400,23.916049
2014-05-16,50.220001,50.310001,49.84,50.189999,25461800,23.859003
2014-05-19,50.240002,50.939999,49.779999,50.900002,28002800,24.19652
2014-05-20,50.790001,50.939999,50.439999,50.650002,24990000,24.077676
2014-05-21,50.599998,51.380001,50.529999,51.349998,25162400,24.410436
2014-05-22,51.27,51.990002,51.240002,51.700001,22344800,24.576818
2014-05-23,51.869999,52.119999,51.779999,51.970001,18252000,24.705169
2014-05-27,52.07,52.279999,51.849998,52.060001,18778800,24.747953
2014-05-28,52.169998,52.169998,51.57,51.849998,17307200,24.648123
2014-05-29,52.060001,52.18,51.779999,52.07,18987200,24.752706
2014-05-30,52.18,52.290001,51.84,52.200001,21663600,24.814505
2014-06-02,52.110001,52.759998,52.080002,52.560001,20537000,24.98564
2014-06-03,52.360001,52.48,52.25,52.32,15600000,24.87155
2014-06-04,52.279999,52.41,51.939999,52.290001,27464800,24.857289
2014-06-05,52.439999,52.77,52.09,52.709999,14681000,25.056945
2014-06-06,52.919998,53.0,52.389999,52.91,18442000,25.15202
2014-06-09,52.759998,53.220001,52.720001,52.950001,23375800,25.171035
2014-06-10,52.950001,53.07,52.52,52.880001,20496200,25.137759
2014-06-11,52.580002,52.790001,52.540001,52.709999,20246800,25.056945
2014-06-12,52.5,52.790001,52.41,52.669998,19549400,25.03793
2014-06-13,52.650002,52.75,52.299999,52.470001,19548000,24.942856
2014-06-16,52.380001,52.48,52.110001,52.349998,14121200,24.88581
2014-06-17,52.279999,52.349998,52.0,52.200001,15988200,24.814505
2014-06-18,52.27,52.77,51.990002,52.66,19601800,25.033177
2014-06-19,52.650002,52.959999,52.5,52.939999,18794200,25.166281
2014-06-20,53.27,53.27,52.599998,52.740002,34834600,25.071207
2014-06-23,52.77,52.77,52.360001,52.43,15939800,24.923841
2014-06-24,52.439999,53.0,52.240002,52.639999,23433800,25.023669
2014-06-25,52.66,53.349998,52.459999,53.209999,26891600,25.294632
2014-06-26,53.18,53.639999,53.049999,53.599998,18776200,25.480027
2014-06-27,53.68,54.259998,53.529999,54.130001,32415800,25.731976
2014-06-30,53.900002,53.900002,53.57,53.68,31397800,25.62457
2014-07-01,53.860001,54.34,53.689999,54.110001,22481400,25.829834
2014-07-02,54.200001,54.599998,54.040001,54.560001,18373800,26.044646
2014-07-03,54.740002,54.970001,54.509998,54.900002,15269800,26.206947
2014-07-07,54.549999,54.75,53.860001,54.18,22482800,25.863249
