Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,51.900002,53.68,51.790001,52.080002,6405200,52.080002
2014-05-02,52.080002,53.040001,51.619999,52.439999,6515700,52.439999
2014-05-05,52.970001,53.830002,52.0,53.650002,7025800,53.650002
2014-05-06,53.18,53.709999,51.66,51.779999,6947000,51.779999
2014-05-07,51.709999,51.799999,49.18,50.43,9039300,50.43
2014-05-08,50.220001,52.080002,49.57,50.150002,6499300,50.150002
2014-05-09,49.990002,50.75,49.32,50.279999,5307000,50.279999
2014-05-12,50.900002,53.650002,50.849998,53.43,6558300,53.43
2014-05-13,53.860001,54.209999,52.200001,52.279999,5321200,52.279999
2014-05-14,52.029999,53.02,51.720001,51.880001,3277300,51.880001
2014-05-15,52.25,52.299999,50.599998,51.419998,4762400,51.419998
2014-05-16,51.599998,51.93,50.490002,51.799999,4646100,51.799999
2014-05-19,51.950001,53.43,51.66,53.23,4816200,53.23
2014-05-20,53.82,54.150002,52.389999,52.889999,10653800,52.889999
2014-05-21,52.599998,53.0,49.619999,50.189999,20536600,50.189999
2014-05-22,50.290001,54.25,49.93,53.27,13735500,53.27
2014-05-23,52.650002,53.66,52.110001,53.41,6646200,53.41
2014-05-27,52.889999,54.610001,52.849998,54.360001,5931300,54.360001
2014-05-28,54.150002,54.360001,53.34,53.34,5945800,53.34
2014-05-29,53.119999,54.959999,53.040001,54.400002,6813000,54.400002
2014-05-30,55.5,55.540001,52.48,52.630001,9683400,52.630001
2014-06-02,52.630001,52.849998,51.639999,52.380001,4070400,52.380001
2014-06-03,51.93,52.150002,50.91,50.950001,5793700,50.950001
2014-06-04,50.630001,51.52,50.209999,51.07,4712800,51.07
2014-06-05,51.470001,51.779999,50.75,51.369999,5410000,51.369999
2014-06-06,51.740002,52.290001,51.59,51.799999,3153900,51.799999
2014-06-09,51.810001,52.09,51.139999,51.709999,3931400,51.709999
2014-06-10,51.599998,53.200001,51.599998,53.060001,6589800,53.060001
2014-06-11,52.689999,53.610001,52.5,53.310001,4151400,53.310001
2014-06-12,53.169998,53.57,52.630001,53.040001,3626800,53.040001
2014-06-13,53.130001,54.389999,52.75,54.310001,5127700,54.310001
2014-06-16,53.16,54.73,52.52,54.610001,6994100,54.610001
2014-06-17,54.299999,58.0,54.25,57.82,13418900,57.82
2014-06-18,57.59,57.939999,56.740002,57.759998,6043400,57.759998
2014-06-19,57.970001,58.619999,57.509998,57.880001,4735800,57.880001
2014-06-20,57.970001,57.970001,57.009998,57.509998,5955600,57.509998
2014-06-23,57.450001,58.23,56.75,58.0,3897100,58.0
2014-06-24,58.09,58.220001,57.080002,57.459999,7784300,57.459999
2014-06-25,57.110001,57.68,56.630001,57.41,3233100,57.41
2014-06-26,57.599998,57.98,56.889999,57.169998,3048800,57.169998
2014-06-27,56.93,57.59,56.919998,57.380001,3288100,57.380001
2014-06-30,57.349998,58.630001,57.349998,58.080002,5393200,58.080002
2014-07-01,58.240002,59.490002,58.169998,59.200001,5288500,59.200001
2014-07-02,59.169998,59.48,58.669998,58.91,3621800,58.91
2014-07-03,59.0,59.080002,57.959999,58.759998,2415000,58.759998
2014-07-07,58.720001,58.720001,57.189999,57.34,4332400,57.34
2014-07-08,57.34,57.34,54.07,54.889999,9256400,54.889999
2014-07-09,55.099998,55.470001,54.18,54.599998,4227400,54.599998
2014-07-10,53.41,55.040001,53.299999,54.299999,4437400,54.299999
2014-07-11,54.5,54.790001,53.75,54.209999,2521500,54.209999
2014-07-14,54.689999,55.200001,54.040001,54.73,3004800,54.73
2014-07-15,54.77,54.959999,53.16,53.740002,4646700,53.740002
2014-07-16,53.990002,54.25,53.68,53.950001,2537400,53.950001
2014-07-17,53.619999,54.279999,52.48,52.639999,4800100,52.639999
2014-07-18,52.98,54.27,52.720001,53.5,3597800,53.5
2014-07-21,53.25,53.48,52.580002,53.32,2662700,53.32
2014-07-22,53.529999,54.0,53.41,53.599998,2991500,53.599998
2014-07-23,53.959999,53.970001,53.18,53.599998,3209400,53.599998
2014-07-24,53.700001,54.709999,53.669998,54.060001,3122800,54.060001
2014-07-25,53.889999,55.369999,53.59,54.889999,4911200,54.889999
2014-07-28,54.740002,55.200001,53.860001,54.0,4017700,54.0
2014-07-29,54.259998,55.16,53.639999,54.830002,3704400,54.830002
2014-07-30,55.09,56.490002,55.040001,56.25,3881200,56.25
2014-07-31,55.68,55.91,54.150002,54.25,4291100,54.25
2014-08-01,54.330002,54.75,52.91,53.48,4311800,53.48
2014-08-04,53.889999,55.150002,53.779999,54.900002,3499900,54.900002
2014-08-05,54.619999,55.330002,54.029999,54.299999,3379200,54.299999
2014-08-06,54.099998,54.919998,53.560001,53.889999,2606600,53.889999
2014-08-07,54.169998,54.740002,53.360001,53.75,2754000,53.75
2014-08-08,53.91,54.540001,53.529999,54.439999,2516700,54.439999
2014-08-11,54.68,55.18,54.459999,54.869999,2573500,54.869999
2014-08-12,54.389999,54.490002,52.5,52.75,6298600,52.75
2014-08-13,53.029999,53.490002,52.740002,52.82,4714700,52.82
2014-08-14,53.150002,53.75,52.82,53.509998,4855700,53.509998
2014-08-15,53.84,54.049999,53.02,53.630001,4697000,53.630001
2014-08-18,54.110001,54.630001,53.900002,54.380001,4757300,54.380001
2014-08-19,54.529999,55.209999,54.43,54.959999,4713500,54.959999
2014-08-20,55.380001,55.560001,54.639999,55.389999,5057600,55.389999
2014-08-21,55.650002,56.049999,54.889999,55.709999,9544200,55.709999
2014-08-22,57.889999,61.009998,57.77,59.799999,25342200,59.799999
2014-08-25,59.34,59.689999,58.540001,59.23,7388400,59.23
2014-08-26,58.810001,59.860001,58.380001,59.639999,5760900,59.639999
2014-08-27,59.419998,60.599998,59.32,59.580002,5347600,59.580002
2014-08-28,58.150002,59.029999,57.799999,58.290001,5848400,58.290001
2014-08-29,58.060001,59.889999,57.93,59.09,5603900,59.09
2014-09-02,59.200001,60.110001,59.110001,59.849998,5268100,59.849998
2014-09-03,60.009998,60.369999,58.830002,59.029999,3935200,59.029999
2014-09-04,59.18,59.869999,58.849998,59.080002,4244200,59.080002
2014-09-05,58.970001,59.889999,58.75,59.810001,2789700,59.810001
2014-09-08,59.82,61.0,59.77,60.360001,3976900,60.360001
2014-09-09,60.5,60.93,59.580002,59.66,4419500,59.66
2014-09-10,59.810001,60.720001,59.509998,60.700001,2744000,60.700001
2014-09-11,60.389999,61.439999,60.119999,61.209999,4437000,61.209999
2014-09-12,60.91,61.049999,59.060001,59.25,5814000,59.25
2014-09-15,59.150002,59.150002,56.830002,57.57,5678500,57.57
2014-09-16,57.459999,57.950001,57.02,57.610001,4062100,57.610001
2014-09-17,57.459999,58.060001,56.990002,57.450001,4674700,57.450001
2014-09-18,57.900002,57.93,57.189999,57.66,3573200,57.66
2014-09-19,58.32,58.799999,57.73,58.240002,6455500,58.240002
2014-09-22,58.049999,58.23,56.599998,57.32,5440900,57.32
2014-09-23,57.18,57.799999,56.799999,56.810001,4010800,56.810001
2014-09-24,56.950001,57.84,56.599998,57.66,4153700,57.66
2014-09-25,57.560001,57.779999,55.799999,55.919998,4901400,55.919998
2014-09-26,56.009998,56.68,55.830002,56.560001,2830800,56.560001
2014-09-29,55.560001,57.389999,55.290001,57.23,4540800,57.23
2014-09-30,57.169998,57.68,56.709999,57.529999,3922200,57.529999
2014-10-01,57.290001,57.369999,56.389999,56.73,4546700,56.73
2014-10-02,56.41,57.099998,56.200001,56.639999,4604400,56.639999
