Date,Open,High,Low,Close,Volume,Adj Close
2015-11-16,30.5,32.900002,30.5,31.9,80700,31.213378
2015-11-17,32.189999,33.439999,32.189999,32.974998,144700,32.265238
2015-11-18,33.0,33.279999,33.0,33.02,18900,32.309272
2015-11-19,33.189999,33.189999,32.5,32.5,454100,31.800464
2015-11-20,32.990002,32.990002,32.060001,32.200001,58400,31.506922
2015-11-23,32.5,32.59,32.25,32.450001,32800,31.751541
2015-11-24,32.779999,32.790001,31.48,31.98,88500,31.291656
2015-11-25,32.009998,32.009998,30.0,30.389999,2005400,29.735879
2015-11-27,29.110001,30.99,29.08,29.209999,5199700,28.581277
2015-11-30,29.389999,32.599998,29.049999,31.51,8567500,30.831773
2015-12-01,31.52,31.52,29.98,30.57,3789500,29.912005
2015-12-02,30.07,31.17,30.0,30.76,3214500,30.097916
2015-12-03,30.799999,30.799999,27.51,29.4,8547100,28.767188
2015-12-04,28.809999,30.040001,28.639999,29.0,5684500,28.375798
2015-12-07,29.0,29.209999,28.469999,28.629999,3102600,28.013762
2015-12-08,28.16,28.75,26.719999,27.91,3959400,27.30926
2015-12-09,27.91,28.75,26.950001,28.08,2887300,27.475601
2015-12-10,27.77,28.780001,27.601999,28.540001,4054400,27.9257
2015-12-11,28.17,29.209999,27.91,28.92,2172300,28.29752
2015-12-14,28.940001,29.23,28.139999,28.42,1355000,27.808283
2015-12-15,28.32,28.940001,27.450001,27.530001,2341500,26.93744
2015-12-16,27.76,28.059999,26.799999,27.440001,2268400,26.849377
2015-12-17,27.42,27.84,26.370001,26.67,2309000,26.09595
2015-12-18,26.43,27.75,26.26,27.459999,2778700,26.868945
2015-12-21,27.84,28.129999,26.77,27.360001,1330400,26.771099
2015-12-22,27.18,27.76,26.84,27.08,1394800,26.497125
2015-12-23,27.120001,27.43,26.9,27.01,1826200,26.428632
2015-12-24,26.790001,28.43,26.68,28.02,723900,27.416893
2015-12-28,27.99,29.530001,27.879999,29.49,1138700,28.855251
2015-12-29,29.540001,30.15,29.245001,29.59,1608000,28.953099
2015-12-30,29.540001,30.17,29.459999,29.85,1290000,29.207503
2015-12-31,29.620001,30.34,29.610001,30.0,944600,29.452944
2016-01-04,29.57,29.747999,28.860001,29.18,1826700,28.647897
2016-01-05,29.0,29.48,28.004999,28.51,2439100,27.990114
2016-01-06,28.059999,28.360001,27.870001,28.059999,1561500,27.54832
2016-01-07,27.66,28.110001,27.34,27.469999,2597600,26.969078
2016-01-08,27.709999,28.059999,27.190001,27.690001,2013900,27.185068
2016-01-11,27.82,28.209999,27.360001,28.09,2192700,27.577773
2016-01-12,28.09,29.110001,27.809999,29.02,1693000,28.490815
2016-01-13,29.08,29.309999,28.440001,28.76,1673200,28.235556
2016-01-14,28.98,29.299999,28.620001,29.15,1558400,28.618443
2016-01-15,28.540001,28.639999,27.92,28.42,2345900,27.901756
2016-01-19,28.559999,29.15,28.48,28.82,2939600,28.294461
2016-01-20,28.48,28.629999,27.110001,27.92,2302200,27.410873
2016-01-21,28.07,28.25,26.65,26.799999,1601200,26.311296
2016-01-22,27.1,27.950001,26.49,27.85,1589900,27.34215
2016-01-25,27.65,27.65,26.42,26.5,1652400,26.016767
2016-01-26,26.540001,27.32,26.059999,26.809999,1540100,26.321114
2016-01-27,26.809999,26.809999,24.74,26.110001,2822200,25.633879
2016-01-28,26.08,26.48,25.6,25.889999,1050400,25.41789
2016-01-29,26.08,26.92,25.709999,26.780001,1718000,26.291662
2016-02-01,26.74,27.059999,26.379999,26.809999,1275300,26.321114
2016-02-02,26.459999,26.620001,26.02,26.459999,1026700,25.977496
2016-02-03,26.58,26.620001,25.49,26.17,911800,25.692785
2016-02-04,26.190001,26.65,25.74,25.84,1452000,25.368802
2016-02-05,25.709999,25.879999,24.5,24.639999,1598200,24.190684
2016-02-08,24.24,24.280001,20.98,22.889999,2827800,22.472596
2016-02-09,22.200001,23.209999,21.040001,22.34,3112000,21.932626
2016-02-10,22.290001,23.85,22.040001,22.34,2689200,21.932626
2016-02-11,25.209999,25.379999,23.74,24.76,3755400,24.308497
2016-02-12,24.950001,26.030001,24.059999,25.75,2727300,25.280443
2016-02-16,25.99,26.540001,25.120001,25.309999,1762300,24.848466
2016-02-17,25.6,26.389999,24.870001,25.370001,1546700,24.907374
2016-02-18,25.65,25.940001,24.950001,25.84,923300,25.368802
2016-02-19,25.879999,26.360001,25.68,26.129999,1007900,25.653513
2016-02-22,26.59,27.450001,26.17,26.690001,1209600,26.203303
2016-02-23,26.559999,26.93,25.469999,26.200001,1396100,25.722238
2016-02-24,26.530001,26.66,24.889999,25.75,1631900,25.280443
2016-02-25,26.1,26.559999,25.360001,26.540001,988500,26.056039
2016-02-26,26.59,27.49,26.309999,26.6,963600,26.114944
2016-02-29,26.440001,27.16,25.92,25.950001,1007600,25.476797
2016-03-01,26.370001,26.5,25.49,25.809999,957900,25.339349
2016-03-02,25.709999,26.33,25.549999,25.799999,886900,25.329531
2016-03-03,25.77,26.26,25.59,26.120001,925500,25.643697
2016-03-04,26.299999,26.34,25.43,25.82,841100,25.349167
2016-03-07,25.76,26.4,25.74,26.200001,971200,25.722238
2016-03-08,25.959999,26.200001,25.49,25.51,1182500,25.04482
2016-03-09,26.0,26.0,24.93,25.33,919900,24.868102
2016-03-10,25.209999,25.5,24.58,24.66,751300,24.21032
2016-03-11,24.940001,25.23,24.719999,25.01,915300,24.553938
2016-03-14,24.860001,25.360001,24.860001,25.16,768800,24.701202
2016-03-15,24.969999,25.299999,24.67,25.07,893700,24.612843
2016-03-16,24.99,25.08,24.629999,24.66,809200,24.21032
2016-03-17,24.719999,25.27,24.66,24.799999,1290300,24.347766
2016-03-18,24.940001,25.190001,24.450001,24.51,3183200,24.063055
2016-03-21,24.620001,24.98,24.299999,24.59,1669200,24.141596
2016-03-22,24.450001,24.74,24.190001,24.190001,1116300,23.748891
2016-03-23,23.66,24.26,23.66,24.17,1028900,23.729255
2016-03-24,24.030001,24.735001,23.889999,24.360001,1073900,23.915791
2016-03-28,24.389999,26.110001,24.360001,25.860001,1578700,25.388438
2016-03-29,25.92,26.68,25.485001,26.559999,1389900,26.075672
2016-03-30,26.75,27.700001,26.746,27.190001,1975400,26.694185
2016-03-31,27.139999,27.436001,26.52,26.9,1640500,26.409473
2016-04-01,26.559999,27.360001,26.450001,27.27,1276600,26.872625
2016-04-04,27.32,27.32,26.84,26.879999,1131800,26.488306
2016-04-05,26.690001,26.860001,25.975,26.389999,1312200,26.005447
2016-04-06,26.450001,26.719999,26.25,26.450001,742500,26.064574
2016-04-07,26.299999,26.34,25.700001,25.75,1299400,25.374773
2016-04-08,25.91,26.1,25.5,25.68,963300,25.305794
2016-04-11,25.83,26.27,25.620001,26.190001,1088100,25.808362
2016-04-12,26.18,26.42,25.9,26.15,1128000,25.768944
2016-04-13,26.23,26.51,25.969999,26.49,1154600,26.10399
2016-04-14,26.469999,26.98,26.16,26.940001,1446100,26.547433
2016-04-15,26.91,27.209999,26.73,27.18,1098400,26.783936
2016-04-18,27.15,27.280001,26.889999,27.15,674100,26.754372
2016-04-19,27.18,27.290001,26.924999,27.129999,681000,26.734663
2016-04-20,27.120001,27.24,26.43,26.48,920100,26.094136
2016-04-21,26.4,26.84,26.4,26.6,605500,26.212388
2016-04-22,26.530001,26.700001,26.360001,26.66,518700,26.271513
2016-04-25,26.6,27.110001,26.540001,27.01,518000,26.616413
2016-04-26,26.950001,27.25,26.440001,26.49,934100,26.10399
2016-04-27,26.530001,26.799999,26.43,26.58,535000,26.192679
2016-04-28,26.51,26.940001,26.290001,26.59,804500,26.202533
2016-04-29,26.49,26.49,25.84,25.959999,794700,25.581712
2016-05-02,25.940001,26.280001,25.780001,26.030001,604900,25.650694
2016-05-03,25.889999,25.889999,25.25,25.33,731100,24.960894
2016-05-04,25.27,25.65,25.0,25.530001,635800,25.15798
2016-05-05,25.49,25.530001,24.969999,25.16,1113700,24.793371
2016-05-06,25.09,25.809999,24.91,25.809999,624900,25.433899
2016-05-09,25.82,26.26,25.819,26.219999,495800,25.837924
2016-05-10,26.32,26.32,25.809999,26.139999,607700,25.75909
2016-05-11,25.950001,26.09,25.18,25.18,745300,24.81308
2016-05-12,25.040001,25.059999,23.775,24.23,1740900,23.876922
2016-05-13,24.24,24.49,24.08,24.27,602700,23.91634
2016-05-16,24.370001,24.73,24.27,24.43,502200,24.074009
2016-05-17,24.42,24.51,24.07,24.139999,732700,23.788234
2016-05-18,24.18,24.565001,23.85,24.42,654700,24.064154
2016-05-19,24.299999,24.719999,24.24,24.58,724400,24.221822
2016-05-20,24.65,25.24,24.530001,25.01,649100,24.645557
