Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,59.16,59.279999,58.25,58.740002,561700,55.968218
2014-05-02,58.549999,59.43,58.490002,59.040001,686700,56.254061
2014-05-05,58.529999,59.130001,58.5,59.060001,477700,56.273118
2014-05-06,58.990002,59.240002,58.700001,58.990002,623700,56.206421
2014-05-07,59.060001,59.810001,58.77,59.709999,894900,56.892444
2014-05-08,59.57,60.150002,59.509998,59.549999,555500,56.739994
2014-05-09,59.66,59.810001,59.240002,59.799999,594700,56.978197
2014-05-12,59.919998,60.73,59.799999,60.369999,712200,57.5213
2014-05-13,60.52,60.689999,60.23,60.599998,687000,57.740446
2014-05-14,60.73,60.73,60.330002,60.389999,500000,57.540357
2014-05-15,60.040001,60.27,59.59,60.169998,437400,57.330737
2014-05-16,60.099998,60.560001,59.700001,60.540001,525700,57.68328
2014-05-19,60.509998,61.220001,60.290001,61.169998,508600,58.283549
2014-05-20,61.09,61.290001,60.419998,60.619999,551200,57.759503
2014-05-21,60.779999,61.259998,60.700001,61.110001,435600,58.226383
2014-05-22,61.040001,61.709999,60.970001,61.540001,501500,58.636093
2014-05-23,61.540001,61.810001,61.200001,61.630001,603800,58.721846
2014-05-27,61.869999,61.900002,61.619999,61.740002,682100,58.826656
2014-05-28,61.68,62.139999,61.66,61.889999,447900,58.969576
2014-05-29,62.009998,62.259998,61.810001,62.099998,409100,59.169665
2014-05-30,62.110001,62.259998,61.830002,62.119999,653600,59.188722
2014-06-02,63.130001,63.130001,61.700001,62.220001,562900,59.284006
2014-06-03,62.09,62.290001,62.0,62.18,355600,59.245892
2014-06-04,61.990002,62.259998,61.880001,62.18,363400,59.245892
2014-06-05,62.419998,62.779999,62.110001,62.75,428200,59.788995
2014-06-06,62.709999,63.130001,62.709999,63.130001,333200,60.151065
2014-06-09,63.07,63.91,63.049999,63.669998,361600,60.665581
2014-06-10,63.59,63.68,63.330002,63.619999,299000,60.617941
2014-06-11,63.439999,63.84,62.990002,63.299999,437600,60.313041
2014-06-12,63.119999,63.34,62.810001,63.040001,304600,60.065312
2014-06-13,63.16,63.43,62.970001,63.110001,290000,60.132008
2014-06-16,62.970001,63.360001,62.860001,63.09,394500,60.112952
2014-06-17,62.93,63.689999,62.709999,63.43,284000,60.436908
2014-06-18,63.310001,63.599998,62.990002,63.509998,339900,60.513131
2014-06-19,63.41,63.869999,63.200001,63.860001,345900,60.846618
2014-06-20,64.139999,64.32,63.799999,64.099998,1152900,61.075291
2014-06-23,64.239998,64.25,63.009998,63.18,461100,60.198705
2014-06-24,63.119999,63.240002,62.439999,62.529999,566800,59.579375
2014-06-25,62.220001,63.009998,62.220001,62.970001,297400,59.998615
2014-06-26,63.099998,63.330002,62.509998,62.650002,280000,59.693715
2014-06-27,62.299999,63.09,62.299999,63.02,1426500,60.046255
2014-06-30,62.93,63.57,62.75,63.540001,512300,60.541718
2014-07-01,63.630001,64.400002,63.48,64.029999,492600,61.008594
2014-07-02,64.010002,64.239998,63.610001,63.900002,252900,60.884731
2014-07-03,63.970001,64.440002,63.82,64.370003,165400,61.332554
2014-07-07,64.269997,64.269997,63.669998,63.889999,363700,60.875201
2014-07-08,63.939999,64.07,63.330002,63.5,345000,60.503605
2014-07-09,63.73,64.449997,63.27,63.619999,238800,60.617941
2014-07-10,62.77,63.279999,62.220001,63.16,238500,60.179648
2014-07-11,63.110001,63.130001,62.48,62.560001,495300,59.607962
2014-07-14,62.990002,63.59,62.990002,63.240002,408600,60.255875
2014-07-15,63.240002,63.560001,62.59,62.849998,527300,59.884275
2014-07-16,63.349998,64.910004,63.0,64.510002,1145200,61.465947
2014-07-17,64.160004,64.440002,63.360001,63.450001,624200,60.455965
2014-07-18,63.709999,64.139999,63.41,64.040001,569000,61.018124
2014-07-21,63.84,64.010002,63.580002,63.77,469800,60.760865
2014-07-22,64.230003,64.470001,63.860001,64.379997,516500,61.342077
2014-07-23,64.269997,64.379997,63.970001,64.029999,340800,61.008594
2014-07-24,64.330002,64.489998,64.010002,64.110001,218700,61.084821
2014-07-25,64.010002,64.290001,63.369999,63.52,351400,60.522661
2014-07-28,63.419998,63.709999,62.990002,63.560001,280200,60.560775
2014-07-29,63.529999,63.799999,63.099998,63.119999,259700,60.141535
2014-07-30,63.439999,64.080002,62.93,63.400002,322600,60.408325
2014-07-31,63.07,63.07,62.490002,62.599998,390900,59.646072
2014-08-01,62.349998,62.91,62.240002,62.599998,387000,59.646072
2014-08-04,62.860001,64.099998,62.599998,63.990002,913800,60.970484
2014-08-05,63.610001,64.25,63.130001,63.560001,693500,60.560775
2014-08-06,63.040001,63.349998,62.75,62.990002,476300,60.017672
2014-08-07,63.200001,63.540001,62.860001,63.110001,370300,60.132008
2014-08-08,63.299999,64.480003,62.919998,64.400002,456200,61.361138
2014-08-11,64.769997,65.290001,64.43,65.0,736300,61.932824
2014-08-12,65.0,65.440002,64.860001,65.269997,720900,62.19008
2014-08-13,65.410004,65.580002,65.32,65.510002,448600,62.41876
2014-08-14,65.459999,65.709999,65.400002,65.5,356300,62.40923
2014-08-15,63.849998,65.860001,62.650002,65.379997,564600,62.29489
2014-08-18,65.699997,66.089996,65.650002,65.830002,775800,62.72366
2014-08-19,65.870003,66.019997,65.75,65.889999,460100,62.780826
2014-08-20,65.959999,66.029999,65.650002,65.959999,463500,62.847523
2014-08-21,65.959999,66.040001,65.720001,65.910004,556900,62.799887
2014-08-22,65.75,66.190002,65.410004,65.730003,606600,62.62838
2014-08-25,66.150002,66.25,65.849998,66.059998,253000,62.942803
2014-08-26,66.260002,66.389999,65.940002,66.019997,328000,62.904689
2014-08-27,66.010002,66.220001,65.639999,65.830002,223600,62.72366
2014-08-28,65.540001,66.110001,65.419998,65.879997,218000,62.771296
2014-08-29,66.150002,66.5,65.620003,66.139999,413500,63.01903
2014-09-02,66.419998,66.879997,66.129997,66.629997,454400,63.485906
2014-09-03,66.910004,67.110001,66.300003,66.360001,305200,63.228649
2014-09-04,66.660004,66.849998,66.379997,66.559998,615200,63.419209
2014-09-05,66.379997,66.800003,66.129997,66.660004,431600,63.514496
2014-09-08,66.470001,66.779999,66.07,66.32,299000,63.190536
2014-09-09,66.360001,66.660004,66.050003,66.349998,440100,63.219119
2014-09-10,66.440002,66.5,65.989998,66.419998,207300,63.285816
2014-09-11,66.040001,66.529999,65.830002,66.449997,242600,63.314399
2014-09-12,66.349998,66.480003,66.050003,66.339996,298100,63.209589
2014-09-15,66.589996,67.190002,66.330002,66.870003,564400,63.714586
2014-09-16,66.709999,67.099998,66.199997,66.860001,467900,63.705056
2014-09-17,67.129997,67.239998,66.449997,66.919998,434300,63.762222
2014-09-18,66.989998,67.32,66.830002,67.220001,308600,64.048069
2014-09-19,67.580002,67.589996,67.019997,67.160004,1427800,63.990903
2014-09-22,67.120003,67.290001,66.720001,67.089996,386700,63.924199
2014-09-23,66.970001,67.220001,66.410004,66.43,325000,63.295346
2014-09-24,66.440002,67.059998,66.349998,66.900002,297500,63.743169
2014-09-25,66.690002,66.849998,65.809998,65.989998,332300,62.876106
2014-09-26,66.029999,66.580002,65.879997,66.269997,280700,63.142893
2014-09-29,65.839996,66.440002,65.790001,65.949997,687400,62.837993
2014-09-30,67.589996,71.610001,67.260002,70.589996,2350600,67.259043
2014-10-01,70.220001,70.5,68.389999,68.650002,1039100,65.410591
2014-10-02,68.529999,68.629997,67.43,68.290001,676800,65.067578
2014-10-03,68.540001,70.480003,68.400002,70.339996,1240800,67.02084
2014-10-06,70.690002,71.080002,69.730003,69.900002,613300,66.601607
2014-10-07,69.449997,69.75,68.629997,68.720001,594400,65.477288
2014-10-08,68.900002,71.0,68.900002,70.980003,770000,67.630647
2014-10-09,71.010002,71.279999,69.279999,69.459999,626400,66.182367
2014-10-10,69.400002,69.739998,68.529999,68.559998,644300,65.324834
2014-10-13,68.769997,68.910004,67.309998,67.440002,533500,64.257689
2014-10-14,67.989998,68.419998,67.580002,67.739998,752000,64.543528
2014-10-15,67.110001,68.370003,66.760002,68.059998,1099800,64.848428
2014-10-16,67.470001,68.669998,66.75,68.43,788200,65.200971
2014-10-17,68.769997,69.699997,68.769997,69.290001,1342200,66.020391
2014-10-20,69.290001,69.349998,68.699997,69.050003,811800,65.791718
2014-10-21,69.620003,71.169998,69.370003,71.169998,816800,67.811676
2014-10-22,71.419998,71.720001,70.330002,70.349998,688900,67.03037
2014-10-23,71.010002,71.370003,70.739998,71.040001,1509700,67.687813
2014-10-24,71.059998,71.360001,70.800003,71.220001,702300,67.85932
2014-10-27,71.110001,71.349998,70.620003,71.269997,634600,67.906956
2014-10-28,71.660004,71.830002,71.290001,71.809998,745000,68.421476
2014-10-29,72.0,72.169998,71.199997,71.809998,453400,68.421476
2014-10-30,71.470001,72.860001,71.169998,72.690002,502100,69.259955
2014-10-31,73.699997,73.949997,72.720001,73.239998,675900,69.783998
2014-11-03,73.239998,73.860001,72.449997,72.540001,630600,69.117032
2014-11-04,71.940002,72.300003,71.110001,71.419998,1357500,68.049879
2014-11-05,70.160004,71.089996,70.0,70.410004,792900,68.723354
2014-11-06,70.559998,71.139999,70.309998,71.089996,615800,69.387058
2014-11-07,71.5,71.5,70.940002,71.0,734000,69.299217
2014-11-10,71.129997,71.519997,70.879997,71.110001,682700,69.406583
2014-11-11,71.07,71.470001,70.849998,71.099998,406400,69.39682
2014-11-12,70.82,71.489998,70.75,71.309998,511600,69.601789
2014-11-13,71.419998,72.059998,70.82,71.160004,481000,69.455388
2014-11-14,71.269997,72.150002,70.93,71.760002,851600,70.041014
2014-11-17,71.599998,71.849998,71.199997,71.809998,556200,70.089811
2014-11-18,71.699997,72.519997,71.379997,71.980003,610900,70.255745
2014-11-19,71.839996,72.0,71.050003,71.790001,616400,70.070294
2014-11-20,71.510002,72.230003,71.260002,71.93,423100,70.206939
2014-11-21,72.690002,73.0,71.739998,71.919998,1377200,70.197177
2014-11-24,72.139999,72.980003,71.940002,72.860001,574900,71.114662
2014-11-25,73.010002,73.230003,72.639999,73.059998,610700,71.309868
2014-11-26,72.959999,73.449997,72.730003,73.029999,571900,71.280588
2014-11-28,73.279999,73.589996,73.0,73.150002,263200,71.397716
2014-12-01,72.910004,73.150002,71.699997,71.800003,900200,70.080056
2014-12-02,71.599998,72.519997,71.25,72.379997,570900,70.646157
2014-12-03,72.610001,73.190002,72.199997,73.129997,411200,71.378191
2014-12-04,72.910004,73.43,72.57,72.82,414100,71.075619
2014-12-05,72.800003,73.160004,72.510002,73.050003,565400,71.300113
2014-12-08,72.980003,73.550003,72.709999,73.0,571800,71.251308
2014-12-09,72.5,73.519997,72.25,73.410004,778200,71.65149
2014-12-10,73.220001,73.550003,71.870003,71.870003,627500,70.148379
2014-12-11,71.830002,73.639999,71.669998,72.800003,488000,71.056102
2014-12-12,72.360001,72.779999,71.019997,71.029999,509900,69.328497
2014-12-15,71.279999,72.07,70.610001,71.529999,728300,69.81652
2014-12-16,71.540001,72.580002,71.489998,71.529999,606500,69.81652
2014-12-17,71.5,73.059998,71.099998,72.839996,1109100,71.095137
2014-12-18,73.830002,74.660004,73.099998,74.489998,1576300,72.705613
2014-12-19,76.889999,79.349998,76.830002,79.230003,3208100,77.332073
2014-12-22,79.699997,80.18,79.400002,79.639999,1172900,77.732248
2014-12-23,79.910004,80.349998,79.589996,79.639999,991300,77.732248
2014-12-24,79.879997,80.220001,79.470001,79.860001,521200,77.946979
2014-12-26,80.279999,80.339996,79.650002,79.82,306600,77.907936
2014-12-29,79.82,80.150002,79.5,79.57,442600,77.663925
2014-12-30,79.669998,79.809998,78.959999,79.019997,505000,77.127097
2014-12-31,79.209999,79.82,78.389999,78.440002,306900,76.560997
2015-01-02,78.910004,79.099998,77.57,78.449997,455500,76.570752
2015-01-05,78.150002,78.449997,76.849998,77.019997,810800,75.175007
2015-01-06,77.489998,77.699997,75.900002,76.870003,1181000,75.028606
2015-01-07,77.639999,77.650002,76.309998,76.470001,837500,74.638186
2015-01-08,77.459999,78.029999,77.0,77.730003,879700,75.868005
2015-01-09,77.949997,77.970001,76.760002,77.120003,754500,75.272617
2015-01-12,77.050003,77.510002,75.900002,76.629997,604900,74.794349
2015-01-13,77.309998,78.040001,76.779999,77.510002,1416000,75.653274
2015-01-14,77.32,77.730003,77.080002,77.57,1513600,75.711834
2015-01-15,77.809998,78.260002,77.309998,77.660004,1271000,75.799682
2015-01-16,77.760002,78.949997,77.690002,78.93,1242600,77.039257
2015-01-20,78.949997,79.239998,78.260002,78.790001,937600,76.902611
2015-01-21,78.519997,79.529999,78.370003,79.449997,781200,77.546797
2015-01-22,79.68,79.940002,78.879997,79.830002,1750900,77.917699
2015-01-23,79.629997,80.080002,79.300003,79.779999,861000,77.868894
2015-01-26,80.419998,80.93,79.489998,79.970001,912000,78.054345
2015-01-27,79.559998,80.459999,79.480003,79.879997,854500,77.966497
2015-01-28,80.040001,80.339996,78.279999,78.349998,881100,76.473149
2015-01-29,78.18,80.040001,78.010002,79.879997,775000,77.966497
2015-01-30,79.190002,79.82,78.690002,78.699997,933500,76.814763
2015-02-02,78.779999,80.059998,77.959999,80.029999,548300,78.112905
2015-02-03,80.669998,80.989998,79.779999,80.690002,928900,78.757098
2015-02-04,80.760002,81.400002,79.739998,80.010002,760100,78.093387
2015-02-05,80.410004,80.809998,80.279999,80.5,417000,78.571647
2015-02-06,80.489998,80.830002,79.790001,80.040001,447500,78.122668
2015-02-09,80.0,80.309998,79.459999,79.669998,277000,77.761528
2015-02-10,80.400002,80.629997,79.449997,80.580002,420900,78.649733
2015-02-11,80.339996,81.139999,80.050003,80.940002,515600,79.00111
2015-02-12,81.169998,82.220001,80.800003,82.209999,527900,80.240684
2015-02-13,82.230003,82.510002,81.330002,81.639999,435700,79.684339
2015-02-17,82.360001,82.43,81.529999,81.860001,345100,79.89907
