Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,52.439999,52.439999,51.52,52.110001,644600,46.959026
2014-05-02,52.0,52.25,51.619999,52.139999,561600,46.986059
2014-05-05,51.540001,51.91,51.240002,51.689999,956000,46.58054
2014-05-06,51.529999,51.73,51.139999,51.450001,495400,46.364266
2014-05-07,51.740002,52.080002,51.5,51.970001,598900,46.832865
2014-05-08,51.52,52.02,51.25,51.43,809300,46.346242
2014-05-09,51.41,51.759998,51.209999,51.560001,394300,46.463393
2014-05-12,51.84,52.060001,51.630001,52.049999,405700,46.904955
2014-05-13,51.98,52.41,51.299999,51.330002,490500,46.256128
2014-05-14,51.27,51.43,51.0,51.189999,588900,46.129964
2014-05-15,51.18,51.25,50.68,51.240002,510200,46.175025
2014-05-16,51.130001,51.889999,50.900002,51.869999,433100,46.742748
2014-05-19,51.84,52.16,51.59,52.130001,543900,46.977049
2014-05-20,52.130001,52.400002,51.75,52.009998,431000,46.868909
2014-05-21,52.220001,52.330002,51.779999,51.82,364100,46.697691
2014-05-22,51.84,52.279999,51.580002,51.619999,804900,46.51746
2014-05-23,51.82,52.09,51.610001,51.959999,592900,46.823852
2014-05-27,52.23,52.77,52.189999,52.709999,523900,47.499716
2014-05-28,52.68,52.799999,51.77,52.259998,545300,47.094197
2014-05-29,52.48,52.48,52.16,52.310001,235700,47.139257
2014-05-30,52.209999,52.630001,52.099998,52.349998,740100,47.1753
2014-06-02,52.41,52.720001,52.130001,52.5,570300,47.310475
2014-06-03,52.34,52.549999,52.200001,52.369999,435800,47.193324
2014-06-04,52.279999,52.799999,52.279999,52.68,506000,47.472682
2014-06-05,52.919998,54.189999,52.860001,54.119999,853000,48.77034
2014-06-06,54.27,54.27,53.330002,53.630001,573900,48.328777
2014-06-09,53.599998,53.759998,53.209999,53.610001,1309200,48.310754
2014-06-10,53.389999,53.619999,53.02,53.48,1412700,48.193603
2014-06-11,53.0,53.200001,52.68,53.189999,679900,48.357247
2014-06-12,53.009998,53.119999,52.450001,52.82,506400,48.020865
