Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,75.57,76.400002,75.07,75.540001,1430000,72.194942
2014-05-02,74.989998,76.879997,74.080002,75.449997,2834900,72.108923
2014-05-05,74.970001,75.480003,74.129997,74.279999,1375300,70.990735
2014-05-06,74.269997,75.389999,74.190002,74.400002,1589600,71.105424
2014-05-07,74.739998,75.540001,74.080002,75.489998,1275200,72.147153
2014-05-08,75.639999,76.470001,74.809998,75.279999,979500,71.946453
2014-05-09,75.07,75.32,74.160004,75.099998,877600,71.774423
2014-05-12,75.459999,76.809998,75.370003,76.379997,1175400,72.997741
2014-05-13,76.68,77.809998,76.480003,76.699997,1315400,73.303571
2014-05-14,76.739998,76.809998,75.75,75.900002,1483500,72.539001
2014-05-15,75.510002,75.940002,73.669998,74.209999,1729000,70.923835
2014-05-16,74.309998,74.400002,72.900002,73.220001,1983900,69.977676
2014-05-19,72.870003,74.010002,72.699997,73.709999,925000,70.445976
2014-05-20,73.419998,73.75,72.699997,72.980003,860400,69.748306
2014-05-21,73.379997,74.190002,73.190002,74.099998,1015900,70.818705
2014-05-22,74.349998,74.559998,73.779999,73.809998,883800,70.541546
2014-05-23,73.639999,74.540001,73.639999,74.110001,914900,70.828265
2014-05-27,74.949997,75.5,74.589996,75.32,1082800,71.984683
2014-05-28,75.5,75.75,74.940002,75.339996,875900,72.003794
2014-05-29,75.470001,75.68,74.860001,75.610001,919600,72.261842
2014-05-30,75.309998,75.360001,74.610001,75.080002,1006400,71.955162
2014-06-02,75.089996,75.589996,74.75,75.370003,1125000,72.233093
2014-06-03,75.339996,75.589996,74.580002,74.900002,770500,71.782653
2014-06-04,74.699997,75.519997,74.669998,75.040001,1031100,71.916826
2014-06-05,75.18,77.440002,75.080002,77.260002,2006500,74.04443
2014-06-06,77.279999,79.559998,77.0,79.400002,2332800,76.095363
2014-06-09,79.400002,79.93,78.830002,79.309998,1310800,76.009105
2014-06-10,79.129997,79.5,78.779999,79.209999,790400,75.913268
2014-06-11,78.800003,78.949997,77.82,78.449997,917800,75.184897
2014-06-12,78.230003,78.419998,76.970001,77.470001,890000,74.245689
2014-06-13,77.330002,77.660004,76.800003,77.639999,855600,74.408612
2014-06-16,77.269997,77.5,76.580002,76.980003,738000,73.776085
2014-06-17,76.699997,78.540001,76.389999,77.82,1233000,74.581121
2014-06-18,77.82,78.0,76.129997,77.470001,1214100,74.245689
2014-06-19,77.400002,78.25,77.040001,77.349998,1319000,74.130681
2014-06-20,77.639999,78.809998,77.5,78.519997,1798700,75.251984
2014-06-23,78.440002,79.120003,77.589996,77.910004,658100,74.667379
2014-06-24,77.629997,77.989998,76.290001,76.379997,949400,73.201051
2014-06-25,76.379997,76.779999,75.809998,76.459999,793200,73.277724
2014-06-26,76.529999,76.730003,75.559998,76.419998,646600,73.239388
2014-06-27,76.239998,77.230003,76.239998,76.879997,950800,73.680241
2014-06-30,77.07,77.260002,76.239998,76.900002,693100,73.699413
2014-07-01,77.25,78.589996,77.0,78.199997,1044700,74.945302
2014-07-02,78.230003,78.440002,77.510002,77.910004,658000,74.667379
2014-07-03,78.139999,79.199997,78.040001,78.989998,815100,75.702423
2014-07-07,78.540001,78.989998,77.489998,77.93,1066100,74.686543
2014-07-08,77.779999,77.779999,77.199997,77.529999,554600,74.30319
2014-07-09,77.900002,78.75,77.5,78.019997,801300,74.772794
2014-07-10,76.629997,78.089996,76.629997,77.580002,884100,74.351112
2014-07-11,77.360001,78.230003,76.559998,77.0,1428200,73.79525
2014-07-14,77.709999,78.080002,77.550003,77.82,955900,74.581121
2014-07-15,78.059998,78.639999,77.809998,77.949997,889400,74.705708
2014-07-16,78.449997,78.449997,77.690002,77.739998,822000,74.504449
2014-07-17,77.400002,77.620003,76.260002,76.300003,1005600,73.124387
2014-07-18,76.669998,77.0,76.449997,76.760002,956100,73.56524
2014-07-21,76.849998,77.150002,76.239998,76.82,899800,73.622741
2014-07-22,77.099998,77.809998,76.739998,77.400002,902700,74.178603
2014-07-23,78.019997,78.279999,77.529999,77.790001,926900,74.552371
2014-07-24,77.669998,78.139999,77.25,77.43,1178700,74.207353
2014-07-25,76.940002,77.050003,75.550003,76.019997,1233800,72.856034
2014-07-28,76.0,76.169998,75.010002,75.699997,922300,72.549353
2014-07-29,75.699997,75.959999,74.589996,74.599998,1023900,71.495136
2014-07-30,74.720001,75.360001,74.220001,75.040001,1147000,71.916826
2014-07-31,74.559998,75.050003,72.769997,72.870003,2007200,69.837143
2014-08-01,73.919998,75.550003,72.989998,73.25,2257500,70.201325
2014-08-04,73.220001,73.25,71.889999,72.980003,1426600,69.942566
2014-08-05,72.480003,73.269997,71.93,72.230003,1501900,69.223781
2014-08-06,71.669998,72.309998,71.029999,71.849998,1581600,68.859592
2014-08-07,72.32,72.330002,70.82,71.120003,1205200,68.159979
2014-08-08,71.169998,72.260002,70.940002,72.209999,849000,69.204609
2014-08-11,72.790001,73.650002,72.650002,73.0,788700,69.96173
2014-08-12,72.769997,73.440002,72.010002,72.239998,603200,69.233359
2014-08-13,72.519997,73.110001,72.260002,73.099998,664900,70.057567
2014-08-14,72.910004,73.230003,72.480003,73.029999,716700,69.99048
2014-08-15,73.330002,73.599998,71.949997,72.25,869500,69.242945
2014-08-18,73.029999,74.0,72.980003,73.980003,758900,70.900946
2014-08-19,74.0,74.089996,73.540001,73.669998,871800,70.603843
2014-08-20,73.730003,74.489998,73.519997,74.290001,861400,71.198041
2014-08-21,74.230003,74.599998,73.589996,74.110001,774000,71.025532
2014-08-22,73.989998,74.269997,73.730003,73.93,570600,70.853024
2014-08-25,74.400002,75.010002,74.349998,74.980003,632000,71.859325
2014-08-26,75.309998,75.519997,74.779999,75.379997,868800,72.242672
2014-08-27,75.379997,75.400002,74.730003,75.040001,1026600,71.916826
2014-08-28,74.900002,75.129997,74.360001,74.480003,1400700,71.380136
2014-08-29,74.43,74.540001,73.559998,73.889999,840700,71.014915
2014-09-02,73.739998,74.800003,73.589996,73.800003,839800,70.928421
2014-09-03,74.18,74.190002,73.160004,73.269997,689100,70.419037
2014-09-04,73.300003,73.800003,72.620003,72.779999,1014100,69.948105
2014-09-05,72.68,73.660004,72.269997,73.650002,964400,70.784256
2014-09-08,73.559998,73.690002,72.730003,73.239998,858100,70.390205
2014-09-09,73.129997,73.269997,71.879997,72.050003,1045600,69.246514
2014-09-10,71.790001,72.230003,70.050003,70.220001,2862100,67.487718
2014-09-11,69.879997,70.830002,69.580002,70.739998,1911700,67.987481
2014-09-12,70.769997,70.900002,69.900002,69.989998,1618900,67.266664
2014-09-15,69.959999,70.019997,69.269997,69.75,919200,67.036005
2014-09-16,69.650002,70.07,69.32,69.650002,1492800,66.939897
2014-09-17,69.940002,70.389999,69.480003,69.650002,1133800,66.939897
2014-09-18,69.93,70.550003,69.660004,70.510002,1732400,67.766435
2014-09-19,70.860001,70.940002,70.120003,70.269997,1577100,67.535768
2014-09-22,69.790001,70.089996,68.269997,68.540001,1827700,65.873087
2014-09-23,67.809998,68.410004,67.040001,68.169998,1992500,65.517481
2014-09-24,68.150002,68.389999,67.559998,67.900002,2867600,65.25799
2014-09-25,67.830002,68.050003,66.699997,66.730003,1963500,64.133517
2014-09-26,67.0,67.800003,66.93,67.650002,1959000,65.017718
2014-09-29,66.889999,67.889999,66.82,67.370003,1363800,64.748614
2014-09-30,67.300003,67.599998,66.519997,66.790001,2106600,64.19118
2014-10-01,67.040001,67.050003,65.839996,65.889999,2391800,63.326198
2014-10-02,65.940002,66.370003,65.18,65.690002,1658000,63.133983
2014-10-03,66.139999,66.620003,65.860001,66.0,1644500,63.431918
2014-10-06,66.300003,66.540001,65.370003,66.010002,1023200,63.441531
2014-10-07,65.660004,65.720001,63.860001,63.93,2120000,61.442463
2014-10-08,63.93,65.339996,63.27,65.269997,2219100,62.73032
2014-10-09,65.129997,65.330002,63.830002,63.860001,1389000,61.375187
2014-10-10,63.720001,64.480003,62.869999,62.880001,1695000,60.43332
2014-10-13,63.060001,63.900002,61.709999,61.73,1326400,59.328065
2014-10-14,62.09,63.150002,61.32,61.540001,1815200,59.145459
2014-10-15,60.5,61.98,59.32,61.650002,1825800,59.25118
2014-10-16,60.43,61.970001,59.400002,61.099998,2690600,58.722577
