Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,76.739998,77.0,76.110001,76.720001,565700,73.77512
2014-05-02,76.650002,77.169998,76.110001,76.169998,698400,73.246228
2014-05-05,75.82,76.360001,75.459999,76.129997,956900,73.207763
2014-05-06,76.279999,76.580002,75.580002,76.0,789200,73.082756
2014-05-07,76.169998,76.449997,72.519997,73.290001,3486300,70.476779
2014-05-08,73.199997,74.449997,72.940002,73.029999,1465700,70.226757
2014-05-09,72.959999,73.459999,72.57,72.93,911900,70.130597
2014-05-12,73.209999,74.160004,73.160004,73.510002,719200,70.688336
2014-05-13,73.57,73.860001,72.779999,72.849998,767800,70.053666
2014-05-14,72.889999,73.43,72.209999,73.110001,759000,70.303688
2014-05-15,72.900002,72.980003,71.449997,72.290001,1037300,69.515164
2014-05-16,72.0,72.480003,70.919998,72.43,1146100,69.64979
2014-05-19,72.139999,73.82,72.019997,73.330002,776400,70.515245
2014-05-20,73.120003,73.75,72.900002,73.610001,1308100,70.784496
2014-05-21,73.870003,74.559998,73.730003,74.459999,991100,71.601867
2014-05-22,74.309998,75.959999,73.93,75.779999,1920000,72.871199
2014-05-23,75.300003,75.839996,75.209999,75.739998,1405400,72.832734
2014-05-27,76.120003,76.610001,75.970001,76.260002,932100,73.332778
2014-05-28,76.260002,76.860001,76.050003,76.489998,775300,73.553945
2014-05-29,76.769997,77.0,75.93,76.989998,484700,74.034753
2014-05-30,76.900002,76.980003,76.419998,76.559998,696300,73.621258
2014-06-02,76.629997,77.010002,76.25,76.830002,725300,73.880898
2014-06-03,76.5,76.919998,76.209999,76.32,880500,73.390472
2014-06-04,76.290001,77.220001,75.919998,77.099998,542200,74.140531
2014-06-05,77.199997,78.480003,76.769997,78.25,911100,75.24639
2014-06-06,78.18,78.459999,77.75,78.449997,390000,75.43871
2014-06-09,78.360001,78.5,77.800003,78.059998,371000,75.063681
2014-06-10,77.730003,78.279999,76.900002,78.239998,516500,75.236772
2014-06-11,77.779999,78.489998,77.25,77.989998,468500,74.996368
2014-06-12,77.870003,77.989998,76.889999,76.959999,415700,74.005905
2014-06-13,77.0,77.269997,76.849998,77.25,467600,74.284775
2014-06-16,77.120003,77.410004,76.440002,76.559998,483800,73.621258
2014-06-17,76.580002,76.610001,75.739998,75.800003,1282000,72.890435
2014-06-18,76.0,76.099998,74.760002,75.0,1862600,72.12114
