Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,109.510002,110.790001,109.18,109.769997,1880500,103.333614
2014-05-02,109.970001,111.690002,109.709999,111.010002,2124700,104.500911
2014-05-05,110.599998,111.989998,110.410004,111.879997,2117800,105.319894
2014-05-06,111.339996,112.230003,111.169998,111.720001,1795200,105.169279
2014-05-07,112.0,112.370003,111.209999,111.959999,2503700,105.395205
2014-05-08,111.970001,112.559998,111.43,111.93,2128800,105.366965
2014-05-09,111.860001,112.790001,111.080002,112.790001,2129900,106.176539
2014-05-12,113.0,114.940002,112.93,114.849998,2412000,108.115749
2014-05-13,115.0,115.959999,114.75,115.290001,2225400,108.529952
2014-05-14,115.339996,115.870003,114.57,114.660004,1958600,107.936894
2014-05-15,114.559998,114.830002,113.089996,113.220001,2110100,106.581327
2014-05-16,113.32,113.699997,112.43,113.559998,2534700,106.901387
2014-05-19,112.93,115.0,112.82,114.82,2027800,108.087509
2014-05-20,114.040001,114.559998,112.629997,113.080002,1853500,106.449536
2014-05-21,113.279999,114.730003,113.260002,114.650002,1550800,107.927479
2014-05-22,114.699997,115.239998,114.309998,114.980003,1313200,108.238131
2014-05-23,115.029999,115.879997,114.980003,115.489998,1472100,108.718222
2014-05-27,115.75,116.480003,115.489998,116.349998,1151600,109.527796
2014-05-28,116.07,117.75,115.559998,117.559998,2146700,110.666847
2014-05-29,117.529999,118.190002,116.830002,117.970001,1893300,111.05281
2014-05-30,117.699997,118.220001,116.970001,118.120003,1870900,111.194016
2014-06-02,118.110001,118.480003,117.629997,118.019997,1508700,111.099873
2014-06-03,117.0,118.760002,117.0,118.360001,2090900,111.419941
2014-06-04,118.32,118.660004,117.860001,118.360001,1512700,111.419941
2014-06-05,118.75,120.910004,118.669998,120.889999,1969200,113.801593
2014-06-06,120.769997,121.540001,120.480003,120.830002,1871600,113.745114
2014-06-09,121.0,121.68,120.290001,120.620003,2245200,113.547428
2014-06-10,120.550003,121.089996,119.989998,120.82,1586000,113.735698
2014-06-11,120.32,120.739998,119.610001,119.870003,1578200,112.841404
2014-06-12,119.769997,120.07,118.120003,118.459999,1049300,111.514076
2014-06-13,118.760002,119.57,118.260002,119.139999,956500,112.154205
2014-06-16,118.900002,119.709999,118.699997,119.199997,1251200,112.210684
2014-06-17,119.260002,119.379997,118.190002,119.099998,1197900,112.116549
2014-06-18,119.32,119.790001,118.459999,119.639999,926500,112.624887
2014-06-19,119.660004,120.169998,118.980003,120.040001,1256800,113.001434
2014-06-20,119.699997,120.099998,119.440002,119.550003,2210200,112.540168
2014-06-23,119.82,119.82,118.43,118.739998,1193200,111.777657
2014-06-24,118.110001,118.849998,116.629997,116.690002,1483400,109.847864
2014-06-25,116.699997,117.410004,116.199997,117.220001,1215900,110.346786
2014-06-26,117.290001,117.370003,116.160004,116.980003,909200,110.12086
2014-06-27,116.779999,117.75,116.75,117.5,1522400,110.610367
2014-06-30,117.410004,117.559998,116.379997,116.550003,1231500,109.716073
2014-07-01,115.169998,117.07,114.660004,116.449997,2174100,110.208199
2014-07-02,116.190002,116.449997,115.129997,115.5,1484300,109.309123
2014-07-03,116.050003,116.519997,115.75,116.019997,888900,109.801247
2014-07-07,116.169998,116.230003,115.339996,115.75,1392000,109.545723
2014-07-08,115.669998,115.75,114.32,114.800003,1316300,108.646646
