Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,79.510002,79.650002,78.949997,79.330002,3936700,74.509678
2014-05-02,79.32,80.160004,79.160004,79.400002,3738400,74.575424
2014-05-05,79.040001,79.18,78.559998,78.690002,3521000,73.908566
2014-05-06,78.639999,78.760002,77.349998,77.419998,6475800,72.715731
2014-05-07,77.849998,77.959999,76.519997,77.080002,5378600,72.396394
2014-05-08,76.940002,77.730003,76.660004,77.050003,5485100,72.368218
2014-05-09,77.059998,77.75,76.809998,77.709999,4345800,72.988111
2014-05-12,77.82,78.440002,77.75,78.269997,4324200,73.514081
2014-05-13,78.360001,78.68,77.040001,77.269997,5455500,72.574844
2014-05-14,77.330002,77.370003,76.169998,76.309998,6870000,71.673178
2014-05-15,76.050003,76.290001,75.32,76.239998,6304700,71.607431
2014-05-16,76.790001,77.370003,76.660004,77.360001,7039400,72.659379
2014-05-19,76.580002,77.07,76.370003,76.5,7733800,71.851635
2014-05-20,77.919998,78.82,77.400002,77.959999,15432200,73.22292
2014-05-21,78.25,78.510002,77.75,78.080002,6693900,73.335631
2014-05-22,77.760002,79.050003,77.760002,78.779999,5265900,73.993094
2014-05-23,78.769997,79.400002,78.510002,79.18,5003100,74.368791
2014-05-27,79.379997,80.0,79.300003,79.690002,4760600,74.847803
2014-05-28,79.75,80.0,79.269997,79.68,4002200,74.838409
2014-05-29,79.879997,79.989998,79.440002,79.900002,4408900,75.045042
2014-05-30,79.769997,80.269997,79.580002,80.230003,4528000,75.354992
2014-06-02,80.25,81.059998,80.169998,80.839996,6817700,75.92792
2014-06-03,80.190002,80.879997,80.150002,80.669998,5477700,76.211342
2014-06-04,80.32,80.889999,80.059998,80.540001,4961600,76.08853
2014-06-05,80.669998,80.860001,80.279999,80.379997,5666400,75.93737
2014-06-06,80.580002,81.269997,80.510002,80.639999,4460300,76.183001
2014-06-09,80.629997,81.32,80.419998,80.610001,3718600,76.154661
2014-06-10,80.260002,80.849998,80.220001,80.739998,4249500,76.277473
2014-06-11,80.459999,80.730003,79.760002,79.809998,4918100,75.398874
2014-06-12,79.730003,79.779999,78.199997,78.43,7643300,74.09515
2014-06-13,78.489998,78.589996,77.75,78.07,7971800,73.755046
2014-06-16,77.959999,79.089996,77.959999,78.900002,7164400,74.539174
2014-06-17,78.839996,80.459999,78.730003,80.019997,9587300,75.597266
2014-06-18,80.029999,80.760002,79.790001,80.709999,8071500,76.249132
2014-06-19,80.709999,80.849998,79.949997,80.440002,5095400,75.994058
2014-06-20,80.690002,80.800003,79.860001,80.169998,13661000,75.738977
2014-06-23,80.160004,80.800003,79.970001,80.639999,4920400,76.183001
2014-06-24,80.379997,80.830002,79.830002,80.43,5579300,75.984609
