Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,92.830002,93.169998,91.980003,92.239998,2502500,86.626505
2014-05-02,92.230003,92.839996,92.07,92.370003,2829800,86.748598
2014-05-05,92.169998,92.889999,91.82,92.610001,3215200,86.97399
2014-05-06,92.389999,92.529999,91.57,91.580002,2572000,86.006674
2014-05-07,91.93,92.970001,91.529999,92.919998,2523700,87.265122
2014-05-08,92.68,93.639999,92.57,92.959999,2219300,87.302688
2014-05-09,92.760002,92.989998,92.300003,92.800003,1832000,87.152429
2014-05-12,93.199997,94.43,93.199997,94.389999,2383100,88.645662
2014-05-13,94.5,94.769997,94.050003,94.220001,2517000,88.48601
2014-05-14,94.260002,94.550003,92.620003,92.739998,2636900,87.096076
2014-05-15,92.449997,92.620003,91.0,91.160004,4982900,85.612236
2014-05-16,91.050003,91.32,90.690002,91.199997,3543400,85.649795
2014-05-19,91.010002,91.940002,90.940002,91.889999,2846300,86.297806
2014-05-20,91.239998,91.470001,90.07,90.360001,2762500,85.278545
2014-05-21,90.800003,91.410004,90.709999,91.260002,2710200,86.127935
2014-05-22,91.360001,91.730003,91.0,91.449997,2380000,86.307245
2014-05-23,91.260002,92.089996,91.260002,91.970001,1863700,86.798006
2014-05-27,92.449997,92.5,92.129997,92.360001,1800500,87.166074
2014-05-28,92.279999,92.889999,92.269997,92.510002,2048100,87.30764
2014-05-29,92.559998,92.860001,92.389999,92.830002,1576400,87.609644
2014-05-30,92.589996,93.209999,92.5,93.150002,2412300,87.911649
2014-06-02,93.300003,93.57,92.720001,93.410004,1656700,88.157029
2014-06-03,93.199997,93.410004,92.629997,93.260002,2777700,88.015463
2014-06-04,93.209999,93.989998,92.900002,93.849998,2294700,88.572281
2014-06-05,94.0,95.330002,93.800003,94.949997,3344200,89.61042
2014-06-06,95.169998,95.559998,95.010002,95.199997,2775700,89.846361
2014-06-09,95.419998,96.489998,95.080002,95.809998,2676700,90.422058
2014-06-10,95.550003,95.660004,94.959999,95.339996,2635500,89.978488
2014-06-11,94.910004,95.099998,94.5,94.910004,2061200,89.572676
