Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,107.510002,108.25,105.230003,105.529999,1511600,93.429788
2014-05-02,105.610001,108.449997,105.529999,107.669998,945800,95.324412
2014-05-05,106.290001,106.760002,104.519997,106.540001,1589400,94.323982
2014-05-06,106.720001,108.709999,106.010002,107.709999,1206400,95.359827
2014-05-07,108.529999,109.760002,107.059998,109.68,1537700,97.103945
2014-05-08,109.620003,110.459999,107.550003,107.970001,1051900,95.590017
2014-05-09,108.059998,108.25,105.529999,106.370003,1182400,94.173476
2014-05-12,107.160004,108.830002,106.419998,107.940002,974500,95.563458
2014-05-13,107.830002,108.400002,106.910004,107.93,978700,96.111113
2014-05-14,108.129997,109.540001,107.82,108.599998,691800,96.707743
2014-05-15,108.129997,108.339996,104.279999,105.57,1325100,94.009545
2014-05-16,105.419998,105.419998,103.540001,104.57,1143800,93.11905
2014-05-19,104.779999,106.540001,104.239998,105.489998,772600,93.938303
2014-05-20,105.480003,105.779999,104.300003,104.849998,987200,93.368387
2014-05-21,105.360001,106.25,104.68,105.599998,665000,94.036258
2014-05-22,105.699997,107.150002,105.660004,106.379997,675300,94.730843
2014-05-23,106.440002,106.5,105.470001,105.949997,531000,94.34793
2014-05-27,105.93,107.410004,105.629997,107.099998,840500,95.372001
2014-05-28,107.040001,109.220001,106.57,108.839996,991700,96.92146
2014-05-29,109.040001,109.980003,107.5,109.879997,835100,97.847575
2014-05-30,109.449997,110.379997,108.75,109.949997,778100,97.90991
2014-06-02,109.900002,110.32,109.019997,109.190002,563400,97.233138
2014-06-03,108.760002,109.260002,107.349998,109.07,1107100,97.126277
2014-06-04,108.68,110.440002,107.720001,110.239998,992500,98.168154
2014-06-05,110.410004,111.349998,109.889999,111.190002,934000,99.014128
2014-06-06,111.480003,112.120003,111.029999,111.620003,761500,99.397041
2014-06-09,111.68,113.940002,111.25,112.919998,1217100,100.554681
2014-06-10,112.480003,112.580002,111.150002,111.610001,793000,99.388134
2014-06-11,111.300003,111.769997,110.690002,111.300003,475300,99.112083
2014-06-12,111.330002,113.629997,111.330002,112.07,702000,99.797761
2014-06-13,112.349998,113.099998,111.169998,113.080002,566000,100.697163
2014-06-16,112.959999,113.660004,112.089996,113.639999,955600,101.195838
2014-06-17,113.290001,114.169998,112.709999,113.470001,627900,101.044455
2014-06-18,113.82,114.5,113.260002,114.339996,529600,101.819182
2014-06-19,115.089996,116.230003,114.010002,116.209999,1075400,103.48441
2014-06-20,117.07,118.019997,116.5,116.720001,2061300,103.938564
2014-06-23,116.010002,116.989998,115.139999,115.699997,1201500,103.030255
2014-06-24,115.360001,115.75,111.690002,111.739998,1096900,99.503896
2014-06-25,111.690002,114.43,111.650002,114.080002,941800,101.587658
2014-06-26,114.519997,115.860001,113.290001,115.349998,804000,102.718583
2014-06-27,114.739998,115.849998,114.32,115.480003,1605600,102.834352
2014-06-30,115.389999,116.230003,114.849998,116.110001,710200,103.395361
2014-07-01,116.910004,118.019997,116.349998,116.510002,848400,103.751561
2014-07-02,116.739998,118.949997,116.739998,117.75,1077000,104.855772
2014-07-03,118.610001,118.610001,116.800003,118.290001,426000,105.336641
2014-07-07,117.220001,117.410004,115.309998,115.449997,825200,102.807632
2014-07-08,115.529999,115.959999,114.199997,115.5,1061800,102.852159
2014-07-09,116.099998,116.230003,114.900002,115.75,1182700,103.074783
2014-07-10,114.160004,115.279999,113.040001,114.610001,949600,102.059619
2014-07-11,114.489998,114.559998,112.599998,113.480003,784900,101.053362
2014-07-14,114.239998,115.379997,113.629997,114.129997,693500,101.632179
2014-07-15,113.940002,114.629997,111.870003,112.93,979200,100.563587
2014-07-16,113.919998,116.279999,113.57,116.230003,943500,103.502223
2014-07-17,115.790001,116.489998,113.339996,113.519997,751300,101.088976
2014-07-18,113.709999,114.68,112.800003,114.230003,735400,101.721233
2014-07-21,114.040001,114.760002,113.43,114.5,520800,101.961664
2014-07-22,115.239998,116.339996,115.010002,116.040001,543700,103.333027
2014-07-23,116.190002,116.690002,114.529999,116.25,513100,103.52003
2014-07-24,116.900002,118.07,115.900002,116.959999,810200,104.152281
2014-07-25,116.459999,117.209999,115.220001,116.800003,649800,104.009805
2014-07-28,117.150002,117.5,114.730003,116.220001,589100,103.493316
2014-07-29,115.989998,116.129997,115.080002,115.169998,709300,102.558294
2014-07-30,116.580002,116.639999,113.809998,114.5,911400,101.961664
2014-07-31,113.5,113.510002,104.809998,106.260002,2640600,94.623988
2014-08-01,105.459999,106.050003,102.769997,105.480003,1764200,93.929403
2014-08-04,105.400002,107.400002,103.860001,107.260002,1440600,95.514483
2014-08-05,106.360001,106.68,103.529999,104.110001,1356900,92.709423
2014-08-06,103.18,106.209999,103.099998,103.989998,814100,92.602561
2014-08-07,104.290001,104.709999,100.870003,101.93,1737800,90.768144
2014-08-08,102.110001,103.5,101.199997,103.230003,1294000,91.92579
2014-08-11,103.550003,103.989998,102.099998,102.639999,1125300,91.400394
2014-08-12,103.099998,103.099998,100.860001,101.220001,974300,90.135893
2014-08-13,101.699997,102.809998,101.410004,102.260002,1066900,91.685197
2014-08-14,103.080002,103.419998,98.339996,98.629997,1281600,88.430575
2014-08-15,98.870003,99.93,98.550003,99.379997,1817100,89.103016
2014-08-18,99.839996,100.129997,98.309998,99.330002,1214800,89.058191
2014-08-19,99.650002,100.209999,99.18,99.279999,885600,89.013359
2014-08-20,99.839996,101.190002,98.559998,101.050003,1238300,90.600325
2014-08-21,100.790001,100.889999,99.0,100.040001,1207800,89.694768
2014-08-22,100.0,100.260002,98.480003,99.879997,820500,89.551311
2014-08-25,100.120003,101.529999,99.879997,101.139999,905100,90.681015
2014-08-26,101.32,103.82,101.32,101.949997,906300,91.40725
2014-08-27,102.120003,103.690002,101.199997,102.860001,793700,92.223149
2014-08-28,102.220001,103.440002,101.839996,103.07,824000,92.411432
2014-08-29,103.290001,105.209999,102.160004,105.050003,1055500,94.186681
2014-09-02,104.739998,105.0,102.769997,103.82,1220200,93.083874
2014-09-03,104.0,105.5,103.830002,105.120003,1035500,94.249442
