Date,Open,High,Low,Close,Volume,Adj Close
2015-07-06,71.0,74.290001,71.0,72.959999,3809700,68.8528
2015-07-07,73.730003,74.709999,72.959999,74.629997,5794300,70.428788
2015-07-08,74.300003,75.5,74.040001,75.400002,4276600,71.155446
2015-07-09,76.470001,77.066002,74.5,74.800003,3829800,70.589223
2015-07-10,75.050003,77.800003,75.0,77.309998,4983000,72.957921
2015-07-13,79.5,79.699997,77.910004,78.830002,9078900,74.392358
2015-07-14,79.449997,79.5,77.650002,78.0,18746100,73.60908
2015-07-15,77.650002,78.169998,76.400002,76.709999,6330500,72.391698
2015-07-16,76.970001,78.839996,76.949997,78.75,5634100,74.31686
2015-07-17,79.43,79.690002,77.260002,79.629997,6100900,75.147319
2015-07-20,79.949997,81.199997,79.129997,80.110001,10284500,75.600301
2015-07-21,79.970001,80.68,79.400002,80.220001,6088600,75.704109
2015-07-22,80.830002,80.900002,78.580002,78.639999,5201200,74.213051
2015-07-23,78.419998,78.57,76.639999,76.739998,2975400,72.930075
2015-07-24,76.919998,77.43,75.949997,76.410004,3116000,72.616465
2015-07-27,76.629997,77.980003,76.290001,77.379997,5774300,73.538301
2015-07-28,78.440002,78.650002,77.5,78.32,1895900,74.431635
2015-07-29,78.260002,78.300003,77.0,77.910004,2278600,74.041994
2015-07-30,78.209999,79.690002,77.599998,79.209999,3247000,75.277448
2015-07-31,79.940002,79.940002,78.864998,79.470001,2685500,75.524542
2015-08-03,80.0,81.029999,79.910004,80.370003,2681800,76.379861
2015-08-04,80.57,81.0,79.669998,79.809998,2429600,75.847658
2015-08-05,80.010002,81.0,79.849998,80.480003,4324300,76.4844
2015-08-06,81.050003,81.190002,79.510002,79.760002,3708600,75.800145
2015-08-07,79.139999,79.379997,77.290001,78.459999,3274100,74.564684
2015-08-10,79.43,79.800003,78.57,78.809998,3252300,74.897306
2015-08-11,77.629997,80.480003,77.07,77.970001,3889100,74.099013
2015-08-12,77.830002,78.309998,76.089996,76.690002,3688800,72.882562
2015-08-13,77.010002,77.07,75.800003,75.989998,2917500,72.217311
2015-08-14,76.07,76.739998,75.116997,76.419998,2572800,72.625963
2015-08-17,75.860001,76.410004,75.510002,75.800003,2260300,72.036749
2015-08-18,75.720001,75.953003,75.059998,75.190002,2009700,71.457033
2015-08-19,75.0,75.290001,73.919998,74.779999,3025700,71.067385
2015-08-20,74.019997,74.764,73.779999,74.25,2207000,70.563699
2015-08-21,73.309998,74.25,72.260002,72.269997,5564500,68.681997
2015-08-24,68.239998,72.239998,61.419998,70.870003,9844600,67.351509
2015-08-25,71.540001,72.400002,70.0,70.209999,4423400,66.724273
2015-08-26,71.720001,74.110001,69.529999,73.910004,5356300,70.240582
2015-08-27,73.169998,75.25,73.120003,75.18,5937800,71.447527
2015-08-28,74.400002,75.190002,73.82,74.690002,2150100,70.981857
2015-08-31,74.209999,74.43,72.57,72.660004,2688400,69.052641
2015-09-01,71.230003,72.540001,69.639999,70.120003,4671400,66.638744
2015-09-02,70.839996,72.07,70.309998,72.07,2986500,68.491929
2015-09-03,72.559998,73.889999,71.790001,72.160004,2595300,68.577465
2015-09-04,71.139999,71.690002,70.128998,70.57,2997000,67.0664
2015-09-08,71.849998,74.330002,70.809998,74.07,4450700,70.392635
2015-09-09,74.449997,74.5,71.980003,72.169998,2936400,68.586963
2015-09-10,72.129997,73.050003,71.779999,72.160004,3619700,68.577465
2015-09-11,72.25,73.93,71.599998,73.760002,2146700,70.098028
2015-09-14,73.5,74.709999,72.555,74.550003,2927400,70.848808
2015-09-15,74.940002,75.519997,73.754997,75.389999,3393300,71.647101
2015-09-16,75.199997,76.709999,74.300003,76.370003,2302800,72.57845
