Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,111.809993,112.100002,110.599998,111.230006,1818700,97.346108
2014-05-02,111.000003,111.499994,110.739993,111.029995,1322500,97.171063
2014-05-05,110.42,110.729999,110.149995,110.230008,1253300,96.470931
2014-05-06,110.230008,110.679994,109.799995,109.860002,1546200,96.14711
2014-05-07,110.359993,111.329999,110.110001,110.949998,1694500,97.101052
2014-05-08,110.629997,111.149993,110.499996,110.709994,1316600,96.891004
2014-05-09,110.719996,111.069997,110.629997,110.809995,1338100,96.978524
2014-05-12,111.000003,111.139999,110.009992,110.2,1523500,96.444669
2014-05-13,110.589995,111.340001,110.379998,111.279994,1237700,97.389857
2014-05-14,111.180001,111.769999,110.879997,111.019992,919500,97.162309
2014-05-15,110.86,111.389998,110.509999,110.739993,1252700,96.91726
2014-05-16,110.279996,111.309994,110.120004,111.059994,1275600,97.197318
2014-05-19,109.959995,110.289999,109.219999,109.719998,2122800,96.024582
2014-05-20,109.579995,110.469997,109.529998,109.55999,1385700,95.884546
2014-05-21,109.730001,110.189998,109.33999,110.019994,1129200,96.287132
2014-05-22,109.910006,110.369995,109.709996,110.12999,927200,96.383398
2014-05-23,110.099999,110.800008,110.029997,110.729999,873200,96.908512
2014-05-27,110.900002,111.019992,110.479999,110.560003,1302200,96.759736
2014-05-28,110.780003,110.919991,110.249997,110.539998,1053500,96.742228
2014-05-29,110.909996,111.340001,110.579993,111.259997,1036700,97.372356
2014-05-30,111.069997,112.5,111.069997,112.349994,1618800,98.326298
2014-06-02,112.339991,112.369999,111.819995,112.079997,959100,98.090002
2014-06-03,111.909994,112.230003,111.059994,111.099997,1246400,97.232327
2014-06-04,110.359993,111.449989,110.009992,111.360007,1629200,98.202367
2014-06-05,111.419998,111.560001,110.669999,111.099997,1287600,97.973079
2014-06-06,111.309994,111.970001,111.019992,111.660003,1178600,98.466918
2014-06-09,111.550007,112.249993,111.169998,111.980004,1157100,98.749109
2014-06-10,111.660003,112.059992,111.299999,111.530002,1000400,98.352277
2014-06-11,111.289997,111.570004,110.809995,111.089994,847800,97.964258
2014-06-12,110.759998,110.909996,109.660007,110.12999,1236800,97.117683
2014-06-13,110.169993,111.000003,109.839997,110.660005,1073800,97.585074
2014-06-16,110.39,111.400001,110.120004,110.939996,1121600,97.831983
2014-06-17,110.839995,111.410003,110.39,111.099997,1022600,97.973079
2014-06-18,110.960001,112.01999,110.579993,112.010004,1263000,98.775565
2014-06-19,111.959999,113.209996,111.829998,113.110003,1468100,99.745594
2014-06-20,113.929995,113.929995,112.179999,112.660001,2597000,99.348762
2014-06-23,112.730002,112.730002,111.679992,111.909994,1045800,98.687372
2014-06-24,111.580006,111.889989,111.21,111.589993,1060900,98.40518
2014-06-25,111.410003,111.660003,111.05,111.400001,1080800,98.237636
2014-06-26,111.259997,111.259997,110.249997,110.849997,1136100,97.752618
2014-06-27,110.849997,111.629995,110.400003,111.370001,1298700,98.211181
2014-06-30,111.530002,112.110005,111.010006,111.220003,1254500,98.078906
2014-07-01,110.83,111.819995,110.440005,111.519999,1197400,98.343456
2014-07-02,111.580006,111.919997,111.249995,111.440003,950600,98.272912
2014-07-03,111.130004,112.059992,111.130004,111.879987,896400,98.66091
2014-07-07,111.87,112.249993,111.65,112.139997,837300,98.890198
2014-07-08,111.970001,112.730002,111.679992,112.489997,1172700,99.198845
2014-07-09,112.5,113.219999,112.5,113.059998,1110100,99.701498
2014-07-10,112.45999,113.059998,112.419996,112.809991,955800,99.48103
2014-07-11,112.690008,112.779991,112.379994,112.609996,841100,99.304665
2014-07-14,113.070001,113.709995,112.959997,113.019996,1278500,99.666222
2014-07-15,113.409999,113.969997,113.120005,113.789992,1684200,100.34524
2014-07-16,114.099998,114.449991,113.51,114.239994,1495100,100.742072
2014-07-17,113.739995,114.019994,112.609996,112.670003,1360200,99.357582
2014-07-18,113.059998,113.309998,112.349994,113.290001,1432400,99.904325
2014-07-21,113.019996,113.16,112.039995,112.31,2419800,99.040115
2014-07-22,110.909996,111.199998,108.790002,108.839991,4394100,95.980102
2014-07-23,109.460004,110.050002,109.070001,109.499998,2444200,96.562127
2014-07-24,109.589989,109.959995,109.419994,109.489996,2126800,96.553306
2014-07-25,109.439999,109.619997,108.489998,108.53,1542100,95.706738
