Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,57.73,58.259998,56.869999,57.200001,1950300,54.934426
2014-05-02,57.200001,57.91,56.799999,57.52,1501900,55.241752
2014-05-05,57.009998,57.369999,56.669998,57.209999,1009800,54.944029
2014-05-06,56.970001,57.580002,56.540001,56.700001,1111200,54.45423
2014-05-07,56.639999,57.25,56.110001,56.860001,2015000,54.607893
2014-05-08,56.939999,57.759998,56.459999,56.919998,1647300,54.665514
2014-05-09,56.810001,57.189999,56.23,57.18,2032400,54.915218
2014-05-12,57.580002,58.32,57.400002,58.25,1689600,55.942837
2014-05-13,58.25,58.369999,57.169998,57.240002,1527800,54.972843
2014-05-14,57.040001,57.240002,56.209999,56.330002,1443000,54.098886
2014-05-15,56.490002,56.490002,55.400002,55.860001,1936700,53.647501
2014-05-16,56.400002,58.98,56.200001,58.52,3666400,56.202144
2014-05-19,58.169998,59.240002,58.099998,58.950001,2282200,56.615113
2014-05-20,58.790001,59.23,58.349998,58.84,1242600,56.509469
2014-05-21,59.060001,59.700001,58.93,59.450001,1872600,57.095309
2014-05-22,59.599998,59.970001,59.110001,59.200001,1564100,56.855211
2014-05-23,59.549999,60.950001,59.330002,60.610001,2285800,58.209363
2014-05-27,60.490002,61.82,60.470001,61.810001,2400600,59.361834
2014-05-28,61.98,62.110001,61.509998,61.75,1411100,59.30421
2014-05-29,61.82,61.900002,61.32,61.779999,1776600,59.33302
2014-05-30,61.759998,62.220001,61.299999,62.040001,1192800,59.582724
2014-06-02,62.25,62.709999,61.77,62.310001,1528700,59.84203
2014-06-03,62.470001,64.739998,62.25,64.650002,4433700,62.089348
2014-06-04,64.440002,65.07,64.309998,64.559998,2274900,62.002909
2014-06-05,64.790001,65.360001,64.019997,65.019997,1696100,62.444688
2014-06-06,65.169998,65.379997,64.849998,65.0,1329100,62.425484
2014-06-09,65.330002,65.75,64.959999,65.040001,1359500,62.637359
2014-06-10,64.779999,65.290001,64.629997,65.209999,1299500,62.801077
2014-06-11,64.949997,65.5,64.809998,65.43,1178500,63.012951
2014-06-12,65.290001,65.93,65.050003,65.519997,1412500,63.099623
2014-06-13,65.690002,66.25,65.07,65.699997,1497500,63.272974
2014-06-16,65.199997,66.690002,65.199997,66.489998,1580800,64.033791
2014-06-17,66.309998,66.889999,66.099998,66.639999,1271200,64.178252
2014-06-18,66.800003,66.800003,65.849998,66.540001,1088400,64.081947
2014-06-19,66.639999,66.889999,65.580002,66.089996,1715800,63.648566
2014-06-20,66.360001,67.139999,66.089996,66.309998,2391000,63.86044
2014-06-23,66.919998,67.849998,66.82,67.57,1583500,65.073897
2014-06-24,67.230003,67.470001,66.339996,66.470001,1378500,64.014533
2014-06-25,66.470001,66.839996,65.879997,66.580002,1325200,64.120471
2014-06-26,66.889999,66.93,65.919998,66.5,852100,64.043424
2014-06-27,66.459999,67.290001,66.370003,66.949997,1509100,64.476798
2014-06-30,67.190002,67.989998,66.82,67.580002,1460800,65.08353
2014-07-01,68.0,69.120003,67.900002,68.620003,1777000,66.085112
2014-07-02,68.239998,68.949997,68.209999,68.699997,1025000,66.162151
2014-07-03,69.080002,69.470001,68.889999,69.010002,1367100,66.460704
2014-07-07,68.879997,69.300003,68.160004,68.610001,1351400,66.075479
2014-07-08,68.459999,70.660004,67.550003,69.669998,3765100,67.096319
2014-07-09,69.690002,71.830002,69.690002,71.519997,3478000,68.877977
2014-07-10,70.370003,71.5,69.900002,71.089996,1775800,68.463861
2014-07-11,71.199997,71.559998,70.720001,71.529999,1167800,68.88761
