Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,69.760002,69.760002,68.690002,69.550003,692500,62.186893
2014-05-02,69.419998,70.230003,68.980003,70.209999,669000,62.777017
2014-05-05,69.889999,70.699997,69.639999,70.68,493000,63.19726
2014-05-06,70.800003,70.940002,70.410004,70.690002,378700,63.206203
2014-05-07,70.75,71.839996,70.57,71.82,471600,64.21657
2014-05-08,71.940002,72.279999,71.059998,71.639999,645500,64.055626
2014-05-09,71.639999,72.07,71.199997,72.019997,401800,64.395394
2014-05-12,72.220001,72.25,71.839996,72.25,261900,64.601047
2014-05-13,72.32,72.889999,70.980003,71.160004,447900,63.626446
2014-05-14,71.110001,71.790001,70.830002,71.32,430900,63.769504
2014-05-15,71.260002,71.709999,70.93,71.669998,311200,64.082449
2014-05-16,71.589996,72.400002,71.470001,72.349998,290100,64.690459
2014-05-19,72.309998,72.660004,71.870003,72.330002,635400,64.672579
2014-05-20,72.330002,72.690002,72.050003,72.580002,516100,64.896112
2014-05-21,72.669998,72.800003,71.169998,71.220001,406700,63.680092
2014-05-22,71.209999,71.370003,70.769997,71.019997,322500,63.501261
2014-05-23,71.230003,71.510002,70.889999,71.370003,376800,63.814213
2014-05-27,71.449997,72.120003,71.32,71.959999,526800,64.341748
2014-05-28,71.809998,71.860001,71.18,71.599998,295100,64.01986
2014-05-29,71.699997,71.860001,71.519997,71.790001,274200,64.189747
2014-05-30,71.790001,72.580002,71.519997,72.349998,1056400,64.690459
2014-06-02,72.440002,72.769997,72.220001,72.709999,190300,65.012347
2014-06-03,72.419998,72.769997,72.099998,72.699997,461400,65.003404
2014-06-04,72.660004,73.0,72.370003,72.809998,290100,65.101759
2014-06-05,73.0,73.480003,72.669998,73.410004,513300,65.638243
2014-06-06,73.410004,73.489998,72.400002,72.5,481300,64.82458
2014-06-09,72.400002,72.709999,71.43,71.860001,411500,64.252336
2014-06-10,71.879997,71.949997,71.120003,71.440002,271600,63.876802
2014-06-11,71.449997,71.5,70.690002,71.059998,493600,63.537027
2014-06-12,71.019997,71.120003,70.279999,70.830002,527100,63.331381
2014-06-13,71.0,71.300003,70.360001,71.160004,302000,63.626446
2014-06-16,71.32,71.449997,70.389999,70.650002,419300,63.170437
2014-06-17,70.709999,71.169998,70.419998,70.919998,476400,63.41185
2014-06-18,71.040001,71.559998,70.730003,71.220001,601100,63.680092
2014-06-19,71.349998,71.790001,70.949997,71.779999,500600,64.180804
2014-06-20,71.529999,72.190002,71.529999,72.110001,511800,64.475869
2014-06-23,72.279999,72.440002,71.839996,72.0,584600,64.377514
2014-06-24,71.889999,72.209999,71.610001,72.029999,485700,64.404337
2014-06-25,72.120003,72.419998,72.050003,72.400002,682100,64.735168
2014-06-26,72.410004,72.43,72.07,72.300003,382900,64.645756
2014-06-27,72.269997,73.32,72.230003,73.18,680700,65.43259
2014-06-30,73.330002,73.449997,72.690002,73.050003,545000,65.316355
2014-07-01,72.93,73.459999,72.709999,73.290001,696300,65.530945
2014-07-02,73.160004,73.349998,72.489998,73.129997,365000,65.387881
2014-07-03,72.830002,73.099998,72.18,72.550003,206600,64.869289
2014-07-07,72.5,72.980003,72.290001,72.860001,218100,65.146468
2014-07-08,72.82,73.419998,72.790001,73.0,284900,65.271646
2014-07-09,73.190002,73.220001,72.589996,73.089996,150400,65.352115
2014-07-10,72.360001,73.279999,72.360001,73.050003,591400,65.316355
2014-07-11,72.470001,72.620003,71.919998,72.470001,430500,65.451827
2014-07-14,72.610001,73.0,72.279999,72.980003,536800,65.91244
2014-07-15,72.980003,73.5,72.940002,73.440002,401800,66.327891
2014-07-16,73.709999,73.910004,73.019997,73.559998,453700,66.436266
2014-07-17,73.309998,73.839996,73.150002,73.559998,378200,66.436266
2014-07-18,73.690002,74.379997,73.690002,73.889999,313000,66.73431
2014-07-21,73.660004,74.019997,73.290001,73.410004,244100,66.300798
2014-07-22,73.449997,73.980003,73.410004,73.480003,456000,66.364018
2014-07-23,73.910004,74.029999,73.57,74.0,344200,66.833657
2014-07-24,73.980003,74.639999,73.870003,74.379997,433100,67.176855
2014-07-25,74.209999,74.5,74.050003,74.199997,374500,67.014286
2014-07-28,74.220001,74.919998,74.099998,74.629997,377700,67.402644
2014-07-29,74.5,74.989998,74.269997,74.550003,356000,67.330397
2014-07-30,74.510002,75.089996,74.379997,74.910004,512900,67.655534
2014-07-31,73.470001,73.879997,69.809998,69.919998,1889900,63.148773
2014-08-01,69.660004,70.290001,69.529999,69.959999,1344400,63.1849
2014-08-04,70.150002,71.110001,69.669998,71.050003,574400,64.169345
2014-08-05,70.650002,71.389999,70.449997,70.5,494300,63.672606
2014-08-06,70.32,70.709999,70.220001,70.540001,439700,63.708733
2014-08-07,70.800003,71.019997,70.279999,70.599998,261500,63.76292
2014-08-08,70.860001,71.019997,70.269997,70.480003,309800,63.654546
2014-08-11,70.720001,71.0,70.389999,70.639999,258800,63.799048
2014-08-12,70.540001,70.879997,70.279999,70.300003,312600,63.491977
2014-08-13,70.599998,71.470001,70.290001,71.199997,224700,64.304814
2014-08-14,71.32,71.510002,70.68,70.900002,297000,64.03387
2014-08-15,71.080002,71.25,70.709999,70.970001,171700,64.097091
2014-08-18,71.25,72.0,71.18,71.989998,271700,65.018309
2014-08-19,72.0,72.139999,71.57,72.080002,241000,65.099597
2014-08-20,71.970001,72.510002,71.639999,72.349998,232900,65.343446
2014-08-21,72.349998,72.669998,72.160004,72.25,166500,65.253132
2014-08-22,72.239998,72.239998,71.370003,71.690002,363500,64.747366
2014-08-25,72.239998,72.239998,71.410004,71.739998,213200,64.792519
2014-08-26,71.93,72.18,71.5,71.93,174000,64.964122
2014-08-27,72.150002,72.150002,71.690002,71.900002,219100,64.937028
2014-08-28,71.889999,72.169998,71.650002,71.870003,181300,64.909934
2014-08-29,71.790001,72.379997,71.540001,72.32,346500,65.316352
2014-09-02,72.519997,72.660004,72.040001,72.260002,467100,65.262165
2014-09-03,72.589996,72.769997,72.279999,72.510002,402000,65.487955
