Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,57.869999,58.57,57.84,58.549999,3077800,56.189669
2014-05-02,58.299999,59.310001,58.200001,59.09,3612200,56.707901
2014-05-05,59.02,59.029999,58.27,58.880001,2025800,56.506368
2014-05-06,58.880001,58.900002,57.970001,58.0,2756000,55.661842
2014-05-07,57.32,58.119999,57.240002,58.110001,3219800,55.767408
2014-05-08,58.169998,58.669998,57.610001,57.889999,1925600,55.556276
2014-05-09,58.209999,58.299999,57.509998,58.169998,2412400,55.824987
2014-05-12,58.529999,59.540001,58.5,59.220001,1546200,56.832661
2014-05-13,59.18,59.389999,58.790001,58.869999,1862900,56.496769
2014-05-14,58.880001,58.970001,58.43,58.580002,1101600,56.218462
2014-05-15,58.529999,58.529999,57.349998,57.93,1504400,55.594664
2014-05-16,57.939999,58.360001,57.73,58.349998,1529400,55.997731
2014-05-19,58.169998,58.689999,58.0,58.610001,1247400,56.247252
2014-05-20,58.389999,58.959999,58.34,58.889999,2163800,56.515963
2014-05-21,58.380001,58.919998,58.34,58.759998,2394500,56.583367
2014-05-22,58.68,59.240002,58.619999,58.759998,2293000,56.583367
2014-05-23,58.98,59.330002,58.82,59.259998,1619200,57.064846
2014-05-27,59.57,59.75,59.349998,59.450001,1897800,57.24781
2014-05-28,59.439999,59.57,59.200001,59.439999,1708700,57.238178
2014-05-29,59.630001,60.720001,59.400002,60.68,2784300,58.432247
2014-05-30,60.880001,61.73,60.75,61.619999,3821600,59.337426
2014-06-02,61.709999,61.860001,61.049999,61.540001,3493200,59.260391
2014-06-03,61.5,61.529999,61.150002,61.490002,2427200,59.212244
2014-06-04,61.349998,61.759998,61.220001,61.720001,1874900,59.433723
2014-06-05,61.950001,62.360001,61.57,62.310001,1644600,60.001868
2014-06-06,62.32,62.860001,62.279999,62.849998,1525700,60.521863
2014-06-09,62.57,63.139999,62.5,62.82,1568600,60.492975
2014-06-10,62.740002,62.84,62.43,62.700001,1972300,60.377421
2014-06-11,61.720001,61.98,61.450001,61.77,2622200,59.481871
2014-06-12,61.830002,61.93,61.220001,61.450001,1702900,59.173725
2014-06-13,61.5,61.639999,61.0,61.380001,1340800,59.106318
2014-06-16,61.32,61.799999,61.32,61.619999,1239000,59.337426
2014-06-17,61.509998,62.57,61.360001,62.450001,1369500,60.136682
2014-06-18,62.529999,63.27,62.5,63.119999,1791200,60.781861
2014-06-19,62.310001,63.369999,62.310001,63.369999,1411500,61.022601
2014-06-20,63.509998,64.099998,63.27,63.560001,4750000,61.205565
2014-06-23,63.369999,63.849998,63.330002,63.790001,1390200,61.427045
2014-06-24,63.549999,64.089996,63.119999,63.580002,2818900,61.224825
2014-06-25,63.549999,63.630001,63.220001,63.43,2966400,61.080379
2014-06-26,63.689999,64.089996,63.290001,63.990002,2031700,61.619637
2014-06-27,63.889999,64.25,63.720001,63.98,2345500,61.610005
2014-06-30,64.019997,64.309998,63.790001,64.099998,1133700,61.725559
2014-07-01,64.32,64.760002,64.18,64.669998,1588400,62.274444
2014-07-02,64.800003,65.389999,64.459999,65.360001,1815600,62.938887
2014-07-03,65.260002,65.730003,65.230003,65.559998,963400,63.131476
2014-07-07,65.5,65.879997,65.360001,65.870003,1488200,63.429998
2014-07-08,65.529999,65.699997,64.730003,64.919998,2018600,62.515184
2014-07-09,65.260002,65.5,64.940002,65.419998,2219300,62.996662
2014-07-10,64.550003,65.809998,64.550003,65.57,2627600,63.141107
2014-07-11,65.32,65.669998,64.980003,65.019997,2136300,62.611478
2014-07-14,65.410004,65.860001,65.129997,65.32,1998800,62.900368
2014-07-15,65.360001,65.580002,64.660004,64.980003,2346600,62.572966
2014-07-16,65.139999,65.279999,64.620003,64.720001,1857300,62.322595
2014-07-17,64.489998,64.849998,63.369999,63.380001,3033300,61.032232
2014-07-18,63.779999,64.989998,63.599998,64.900002,1992400,62.495928
2014-07-21,64.830002,65.139999,64.540001,64.970001,1565200,62.563335
2014-07-22,65.370003,66.32,65.349998,66.110001,2189700,63.661105
2014-07-23,65.900002,66.510002,65.779999,66.470001,1705100,64.00777
2014-07-24,66.400002,67.080002,66.129997,66.830002,3008300,64.354436
2014-07-25,66.720001,67.120003,66.269997,66.370003,1424200,63.911476
2014-07-28,66.480003,67.07,66.019997,66.169998,2942500,63.71888
2014-07-29,66.080002,66.889999,65.650002,65.690002,3228200,63.256665
2014-07-30,66.220001,66.470001,64.360001,65.410004,3930700,62.987038
2014-07-31,65.32,65.339996,64.459999,64.709999,3291400,62.312964
2014-08-01,64.790001,65.269997,64.32,64.879997,2908500,62.476665
2014-08-04,65.040001,66.25,64.900002,65.989998,2675600,63.545548
2014-08-05,65.75,65.900002,64.769997,64.910004,2939000,62.505559
2014-08-06,64.339996,65.029999,64.18,64.510002,2358500,62.120375
2014-08-07,64.860001,65.489998,64.120003,64.239998,2545700,61.860373
2014-08-08,64.739998,64.970001,64.300003,64.940002,1774800,62.534447
2014-08-11,65.660004,65.919998,65.0,65.720001,1536000,63.285552
2014-08-12,65.690002,66.010002,65.370003,65.57,1586000,63.141107
2014-08-13,65.82,66.660004,65.199997,66.550003,1623100,64.084809
2014-08-14,66.75,67.349998,66.550003,67.260002,1685600,64.768508
2014-08-15,67.660004,67.690002,67.029999,67.370003,2529100,64.874433
2014-08-18,67.870003,67.949997,67.339996,67.660004,1750700,65.153692
2014-08-19,67.629997,68.269997,67.57,68.129997,1956700,65.800783
2014-08-20,68.0,68.639999,67.870003,68.540001,1377100,66.19677
2014-08-21,68.57,68.739998,68.330002,68.440002,1204600,66.10019
2014-08-22,68.279999,68.559998,68.160004,68.449997,1084200,66.109843
2014-08-25,68.639999,68.940002,68.57,68.760002,1415400,66.409249
2014-08-26,68.980003,69.07,68.449997,68.989998,1147400,66.631382
2014-08-27,69.040001,69.209999,68.779999,68.879997,1421400,66.525142
2014-08-28,68.779999,69.120003,68.169998,68.989998,1382300,66.631382
2014-08-29,69.330002,69.489998,68.849998,69.400002,1393100,67.027369
2014-09-02,69.68,69.690002,68.800003,69.43,1833700,67.056342
2014-09-03,69.599998,70.199997,69.440002,70.0,2911500,67.606854
2014-09-04,70.440002,70.980003,70.330002,70.519997,2832400,68.109074
2014-09-05,70.209999,70.830002,70.209999,70.830002,2367300,68.40848
2014-09-08,70.860001,71.330002,70.650002,71.07,2313100,68.640273
2014-09-09,71.0,71.300003,70.720001,70.779999,1571300,68.360187
2014-09-10,70.900002,71.040001,70.5,70.790001,1789300,68.369847
2014-09-11,70.82,71.529999,70.510002,71.400002,2869100,68.958993
2014-09-12,71.139999,71.230003,70.220001,70.620003,1640500,68.205661
