Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,100.68,101.040001,100.330002,100.959999,3531400,91.626522
2014-05-02,101.110001,102.279999,100.989998,101.43,4934000,92.053073
2014-05-05,101.379997,101.379997,100.589996,101.139999,3483500,91.789881
2014-05-06,101.059998,101.300003,100.800003,100.949997,3075100,91.617444
2014-05-07,101.260002,102.110001,100.949997,101.959999,4322600,92.534074
2014-05-08,102.0,102.18,101.43,101.949997,3384500,92.524997
2014-05-09,101.849998,102.949997,101.82,102.93,3649400,93.414402
2014-05-12,102.949997,103.330002,102.790001,102.860001,3817400,93.350873
2014-05-13,103.32,103.620003,102.5,103.529999,3955400,93.958932
2014-05-14,103.690002,103.779999,102.540001,103.029999,3826300,93.505156
2014-05-15,102.779999,103.0,102.150002,102.5,3810800,93.024154
2014-05-16,102.550003,103.389999,102.349998,103.139999,5081000,93.604987
2014-05-19,102.809998,102.830002,101.739998,102.089996,3859800,92.652054
2014-05-20,102.050003,102.440002,101.440002,101.529999,3123700,92.143826
2014-05-21,101.709999,102.580002,101.550003,102.559998,2735600,93.078605
2014-05-22,102.650002,102.980003,102.230003,102.449997,3376000,92.978773
2014-05-23,102.519997,102.849998,101.769997,102.0,4174300,92.570377
2014-05-27,102.199997,102.900002,102.07,102.360001,5093200,92.897097
2014-05-28,101.839996,102.040001,100.870003,101.300003,8930700,91.935093
2014-05-29,101.269997,101.489998,100.870003,101.339996,4123700,92.712719
2014-05-30,101.25,101.459999,100.709999,101.43,4232800,92.795061
2014-06-02,101.389999,102.5,101.32,102.029999,3001400,93.343981
2014-06-03,101.639999,102.0,101.410004,101.449997,3363500,92.813356
2014-06-04,101.360001,102.470001,101.269997,102.440002,3589200,93.71908
2014-06-05,102.339996,102.599998,101.75,102.449997,2407800,93.728224
2014-06-06,102.410004,102.620003,101.779999,101.959999,2955500,93.27994
2014-06-09,101.589996,102.0,101.18,101.379997,3802600,92.749315
2014-06-10,101.610001,101.610001,100.68,100.879997,5961200,92.291881
2014-06-11,100.739998,100.959999,100.330002,100.419998,6606100,91.871043
2014-06-12,100.410004,101.010002,99.540001,99.760002,5609100,91.267233
2014-06-13,99.410004,100.589996,99.410004,100.489998,4014600,91.935083
2014-06-16,100.419998,101.169998,100.239998,101.099998,4038600,92.493153
2014-06-17,100.910004,101.839996,100.82,101.269997,6479700,92.648679
2014-06-18,101.739998,101.790001,100.910004,101.349998,5441200,92.72187
2014-06-19,101.040001,102.029999,101.040001,101.910004,3372200,93.234201
2014-06-20,102.199997,102.300003,101.660004,101.919998,5418100,93.243345
2014-06-23,101.639999,101.989998,101.510002,101.910004,2919000,93.234201
2014-06-24,101.839996,102.18,101.410004,101.470001,4586400,92.831657
2014-06-25,101.089996,101.900002,101.029999,101.610001,3662000,92.959738
2014-06-26,101.610001,101.889999,101.07,101.510002,2783200,92.868252
2014-06-27,101.25,101.669998,101.150002,101.459999,2785500,92.822506
2014-06-30,101.269997,101.480003,100.5,100.739998,4265700,92.1638
2014-07-01,100.43,101.360001,100.239998,101.0,3787700,92.401668
2014-07-02,101.019997,101.080002,100.349998,100.529999,3216700,91.971679
2014-07-03,101.32,101.32,100.739998,100.980003,2295800,92.383373
2014-07-07,100.75,100.75,99.82,100.169998,3951700,91.642326
2014-07-08,99.790001,100.57,99.730003,100.089996,3115100,91.569134
2014-07-09,100.300003,101.25,100.260002,101.07,5604900,92.465708
2014-07-10,100.220001,101.050003,100.160004,100.580002,3274900,92.017425
2014-07-11,100.660004,100.809998,100.029999,100.370003,2812500,91.825303
2014-07-14,100.690002,100.730003,100.300003,100.470001,4159900,91.916789
2014-07-15,100.32,100.370003,99.860001,100.300003,3787000,91.761263
2014-07-16,99.650002,99.800003,98.760002,99.269997,7128700,90.818943
2014-07-17,98.959999,99.089996,98.349998,98.370003,4099100,89.995567
2014-07-18,98.639999,99.089996,98.129997,98.989998,4044900,90.562781
2014-07-21,98.519997,98.629997,97.550003,97.550003,6510600,89.245376
2014-07-22,95.389999,96.849998,95.099998,96.269997,12398100,88.074339
2014-07-23,95.510002,95.82,94.82,95.349998,9483200,87.232662
2014-07-24,95.480003,95.620003,95.269997,95.349998,7781700,87.232662
2014-07-25,95.360001,95.849998,95.32,95.720001,4992500,87.571166
2014-07-28,95.5,95.970001,95.389999,95.779999,4863100,87.626056
2014-07-29,95.889999,96.419998,95.709999,95.82,6712700,87.662651
2014-07-30,96.190002,96.339996,95.57,95.949997,6049800,87.781582
2014-07-31,95.220001,95.360001,94.559998,94.559998,6826000,86.509916
2014-08-01,94.300003,94.730003,94.199997,94.300003,4576400,86.272055
2014-08-04,94.300003,94.349998,93.519997,94.309998,7652700,86.281199
2014-08-05,94.0,94.300003,93.349998,93.43,5494800,85.476117
2014-08-06,93.389999,93.949997,93.360001,93.470001,3728000,85.512713
2014-08-07,93.82,94.0,93.239998,93.309998,3261100,85.366331
2014-08-08,93.07,93.839996,92.919998,93.550003,6505900,85.585904
2014-08-11,93.730003,93.919998,93.459999,93.529999,4288400,85.567603
2014-08-12,93.43,93.650002,93.150002,93.559998,3235900,85.595048
2014-08-13,93.75,94.32,93.550003,93.959999,3595800,85.960996
2014-08-14,93.650002,93.889999,93.260002,93.660004,5644500,85.68654
2014-08-15,94.07,94.470001,93.410004,93.790001,4281300,85.80547
2014-08-18,94.150002,94.739998,93.93,94.25,4398800,86.226309
2014-08-19,94.599998,94.75,94.260002,94.449997,3331700,86.40928
2014-08-20,94.449997,94.660004,94.0,94.190002,4150400,86.171419
2014-08-21,94.309998,94.760002,94.239998,94.529999,5981600,86.482471
2014-08-22,94.529999,94.860001,94.269997,94.449997,3586900,86.40928
2014-08-25,94.849998,95.370003,94.410004,94.440002,4614300,86.400136
2014-08-26,94.389999,94.790001,94.050003,94.110001,6392400,86.098228
2014-08-27,94.230003,94.68,93.599998,94.650002,9027300,86.592257
2014-08-28,93.650002,94.760002,93.510002,94.139999,5492400,86.869087
2014-08-29,94.199997,94.199997,93.510002,93.720001,4635100,86.481527
2014-09-02,93.239998,93.699997,92.690002,92.800003,6727100,85.632585
2014-09-03,93.269997,93.489998,93.040001,93.139999,4855300,85.946322
2014-09-04,93.019997,93.230003,92.800003,93.010002,4849800,85.826365
2014-09-05,93.099998,93.120003,92.800003,93.07,4004600,85.881729
2014-09-08,92.800003,92.82,92.199997,92.5,5251900,85.355753
2014-09-09,92.599998,92.699997,90.959999,91.089996,9795200,84.054651
2014-09-10,90.839996,93.059998,90.529999,93.0,12031400,85.817135
2014-09-11,92.940002,93.290001,92.419998,92.959999,5960100,85.780224
2014-09-12,92.940002,93.839996,92.82,93.339996,7791300,86.130872
2014-09-15,93.260002,93.910004,93.25,93.470001,6255000,86.250836
2014-09-16,93.269997,94.110001,93.25,93.75,5826200,86.509209
2014-09-17,93.68,93.830002,93.18,93.529999,5738600,86.3062
2014-09-18,93.43,93.900002,93.260002,93.480003,5488900,86.260066
2014-09-19,93.949997,94.93,93.800003,94.360001,9043100,87.072096
2014-09-22,94.120003,94.470001,93.82,93.93,4875700,86.675307
2014-09-23,93.699997,94.150002,93.440002,93.510002,4702700,86.287748
2014-09-24,93.699997,95.32,93.660004,95.0,7817900,87.662665
2014-09-25,94.940002,95.309998,94.059998,94.160004,4569100,86.887546
2014-09-26,94.050003,94.879997,94.019997,94.699997,3454400,87.385833
2014-09-29,94.260002,97.300003,93.980003,96.220001,16489100,88.78844
2014-09-30,96.230003,96.360001,94.339996,94.809998,10036400,87.487338
2014-10-01,94.370003,95.080002,94.010002,94.190002,5334600,86.915228
2014-10-02,94.029999,94.599998,94.0,94.120003,4116000,86.850635
2014-10-03,95.290001,95.290001,94.510002,94.860001,3948600,87.533479
2014-10-06,94.360001,94.43,93.690002,93.839996,4278600,86.592255
2014-10-07,93.510002,93.540001,92.800003,92.809998,6093800,85.641808
2014-10-08,93.080002,93.949997,92.809998,93.830002,5586600,86.583032
2014-10-09,93.769997,94.0,92.709999,92.720001,5068600,85.558762
2014-10-10,92.760002,93.449997,92.300003,92.300003,5844900,85.171203
2014-10-13,92.129997,92.419998,90.660004,90.730003,6173800,83.722462
2014-10-14,90.809998,91.739998,90.629997,91.099998,5539500,84.063881
2014-10-15,90.489998,90.980003,89.57,90.440002,10468500,83.45486
2014-10-16,89.389999,90.290001,89.339996,89.910004,7526400,82.965795
2014-10-17,90.410004,91.139999,89.639999,91.040001,7074500,84.008517
2014-10-20,90.959999,91.589996,90.709999,91.589996,5403200,84.516034
2014-10-21,89.949997,91.449997,89.699997,91.010002,11422200,83.980835
2014-10-22,90.699997,91.510002,90.599998,90.940002,6455600,83.916242
2014-10-23,91.839996,92.099998,90.879997,91.019997,5966700,83.990058
2014-10-24,90.699997,91.790001,90.550003,91.669998,5256600,84.589856
