Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,71.559998,72.199997,70.099998,70.589996,1964400,70.589996
2014-05-02,70.589996,75.120003,69.889999,73.839996,3490100,73.839996
2014-05-05,72.269997,73.400002,70.989998,72.970001,1351300,72.970001
2014-05-06,72.709999,74.239998,72.309998,73.239998,1818500,73.239998
2014-05-07,74.0,74.709999,72.029999,74.419998,2397600,74.419998
2014-05-08,76.769997,77.910004,75.050003,75.099998,3347500,75.099998
2014-05-09,74.690002,75.269997,71.830002,73.099998,2349600,73.099998
2014-05-12,73.57,74.349998,72.370003,73.389999,1020800,73.389999
2014-05-13,73.889999,74.839996,71.790001,73.18,2128700,73.18
2014-05-14,73.5,74.199997,72.410004,73.260002,1084200,73.260002
2014-05-15,73.169998,76.419998,72.870003,76.260002,1564000,76.260002
2014-05-16,76.580002,79.599998,76.419998,78.860001,2611900,78.860001
2014-05-19,80.220001,81.860001,78.279999,81.449997,2314300,81.449997
2014-05-20,81.0,83.029999,80.68,82.699997,1963800,82.699997
2014-05-21,82.360001,83.0,78.790001,80.370003,2076000,80.370003
2014-05-22,80.379997,81.559998,78.349998,78.68,989500,78.68
2014-05-23,78.93,79.5,77.599998,79.18,1018300,79.18
2014-05-27,79.18,80.629997,77.18,77.989998,923400,77.989998
2014-05-28,77.510002,78.5,76.889999,77.519997,857100,77.519997
2014-05-29,77.830002,78.139999,76.660004,77.529999,728600,77.529999
2014-05-30,77.07,78.239998,76.400002,77.760002,1567000,77.760002
2014-06-02,77.620003,79.25,76.910004,78.639999,1361600,78.639999
2014-06-03,78.260002,78.5,76.940002,77.529999,830900,77.529999
2014-06-04,77.190002,78.25,76.650002,77.129997,1837500,77.129997
2014-06-05,77.760002,77.889999,72.330002,75.220001,3529100,75.220001
2014-06-06,75.459999,76.910004,74.849998,75.339996,1078800,75.339996
2014-06-09,75.580002,76.470001,74.800003,76.019997,995300,76.019997
2014-06-10,76.080002,76.639999,74.480003,75.360001,839500,75.360001
2014-06-11,75.309998,76.480003,75.059998,76.07,769800,76.07
2014-06-12,76.110001,76.419998,73.809998,74.110001,1582500,74.110001
2014-06-13,73.5,76.059998,73.5,75.080002,1980100,75.080002
2014-06-16,74.900002,76.089996,74.519997,75.800003,1163100,75.800003
2014-06-17,75.529999,77.260002,74.800003,76.879997,1074000,76.879997
2014-06-18,76.660004,77.459999,75.57,76.870003,1100000,76.870003
2014-06-19,77.239998,77.660004,76.269997,77.589996,1095300,77.589996
2014-06-20,78.910004,79.75,78.019997,78.349998,1674500,78.349998
2014-06-23,78.160004,79.989998,76.25,76.300003,854300,76.300003
2014-06-24,76.349998,77.709999,75.599998,77.010002,932800,77.010002
2014-06-25,77.019997,77.989998,76.330002,77.739998,975800,77.739998
2014-06-26,77.260002,77.959999,76.669998,77.139999,1186100,77.139999
2014-06-27,76.68,78.379997,76.559998,78.150002,2897800,78.150002
2014-06-30,78.5,80.470001,77.339996,80.019997,3062800,80.019997
2014-07-01,80.089996,80.5,78.660004,78.800003,1881300,78.800003
2014-07-02,78.849998,79.980003,78.220001,78.669998,1687400,78.669998
2014-07-03,80.540001,81.269997,79.339996,81.269997,1347200,81.269997
2014-07-07,81.059998,83.199997,79.580002,79.900002,1643200,79.900002
2014-07-08,79.989998,80.68,77.330002,78.279999,1529400,78.279999
2014-07-09,78.25,79.540001,76.470001,77.5,1297200,77.5
2014-07-10,76.519997,77.879997,74.779999,77.589996,1467000,77.589996
2014-07-11,75.290001,77.650002,74.669998,75.099998,3101200,75.099998
2014-07-14,75.330002,78.980003,74.669998,77.010002,2592900,77.010002
2014-07-15,77.379997,77.739998,75.400002,76.309998,1748900,76.309998
2014-07-16,76.489998,76.720001,75.010002,75.089996,1979000,75.089996
2014-07-17,75.110001,76.459999,74.089996,74.489998,1803400,74.489998
2014-07-18,75.160004,75.25,74.120003,75.110001,1268900,75.110001
2014-07-21,75.25,75.419998,73.919998,74.080002,1240000,74.080002
2014-07-22,74.300003,75.720001,73.970001,74.349998,2226100,74.349998
2014-07-23,74.790001,75.769997,74.440002,75.650002,1450900,75.650002
2014-07-24,75.239998,76.980003,75.239998,76.559998,1302900,76.559998
2014-07-25,75.82,77.370003,73.75,74.370003,2521600,74.370003
2014-07-28,74.489998,74.989998,72.669998,72.75,1015500,72.75
2014-07-29,72.989998,73.309998,71.099998,71.239998,1435800,71.239998
2014-07-30,71.400002,71.889999,70.620003,71.739998,1724000,71.739998
2014-07-31,71.059998,71.260002,69.330002,69.620003,2775300,69.620003
2014-08-01,69.239998,70.220001,68.730003,69.889999,2299100,69.889999
2014-08-04,69.949997,71.190002,68.419998,70.510002,1608400,70.510002
2014-08-05,70.449997,71.190002,68.970001,69.389999,1639800,69.389999
2014-08-06,69.120003,69.57,67.589996,68.239998,2006500,68.239998
2014-08-07,71.610001,71.790001,69.0,69.110001,4156600,69.110001
2014-08-08,69.269997,69.940002,68.669998,69.43,2628400,69.43
2014-08-11,69.870003,71.0,69.160004,69.519997,2008500,69.519997
2014-08-12,69.260002,69.449997,67.18,68.120003,2787200,68.120003
2014-08-13,68.629997,70.029999,68.32,69.610001,3459600,69.610001
2014-08-14,69.900002,71.860001,69.900002,70.879997,4561900,70.879997
2014-08-15,72.029999,75.550003,71.660004,71.660004,8284400,71.660004
2014-08-18,72.93,73.519997,71.809998,72.0,28393300,72.0
2014-08-19,72.059998,72.599998,69.160004,69.510002,6599900,69.510002
2014-08-20,69.050003,72.230003,69.050003,72.169998,5180300,72.169998
2014-08-21,73.019997,73.690002,70.709999,70.919998,2644600,70.919998
2014-08-22,70.900002,73.089996,70.720001,72.940002,1970100,72.940002
2014-08-25,73.18,74.639999,72.519997,74.5,2514000,74.5
2014-08-26,75.040001,76.019997,74.519997,75.949997,2190000,75.949997
2014-08-27,76.0,78.529999,75.519997,78.290001,4797100,78.290001
2014-08-28,78.0,80.519997,77.599998,80.110001,3311000,80.110001
2014-08-29,80.510002,81.760002,80.510002,81.489998,2659000,81.489998
2014-09-02,81.860001,82.779999,80.769997,82.300003,3147900,82.300003
2014-09-03,83.07,85.550003,83.059998,85.339996,4376000,85.339996
2014-09-04,86.709999,87.150002,84.0,84.209999,3685800,84.209999
2014-09-05,84.879997,85.379997,82.610001,84.510002,2595500,84.510002
2014-09-08,84.540001,85.709999,84.32,85.330002,1537800,85.330002
2014-09-09,85.239998,85.839996,83.879997,83.940002,2057000,83.940002
2014-09-10,84.370003,86.220001,84.0,85.93,1635500,85.93
2014-09-11,85.620003,87.0,84.879997,86.839996,1740700,86.839996
2014-09-12,86.32,86.830002,85.120003,86.25,1911400,86.25
2014-09-15,86.089996,86.199997,85.239998,85.779999,1684300,85.779999
2014-09-16,85.5,87.089996,84.910004,86.889999,1691300,86.889999
2014-09-17,86.849998,87.760002,86.379997,87.370003,1094400,87.370003
2014-09-18,87.410004,87.910004,87.239998,87.699997,885600,87.699997
2014-09-19,88.540001,89.529999,88.239998,88.82,3942900,88.82
2014-09-22,88.279999,89.419998,87.769997,88.949997,1657000,88.949997
2014-09-23,88.57,89.190002,88.0,88.580002,977900,88.580002
2014-09-24,88.830002,89.669998,88.25,89.190002,1948500,89.190002
2014-09-25,89.099998,89.419998,87.830002,88.470001,1204100,88.470001
2014-09-26,88.800003,90.5,88.480003,90.0,1648300,90.0
2014-09-29,89.099998,91.309998,89.089996,89.919998,2150000,89.919998
2014-09-30,89.93,91.379997,88.800003,90.150002,2520500,90.150002
2014-10-01,90.150002,90.449997,88.610001,89.059998,2000400,89.059998
2014-10-02,89.220001,91.050003,88.709999,90.919998,2806300,90.919998
2014-10-03,91.480003,93.07,90.699997,92.93,3184800,92.93
2014-10-06,93.279999,94.010002,92.519997,93.290001,2299100,93.290001
2014-10-07,92.900002,93.339996,91.209999,91.32,1978900,91.32
2014-10-08,91.18,92.550003,90.209999,92.510002,1614900,92.510002
2014-10-09,92.82,93.309998,90.309998,90.5,1466500,90.5
2014-10-10,89.879997,91.480003,87.779999,87.970001,2025200,87.970001
2014-10-13,87.980003,88.309998,83.879997,86.099998,3035200,86.099998
2014-10-14,88.889999,89.209999,85.470001,85.989998,2741000,85.989998
2014-10-15,84.050003,85.199997,81.5,84.330002,3925800,84.330002
2014-10-16,81.769997,84.550003,81.769997,83.190002,2325400,83.190002
2014-10-17,83.940002,87.660004,83.5,86.599998,2731900,86.599998
2014-10-20,86.599998,87.360001,85.550003,87.150002,1581700,87.150002
2014-10-21,87.860001,89.489998,87.580002,89.300003,1370900,89.300003
2014-10-22,89.470001,90.099998,86.68,87.099998,1775000,87.099998
2014-10-23,88.699997,90.779999,88.139999,89.25,1314400,89.25
2014-10-24,89.25,91.099998,88.540001,90.970001,744300,90.970001
2014-10-27,90.970001,91.5,89.93,90.93,962800,90.93
2014-10-28,91.290001,93.940002,91.279999,93.739998,1425000,93.739998
2014-10-29,93.739998,93.779999,92.349998,93.010002,996900,93.010002
2014-10-30,92.860001,93.730003,91.82,92.830002,759300,92.830002
2014-10-31,93.949997,94.32,91.550003,92.18,1144500,92.18
2014-11-03,92.339996,93.480003,91.709999,93.43,872400,93.43
2014-11-04,93.379997,94.220001,93.089996,94.089996,1513900,94.089996
2014-11-05,94.5,95.739998,93.139999,93.5,1110800,93.5
2014-11-06,93.480003,95.010002,93.260002,94.550003,812200,94.550003
2014-11-07,94.629997,94.739998,90.879997,91.059998,1929200,91.059998
2014-11-10,91.0,93.32,90.800003,93.230003,814900,93.230003
2014-11-11,93.349998,94.300003,92.190002,93.709999,935100,93.709999
2014-11-12,93.480003,93.690002,92.599998,92.989998,593900,92.989998
2014-11-13,86.379997,88.349998,85.5,86.959999,4124000,86.959999
2014-11-14,86.900002,88.110001,85.529999,88.110001,2029100,88.110001
2014-11-17,87.919998,89.230003,87.629997,88.43,1080900,88.43
2014-11-18,88.43,89.699997,88.050003,88.800003,1404300,88.800003
2014-11-19,87.559998,88.0,83.57,85.980003,3613000,85.980003
2014-11-20,85.330002,87.360001,84.370003,87.120003,1974700,87.120003
2014-11-21,87.760002,87.760002,86.300003,87.019997,1411300,87.019997
2014-11-24,87.400002,90.809998,87.269997,90.339996,1562200,90.339996
2014-11-25,88.0,90.910004,88.0,90.910004,2972800,90.910004
2014-11-26,91.580002,93.639999,91.300003,91.639999,2330100,91.639999
2014-11-28,91.639999,92.660004,91.43,92.220001,706100,92.220001
2014-12-01,91.599998,91.599998,88.169998,88.220001,1440400,88.220001
2014-12-02,88.919998,91.989998,88.75,91.769997,1553700,91.769997
2014-12-03,91.410004,91.779999,89.599998,91.239998,1573200,91.239998
2014-12-04,91.239998,95.150002,90.510002,94.050003,2567100,94.050003
2014-12-05,94.529999,96.489998,94.529999,95.610001,1498300,95.610001
2014-12-08,95.639999,96.739998,95.330002,96.269997,2044400,96.269997
2014-12-09,96.059998,96.970001,95.019997,96.720001,1306800,96.720001
2014-12-10,96.040001,97.470001,95.82,96.110001,1178300,96.110001
2014-12-11,96.449997,97.800003,94.839996,95.080002,959400,95.080002
2014-12-12,93.949997,95.860001,93.260002,94.720001,1306500,94.720001
2014-12-15,95.650002,95.790001,91.529999,92.169998,1381100,92.169998
2014-12-16,91.970001,93.540001,90.980003,91.050003,913500,91.050003
2014-12-17,91.650002,93.089996,89.239998,92.919998,1561500,92.919998
2014-12-18,93.82,95.529999,92.919998,95.489998,1151500,95.489998
2014-12-19,95.980003,100.480003,95.760002,99.519997,2729900,99.519997
2014-12-22,99.800003,101.519997,99.089996,99.730003,941100,99.730003
2014-12-23,100.209999,100.459999,96.650002,98.129997,1171600,98.129997
2014-12-24,98.190002,98.809998,97.279999,97.839996,365700,97.839996
