Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,86.0,86.129997,84.949997,85.57,3848700,78.542619
2014-05-02,85.349998,85.860001,85.099998,85.519997,3438000,78.496722
2014-05-05,85.169998,86.080002,85.139999,85.910004,2989800,78.8547
2014-05-06,85.489998,85.980003,85.32,85.370003,3141100,78.359047
2014-05-07,85.309998,87.120003,85.309998,86.800003,5500600,79.671609
2014-05-08,86.790001,87.089996,86.419998,86.660004,3507900,79.543107
2014-05-09,86.57,87.25,86.419998,87.169998,3330100,80.011219
2014-05-12,87.32,87.68,86.629997,86.93,3218600,79.79093
2014-05-13,86.949997,87.440002,86.809998,87.230003,2259400,80.066296
2014-05-14,87.239998,87.440002,86.779999,86.839996,2726300,79.708318
2014-05-15,86.839996,86.900002,85.690002,85.739998,3877100,78.698656
2014-05-16,85.589996,86.620003,85.57,86.540001,3672600,79.432959
2014-05-19,85.940002,86.199997,85.449997,86.099998,4201400,79.029092
2014-05-20,85.959999,86.239998,85.360001,85.650002,4510200,78.616051
2014-05-21,85.779999,86.150002,85.529999,86.099998,2647100,79.029092
2014-05-22,86.059998,86.099998,85.400002,85.580002,2970600,78.5518
2014-05-23,85.360001,86.050003,85.360001,85.830002,2750700,78.781269
2014-05-27,85.809998,86.629997,85.650002,86.529999,4400100,79.423779
2014-05-28,86.349998,87.160004,86.339996,87.07,4030700,79.919432
2014-05-29,86.989998,87.839996,86.879997,87.730003,4647300,80.525234
2014-05-30,87.610001,88.480003,87.410004,88.330002,5181600,81.075958
2014-06-02,88.120003,88.389999,87.760002,87.870003,2876100,80.653736
2014-06-03,87.440002,88.239998,87.309998,88.220001,5174700,80.974991
2014-06-04,87.519997,88.050003,87.339996,87.43,3872400,80.85015
2014-06-05,87.790001,87.919998,87.220001,87.760002,2937800,81.155317
2014-06-06,87.860001,88.07,87.529999,87.910004,3675400,81.294029
2014-06-09,87.82,88.330002,87.82,88.0,2280100,81.377253
2014-06-10,87.839996,88.720001,87.669998,88.419998,3420600,81.765642
2014-06-11,88.150002,88.5,87.739998,87.779999,3747600,81.173808
2014-06-12,87.589996,87.709999,86.949997,87.220001,3856200,80.655955
2014-06-13,87.150002,87.360001,86.82,87.190002,3047500,80.628214
2014-06-16,86.870003,87.739998,86.709999,87.550003,3894500,80.961122
2014-06-17,87.650002,87.970001,87.07,87.279999,3393100,80.711438
2014-06-18,87.339996,88.970001,87.110001,88.900002,5314400,82.209521
2014-06-19,88.959999,90.099998,88.919998,90.099998,5380400,83.319208
2014-06-20,90.139999,90.239998,89.099998,89.099998,5697000,82.394467
2014-06-23,89.199997,89.260002,87.739998,88.389999,4187700,81.737901
2014-06-24,88.230003,88.57,87.839996,88.050003,4309700,81.423492
2014-06-25,87.980003,88.720001,87.900002,88.580002,3965300,81.913604
2014-06-26,89.089996,89.139999,87.989998,88.610001,3539300,81.941345
2014-06-27,88.440002,88.919998,88.360001,88.760002,3646100,82.080058
2014-06-30,88.459999,89.5,88.349998,89.339996,4473400,82.616403
