Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,85.489998,85.959999,85.209999,85.720001,3504500,74.903397
2014-05-02,85.769997,85.769997,85.150002,85.379997,3596100,74.606297
2014-05-05,85.019997,85.510002,84.82,85.339996,2328300,74.571343
2014-05-06,85.18,85.550003,85.0,85.279999,3258100,74.518917
2014-05-07,85.290001,85.93,85.110001,85.800003,3605000,74.973304
2014-05-08,85.709999,86.379997,85.199997,86.209999,3510800,75.331565
2014-05-09,86.029999,86.519997,85.940002,86.400002,2863700,75.497592
2014-05-12,86.82,86.900002,85.889999,86.129997,3232800,75.261658
2014-05-13,86.279999,86.32,85.629997,85.93,3710200,75.086898
2014-05-14,85.910004,86.269997,85.589996,85.75,3195000,74.929611
2014-05-15,85.800003,86.190002,85.150002,85.330002,4108200,74.56261
2014-05-16,85.230003,85.980003,85.199997,85.769997,6359700,74.947084
2014-05-19,85.720001,85.800003,85.339996,85.739998,2706100,74.920871
2014-05-20,85.480003,85.5,85.019997,85.220001,3396700,74.46649
2014-05-21,85.209999,86.5,84.93,86.150002,4995100,75.279138
2014-05-22,86.18,86.730003,85.870003,86.290001,4631100,75.401471
2014-05-23,86.139999,86.900002,86.120003,86.57,3790800,75.646138
2014-05-27,86.529999,87.160004,86.220001,86.910004,4153800,75.943239
2014-05-28,86.879997,87.5,86.480003,87.349998,4278900,76.327713
2014-05-29,87.620003,88.699997,87.379997,88.370003,4782200,77.219008
2014-05-30,88.25,88.800003,88.050003,88.540001,4173100,77.367555
2014-06-02,88.330002,88.739998,88.050003,88.32,3233900,77.175314
2014-06-03,88.25,88.489998,87.620003,87.889999,3073000,76.799574
2014-06-04,87.769997,88.209999,87.57,87.970001,2517400,76.86948
2014-06-05,88.0,88.160004,87.669998,87.900002,3347300,76.808314
2014-06-06,88.0,88.559998,87.900002,88.330002,2543600,77.184054
2014-06-09,88.010002,88.470001,87.809998,88.330002,2864400,77.184054
2014-06-10,87.889999,88.57,87.809998,88.389999,3476500,77.236481
2014-06-11,88.160004,88.739998,88.160004,88.440002,3261400,77.280174
2014-06-12,88.209999,88.709999,88.07,88.239998,3950000,77.105407
2014-06-13,88.169998,88.629997,87.879997,88.449997,3162800,77.288908
2014-06-16,88.370003,89.360001,88.07,89.029999,4550100,77.795722
2014-06-17,88.779999,89.0,88.410004,88.739998,4217400,77.542315
2014-06-18,88.82,89.970001,88.440002,89.879997,4837600,78.538463
2014-06-19,89.970001,91.470001,89.910004,91.339996,7145000,79.814232
2014-06-20,91.389999,91.629997,90.779999,91.139999,9003100,79.639471
2014-06-23,91.150002,91.239998,90.269997,90.43,5492400,79.019064
2014-06-24,89.120003,89.940002,88.730003,89.370003,5337600,78.913107
2014-06-25,89.300003,89.300003,88.279999,88.889999,4663400,78.489267
2014-06-26,86.800003,86.910004,85.980003,86.489998,10749000,76.370082
2014-06-27,86.169998,86.169998,84.050003,84.849998,16140800,74.921973
2014-06-30,84.629997,84.900002,84.160004,84.309998,8020400,74.445156
2014-07-01,84.349998,84.540001,83.870003,84.209999,6615400,74.356858
2014-07-02,84.209999,85.099998,83.830002,84.860001,4335400,74.930805
2014-07-03,84.760002,86.089996,84.730003,85.690002,3562500,75.663691
2014-07-07,85.580002,86.449997,85.459999,86.080002,4229900,76.008058
2014-07-08,86.129997,86.660004,85.940002,86.290001,3726100,76.193486
2014-07-09,86.510002,86.849998,85.82,86.029999,3188000,75.963906
2014-07-10,85.610001,86.040001,84.879997,84.900002,5465500,74.966126
2014-07-11,85.599998,86.080002,84.839996,85.410004,4861300,75.416454
2014-07-14,85.919998,86.260002,85.75,85.949997,3470200,75.893265
2014-07-15,85.57,85.610001,84.480003,84.589996,5770400,74.692393
2014-07-16,84.989998,85.550003,84.489998,84.699997,6244300,74.789523
2014-07-17,84.580002,86.650002,84.519997,84.550003,5932700,74.65708
2014-07-18,85.010002,86.150002,84.900002,86.019997,4563900,75.955074
2014-07-21,85.290001,85.779999,85.199997,85.57,3273300,75.55773
2014-07-22,85.660004,85.889999,85.260002,85.379997,2741900,75.389959
2014-07-23,85.529999,85.730003,84.970001,85.080002,2750300,75.125065
2014-07-24,85.290001,85.779999,85.25,85.540001,3703000,75.531241
2014-07-25,85.32,85.529999,84.57,84.849998,2715100,74.921973
2014-07-28,84.980003,84.980003,84.099998,84.480003,3053900,74.59527
2014-07-29,84.5,85.379997,84.5,84.650002,2677200,74.745378
2014-07-30,84.720001,85.07,83.139999,83.190002,4670900,73.456208
2014-07-31,82.959999,82.989998,82.0,82.010002,4633400,72.414276
2014-08-01,82.0,82.589996,81.720001,81.900002,3956500,72.317146
2014-08-04,81.800003,82.330002,81.5,82.129997,3293400,72.520231
2014-08-05,81.849998,82.260002,81.190002,81.580002,3710200,72.034589
2014-08-06,81.589996,83.949997,81.589996,83.480003,5053700,73.712277
2014-08-07,83.550003,83.900002,82.379997,82.709999,4445100,73.032369
2014-08-08,82.800003,83.949997,82.599998,83.839996,3809400,74.030148
2014-08-11,83.970001,84.959999,83.75,84.349998,3414500,74.480477
2014-08-12,84.120003,84.260002,83.739998,84.18,2196300,74.33037
2014-08-13,84.440002,84.82,84.230003,84.470001,2355600,74.586438
2014-08-14,84.489998,84.989998,84.470001,84.93,1795900,74.992615
2014-08-15,85.099998,85.169998,83.82,84.5,4226900,74.612927
2014-08-18,84.709999,85.099998,84.629997,84.989998,3080800,75.045592
2014-08-19,85.099998,85.470001,84.629997,85.379997,2272800,75.389959
2014-08-20,85.209999,85.370003,84.599998,85.089996,2441400,75.13389
2014-08-21,85.230003,85.690002,85.120003,85.150002,2183800,75.186874
2014-08-22,84.82,85.230003,84.199997,84.339996,3774400,74.471645
2014-08-25,84.93,85.540001,84.93,85.190002,2858700,75.222195
2014-08-26,85.239998,85.459999,84.830002,85.260002,2466200,75.284004
2014-08-27,85.129997,85.290001,84.830002,85.25,2094300,75.275172
2014-08-28,84.919998,85.379997,84.839996,85.260002,1797300,75.284004
2014-08-29,85.279999,85.690002,85.040001,85.580002,2570600,75.566561
2014-09-02,85.300003,85.900002,85.059998,85.489998,3344100,75.487089
2014-09-03,85.849998,85.879997,85.199997,85.400002,2448900,75.407622
2014-09-04,85.769997,85.790001,84.790001,84.989998,3143300,75.045592
2014-09-05,85.059998,85.5,84.809998,85.449997,2782300,75.451768
2014-09-08,85.290001,85.360001,83.919998,84.0,4851400,74.171431
2014-09-09,84.099998,84.309998,83.629997,83.830002,3892300,74.021323
2014-09-10,84.120003,84.410004,83.809998,84.190002,3433300,74.339201
2014-09-11,84.150002,84.559998,83.949997,84.5,4369800,74.612927
2014-09-12,84.709999,84.75,83.720001,84.019997,3585700,74.189087
2014-09-15,84.290001,84.300003,83.879997,84.199997,3947100,74.348027
2014-09-16,84.160004,85.040001,84.059998,84.82,3269800,74.895485
2014-09-17,84.910004,85.339996,84.540001,84.900002,3626800,74.966126
2014-09-18,85.050003,85.269997,84.139999,84.720001,4322400,74.807187
2014-09-19,85.150002,85.68,84.699997,85.550003,7856500,75.540073
2014-09-22,85.089996,86.07,85.059998,86.050003,7002600,75.981569
2014-09-23,84.75,85.169998,83.629997,83.660004,5654000,74.739779
2014-09-24,83.599998,84.730003,83.559998,84.449997,5567300,75.445539
2014-09-25,84.0,84.199997,83.550003,83.699997,5222500,74.775508
2014-09-26,82.839996,83.339996,82.580002,83.230003,5491300,74.355627
2014-09-29,82.610001,82.949997,82.550003,82.660004,4656000,73.846404
2014-09-30,82.889999,83.519997,82.279999,83.400002,9732000,74.5075
2014-10-01,83.25,83.879997,83.209999,83.470001,5786400,74.570036
2014-10-02,83.599998,84.260002,83.18,84.209999,5509800,75.231131
2014-10-03,84.349998,84.849998,84.239998,84.510002,4301800,75.499147
2014-10-06,84.839996,84.849998,84.07,84.57,2674400,75.552747
2014-10-07,84.419998,84.790001,83.940002,83.980003,4504400,75.025659
2014-10-08,83.940002,85.129997,83.68,85.059998,5334600,75.990499
2014-10-09,85.18,85.989998,83.860001,83.919998,6376400,74.972052
2014-10-10,84.379997,85.25,84.279999,84.279999,5282100,75.293667
2014-10-13,84.599998,85.290001,83.970001,84.07,4399800,75.106059
2014-10-14,84.190002,84.629997,83.620003,83.690002,4784100,74.766579
2014-10-15,83.110001,83.849998,81.900002,83.580002,8409400,74.668307
2014-10-16,83.190002,85.32,83.0,85.260002,7058500,76.169178
2014-10-17,84.970001,86.010002,84.440002,86.0,7621700,76.830274
2014-10-20,85.760002,87.209999,85.709999,86.93,5537900,77.661113
2014-10-21,87.32,87.470001,86.620003,87.449997,4614100,78.125665
2014-10-22,87.220001,87.669998,87.120003,87.599998,5339700,78.259673
2014-10-23,87.949997,88.209999,87.510002,87.620003,4936500,78.277544
2014-10-24,87.860001,88.18,87.400002,88.059998,3255300,78.670625
2014-10-27,87.919998,88.669998,87.800003,88.040001,2847200,78.65276
2014-10-28,88.489998,88.489998,87.779999,88.269997,3631300,78.858233
2014-10-29,88.190002,88.830002,87.339996,87.910004,3448000,78.536624
2014-10-30,87.449997,88.68,86.910004,88.349998,2706400,78.929704
2014-10-31,88.790001,89.239998,88.470001,89.010002,4876200,79.519335
2014-11-03,88.849998,89.5,88.599998,89.190002,3361600,79.680143
2014-11-04,89.389999,89.910004,89.190002,89.449997,2752500,79.912416
2014-11-05,89.830002,90.25,89.089996,89.900002,4061000,80.314439
2014-11-06,89.68,89.830002,87.18,87.5,6109300,78.170337
2014-11-07,87.5,88.199997,87.260002,88.120003,3219400,78.724232
2014-11-10,87.830002,88.5,87.519997,88.419998,3191800,78.99224
2014-11-11,88.440002,88.480003,87.839996,88.089996,2412800,78.697425
2014-11-12,88.040001,88.129997,87.57,87.900002,2839500,78.527688
2014-11-13,88.040001,88.699997,87.529999,87.860001,3163900,78.491952
2014-11-14,87.349998,87.400002,85.489998,86.279999,6011500,77.080418
2014-11-17,86.330002,87.5,86.169998,87.300003,3644600,77.991664
2014-11-18,87.470001,87.599998,87.089996,87.129997,3653700,77.839785
2014-11-19,86.949997,87.199997,86.470001,86.830002,4529900,77.571777
2014-11-20,86.5,86.5,85.57,85.809998,6330700,76.66053
2014-11-21,86.150002,87.040001,86.110001,87.0,6851900,77.723649
2014-11-24,87.300003,87.610001,86.470001,86.5,3888600,77.276962
2014-11-25,86.489998,86.730003,86.160004,86.300003,5054400,77.098289
2014-11-26,86.660004,86.910004,86.419998,86.599998,2665700,77.366298
2014-11-28,87.199997,87.57,86.769997,86.93,3230900,77.661113
2014-12-01,86.370003,87.029999,85.699997,86.5,3554100,77.276962
2014-12-02,86.580002,87.43,86.519997,87.389999,4089900,78.072065
2014-12-03,87.150002,87.68,86.769997,87.650002,3862000,78.304344
2014-12-04,87.269997,87.480003,86.370003,87.150002,4111000,77.857657
2014-12-05,87.279999,87.330002,86.709999,87.139999,4236600,77.848721
