Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,55.619999,56.23,55.23,55.950001,1039200,50.175043
2014-05-02,55.580002,57.09,53.900002,54.02,2111100,48.44425
2014-05-05,53.810001,54.950001,53.810001,54.66,1312700,49.018191
2014-05-06,54.610001,55.130001,54.540001,54.759998,1257200,49.107868
2014-05-07,54.740002,55.939999,54.669998,55.919998,1346300,50.148137
2014-05-08,55.98,56.209999,55.529999,55.810001,1471500,50.049493
2014-05-09,55.75,56.029999,55.23,55.27,1100500,49.565229
2014-05-12,55.330002,55.48,54.77,54.869999,1190800,49.206515
2014-05-13,54.98,55.25,54.82,54.970001,1086900,49.296195
2014-05-14,55.0,55.599998,54.889999,55.16,543400,49.466583
2014-05-15,55.16,55.209999,54.779999,54.93,783000,49.260323
2014-05-16,54.860001,55.189999,54.700001,55.18,539400,49.484519
2014-05-19,55.150002,55.169998,54.610001,54.720001,1000800,49.071999
2014-05-20,54.689999,55.07,54.450001,54.52,1099900,48.892642
2014-05-21,54.560001,54.709999,54.369999,54.5,1016800,48.874706
2014-05-22,54.5,55.060001,54.5,54.939999,326800,49.269289
2014-05-23,55.029999,55.130001,54.779999,54.82,328700,49.161676
2014-05-27,55.259998,55.580002,54.990002,55.009998,763200,49.332064
2014-05-28,55.07,55.220001,54.880001,55.060001,534900,49.376906
2014-05-29,54.84,55.200001,54.549999,54.860001,545700,49.197548
2014-05-30,54.91,55.48,54.740002,55.419998,667300,49.699745
2014-06-02,55.450001,55.529999,55.040001,55.09,446800,49.403808
2014-06-03,54.990002,55.279999,54.84,54.990002,562700,49.314131
2014-06-04,54.98,55.040001,54.639999,54.73,486000,49.080965
2014-06-05,54.77,55.279999,54.630001,55.189999,419700,49.493485
2014-06-06,55.25,55.48,54.82,54.959999,585300,49.287225
2014-06-09,54.990002,55.139999,54.43,54.529999,422100,48.901608
2014-06-10,54.610001,54.740002,54.290001,54.389999,413800,48.776059
2014-06-11,54.279999,54.48,53.830002,53.84,360400,48.282829
2014-06-12,53.790001,54.07,53.040001,54.049999,520800,48.471152
2014-06-13,54.060001,54.43,53.610001,54.220001,346700,48.623607
2014-06-16,54.220001,54.959999,54.169998,54.720001,720000,49.071999
2014-06-17,54.57,54.689999,54.07,54.459999,640900,48.838834
2014-06-18,54.41,55.849998,54.41,55.799999,798100,50.040524
2014-06-19,55.939999,56.610001,55.77,56.560001,740000,50.722081
2014-06-20,56.630001,56.700001,55.970001,56.150002,1124400,50.3544
2014-06-23,56.419998,56.900002,56.16,56.48,659300,50.650337
2014-06-24,56.34,57.009998,56.34,56.689999,670800,50.838661
2014-06-25,56.52,56.919998,56.259998,56.450001,828900,50.623434
2014-06-26,56.540001,56.75,56.23,56.310001,711100,50.497885
2014-06-27,56.240002,56.759998,56.049999,56.48,1440900,50.650337
2014-06-30,56.669998,58.060001,56.630001,57.84,1204800,51.869963
2014-07-01,57.720001,57.950001,57.310001,57.759998,1001000,51.798219
2014-07-02,57.509998,57.529999,56.5,56.939999,1323100,51.062856
2014-07-03,56.52,56.630001,56.02,56.439999,744900,50.614465
2014-07-07,56.459999,57.080002,56.139999,56.389999,1410800,50.569626
2014-07-08,56.41,57.220001,56.41,56.98,850800,51.098729
2014-07-09,57.220001,57.220001,56.200001,56.509998,747200,50.677239
2014-07-10,56.52,57.110001,56.459999,56.939999,445800,51.062856
2014-07-11,56.84,57.299999,56.759998,56.779999,685500,50.919371
2014-07-14,56.91,57.029999,55.970001,56.0,1123000,50.219881
2014-07-15,55.869999,56.25,55.700001,56.0,1718200,50.219881
2014-07-16,56.0,56.0,55.41,55.740002,1113800,49.986719
2014-07-17,55.75,56.029999,55.59,55.59,444900,49.8522
2014-07-18,55.810001,56.830002,55.450001,56.82,1120000,50.955243
2014-07-21,56.700001,57.139999,56.540001,56.98,1343900,51.098729
2014-07-22,57.080002,57.200001,56.77,57.009998,1094300,51.125631
2014-07-23,56.91,57.099998,56.689999,56.849998,663700,50.982146
2014-07-24,56.799999,56.98,56.610001,56.82,475700,50.955243
2014-07-25,56.779999,56.919998,56.220001,56.290001,401100,50.479949
2014-07-28,56.439999,57.200001,56.32,57.099998,843400,51.206342
2014-07-29,57.279999,57.400002,56.43,56.43,572900,50.605498
2014-07-30,55.869999,56.009998,54.66,54.849998,832600,49.688725
2014-07-31,54.91,55.48,53.290001,53.490002,1673600,48.456701
2014-08-01,53.509998,54.470001,53.459999,53.970001,1443000,48.891534
2014-08-04,54.0,54.0,52.470001,53.369999,1476100,48.34799
2014-08-05,53.169998,53.529999,52.619999,52.860001,655000,47.885982
2014-08-06,52.639999,52.75,52.130001,52.169998,1216700,47.260907
2014-08-07,52.279999,52.91,52.209999,52.57,755300,47.623269
2014-08-08,52.599998,53.66,52.599998,53.650002,828500,48.601645
2014-08-11,53.669998,53.889999,53.310001,53.369999,511100,48.34799
2014-08-12,53.32,53.529999,53.099998,53.290001,730100,48.27552
2014-08-13,53.419998,53.630001,53.119999,53.41,1683700,48.384227
2014-08-14,53.549999,54.41,53.549999,54.349998,769000,49.235774
2014-08-15,54.540001,54.93,54.209999,54.52,815900,49.389779
2014-08-18,54.650002,54.82,54.240002,54.32,624300,49.208598
2014-08-19,54.419998,55.02,54.310001,54.959999,489400,49.788375
2014-08-20,54.950001,55.130001,54.639999,55.07,374100,49.888024
2014-08-21,55.09,55.52,55.080002,55.419998,749000,50.205089
