Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,56.470001,56.560001,55.580002,55.889999,3627600,25.030372
2014-05-02,55.75,56.130001,55.66,55.939999,3643400,25.052764
2014-05-05,55.73,55.959999,55.59,55.939999,2556800,25.052764
2014-05-06,55.709999,56.099998,55.560001,55.639999,3581200,24.91841
2014-05-07,55.709999,56.439999,55.709999,56.360001,3308600,25.240863
2014-05-08,56.330002,56.869999,56.23,56.57,3086000,25.334911
2014-05-09,56.439999,56.560001,56.009998,56.32,3511400,25.222948
2014-05-12,58.0,58.220001,57.369999,57.720001,7272000,25.84994
2014-05-13,57.630001,57.700001,57.049999,57.599998,4336200,25.796196
2014-05-14,57.43,57.59,56.470001,56.650002,5202600,25.37074
2014-05-15,56.380001,56.66,56.130001,56.459999,3086200,25.285647
2014-05-16,56.529999,57.52,56.490002,57.330002,6578600,25.675278
2014-05-19,57.950001,58.049999,56.93,57.48,4344400,25.742455
2014-05-20,57.349998,57.41,57.060001,57.259998,3316800,25.643927
2014-05-21,57.419998,60.0,57.0,59.77,9415400,26.768033
2014-05-22,58.360001,59.639999,58.130001,58.529999,9520200,26.212698
2014-05-23,57.25,58.529999,56.880001,58.450001,3748800,26.176871
2014-05-27,58.549999,58.59,58.259998,58.450001,4503000,26.176871
2014-05-28,58.560001,58.560001,58.16,58.400002,3495600,26.154478
2014-05-29,58.560001,59.669998,58.380001,59.610001,3708600,26.696377
2014-05-30,59.509998,60.07,59.389999,59.630001,8501400,26.705334
2014-06-02,59.810001,59.810001,58.779999,58.91,4605000,26.382881
2014-06-03,58.93,59.34,58.720001,59.169998,2884200,26.499322
2014-06-04,59.049999,59.380001,59.049999,59.360001,2042200,26.584415
2014-06-05,59.450001,60.419998,59.360001,60.23,5544200,26.974044
2014-06-06,59.48,59.549999,58.919998,59.34,3561000,26.874408
2014-06-09,59.23,59.529999,59.040001,59.43,3812600,26.915168
2014-06-10,59.310001,59.830002,59.110001,59.259998,3844000,26.838176
2014-06-11,59.84,60.360001,59.32,59.610001,5811600,26.996688
2014-06-12,59.599998,59.880001,59.09,59.34,3917600,26.874408
2014-06-13,59.619999,60.049999,59.259998,59.75,2149800,27.060093
2014-06-16,59.75,60.450001,59.459999,60.34,2819600,27.327297
2014-06-17,59.990002,60.279999,59.639999,59.98,3964000,27.164257
2014-06-18,60.279999,61.310001,60.220001,61.290001,3837600,27.757541
2014-06-19,61.490002,62.25,61.41,62.16,4475800,28.151554
2014-06-20,62.419998,62.639999,62.119999,62.549999,4925600,28.32818
2014-06-23,62.43,62.5,61.57,61.779999,3012000,27.979456
2014-06-24,61.290001,61.34,60.400002,60.939999,4969600,27.599029
2014-06-25,60.669998,60.669998,60.130001,60.630001,4658200,27.458635
2014-06-26,60.349998,60.439999,59.59,60.419998,3425400,27.363527
2014-06-27,60.279999,60.509998,59.709999,60.459999,2643000,27.381643
