Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,52.540001,52.84,51.759998,52.759998,411700,48.273573
2014-05-02,52.549999,53.07,52.349998,52.669998,284600,48.191225
2014-05-05,52.369999,52.75,52.32,52.630001,217800,48.15463
2014-05-06,52.380001,52.77,52.040001,52.689999,306000,48.209525
2014-05-07,52.869999,53.48,52.689999,53.470001,365300,48.923201
2014-05-08,53.75,54.259998,53.029999,53.98,553100,49.389831
2014-05-09,53.860001,54.189999,53.32,53.830002,380900,49.252589
2014-05-12,54.0,54.23,53.830002,54.049999,294600,49.453879
2014-05-13,54.0,54.5,53.330002,53.400002,425600,48.859153
2014-05-14,53.5,53.950001,53.240002,53.639999,295000,49.078743
2014-05-15,53.529999,53.650002,52.779999,53.200001,359800,48.67616
2014-05-16,53.209999,53.869999,52.869999,53.849998,521200,49.270885
2014-05-19,53.34,53.34,52.75,53.060001,351400,48.975522
2014-05-20,53.150002,53.310001,52.52,52.740002,456700,48.680155
2014-05-21,52.939999,53.139999,52.5,52.849998,331000,48.781685
2014-05-22,52.77,53.09,52.52,52.630001,290400,48.578622
2014-05-23,52.880001,53.139999,52.68,53.119999,201800,49.030901
2014-05-27,53.220001,53.59,53.02,53.509998,471900,49.390879
2014-05-28,53.400002,53.630001,52.880001,53.330002,357400,49.224738
2014-05-29,53.400002,53.459999,52.900002,53.389999,217100,49.280117
2014-05-30,53.360001,53.73,53.110001,53.400002,549200,49.289349
2014-06-02,53.439999,54.209999,53.360001,54.209999,358100,50.036994
2014-06-03,54.049999,54.16,53.830002,54.060001,216300,49.898543
2014-06-04,53.939999,54.419998,53.889999,54.27,211700,50.092377
2014-06-05,54.41,55.419998,54.25,55.389999,377100,51.12616
2014-06-06,55.599998,55.599998,54.880001,55.02,270300,50.784643
2014-06-09,54.919998,55.32,54.52,54.669998,536200,50.461583
2014-06-10,54.560001,54.75,53.709999,53.830002,342600,49.686249
2014-06-11,53.82,54.02,53.279999,53.66,471700,49.529333
2014-06-12,53.560001,54.0,53.080002,53.93,413000,49.77855
2014-06-13,53.970001,54.259998,53.450001,54.25,205700,50.073916
2014-06-16,54.07,54.580002,53.860001,53.959999,285700,49.806239
2014-06-17,53.959999,54.75,53.869999,54.509998,485900,50.3139
2014-06-18,54.48,55.130001,54.299999,54.939999,301100,50.7108
2014-06-19,54.98,55.459999,54.740002,55.439999,272700,51.17231
2014-06-20,55.34,55.939999,54.919998,55.849998,691300,51.550749
2014-06-23,55.779999,56.110001,55.360001,55.43,275700,51.163082
