Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,118.709999,120.910004,118.400002,120.220001,1100200,111.500613
2014-05-02,119.919998,120.730003,119.25,119.57,742200,110.897755
2014-05-05,118.970001,120.199997,118.57,119.839996,531700,111.148169
2014-05-06,119.260002,119.839996,118.690002,118.82,643100,110.202151
2014-05-07,119.18,120.300003,118.099998,119.580002,633300,110.907032
2014-05-08,119.230003,120.360001,118.019997,118.349998,879100,110.301237
2014-05-09,118.389999,118.730003,116.330002,117.889999,741900,109.872522
2014-05-12,118.589996,121.660004,118.589996,121.419998,715700,113.162452
2014-05-13,121.779999,122.0,120.580002,120.690002,587400,112.482102
2014-05-14,120.580002,121.419998,119.389999,119.629997,1005300,111.494185
2014-05-15,119.720001,120.019997,117.300003,119.769997,806100,111.624664
2014-05-16,119.93,120.360001,118.470001,120.190002,696000,112.016106
2014-05-19,119.470001,121.629997,119.43,121.419998,507300,113.162452
2014-05-20,121.220001,121.68,118.040001,118.910004,668400,110.823157
2014-05-21,119.269997,120.349998,118.330002,119.599998,616600,111.466227
2014-05-22,119.419998,121.199997,119.419998,119.879997,517200,111.727183
2014-05-23,119.529999,121.440002,119.529999,121.260002,364800,113.013337
2014-05-27,122.209999,122.900002,121.440002,122.290001,499100,113.973287
2014-05-28,122.690002,122.980003,121.07,121.139999,407800,112.901495
2014-05-29,121.199997,121.290001,120.040001,120.370003,654100,112.183865
2014-05-30,120.699997,121.330002,120.230003,121.080002,450700,112.845578
2014-06-02,121.050003,123.0,120.940002,122.660004,722700,114.318127
2014-06-03,122.57,123.599998,122.269997,122.480003,561900,114.150368
2014-06-04,122.540001,123.0,122.139999,122.349998,401000,114.029205
2014-06-05,123.230003,125.389999,123.099998,125.300003,907800,116.778585
2014-06-06,125.5,126.529999,125.419998,126.339996,404100,117.74785
2014-06-09,126.0,128.570007,125.919998,127.830002,729300,119.136523
2014-06-10,127.830002,128.0,126.18,126.639999,518100,118.027451
2014-06-11,126.239998,126.300003,125.57,126.169998,387400,117.589413
2014-06-12,126.080002,126.459999,124.879997,125.300003,621600,116.778585
2014-06-13,125.18,125.910004,124.349998,125.620003,542400,117.076822
2014-06-16,126.07,126.470001,125.010002,125.660004,341100,117.114102
2014-06-17,125.300003,127.199997,125.099998,126.93,449600,118.297729
2014-06-18,127.139999,127.269997,124.949997,125.690002,850800,117.142061
2014-06-19,126.269997,126.269997,125.07,125.339996,811600,116.815858
2014-06-20,124.830002,127.260002,124.550003,127.239998,775200,118.586644
2014-06-23,127.879997,127.879997,126.099998,126.480003,316400,117.878336
2014-06-24,125.830002,126.739998,124.269997,124.279999,396100,115.827949
2014-06-25,124.300003,125.620003,124.300003,124.739998,489000,116.256665
2014-06-26,124.879997,125.230003,123.889999,124.709999,361500,116.228706
2014-06-27,124.099998,126.029999,124.099998,125.839996,382000,117.281854
2014-06-30,125.449997,125.839996,124.720001,125.160004,643500,116.648107
2014-07-01,125.669998,126.839996,125.150002,125.690002,613800,117.142061
2014-07-02,125.830002,126.059998,124.620003,125.25,476800,116.731982
2014-07-03,126.010002,126.82,125.110001,126.190002,395400,117.608057
2014-07-07,125.860001,125.889999,124.529999,125.25,470400,116.731982
2014-07-08,124.860001,125.279999,124.019997,124.080002,555100,115.641554
2014-07-09,124.370003,124.980003,124.089996,124.57,352700,116.098228
2014-07-10,123.0,123.459999,122.599998,122.93,550500,114.569761
2014-07-11,122.519997,123.830002,122.209999,123.190002,371800,114.812081
2014-07-14,123.709999,124.389999,123.459999,123.559998,531100,115.156914
2014-07-15,123.650002,124.0,122.650002,123.239998,644200,114.858677
2014-07-16,123.519997,123.699997,122.849998,123.239998,495300,114.858677
2014-07-17,122.589996,122.839996,120.650002,120.669998,710000,112.463458
2014-07-18,121.050003,122.779999,121.019997,122.5,526400,114.169005
2014-07-21,122.220001,122.839996,121.580002,122.480003,494400,114.150368
2014-07-22,123.029999,123.690002,122.919998,122.959999,493500,114.59772
2014-07-23,122.849998,123.370003,122.370003,122.639999,423300,114.299483
2014-07-24,122.809998,123.699997,122.43,122.660004,672200,114.318127
2014-07-25,122.660004,123.720001,122.129997,123.059998,474100,114.690918
2014-07-28,122.519997,122.699997,121.25,122.370003,426400,114.047848
2014-07-29,121.970001,122.949997,119.910004,119.970001,1167200,111.811066
2014-07-30,113.379997,114.269997,111.239998,113.330002,2954800,105.622641
2014-07-31,112.129997,113.139999,111.540001,111.660004,1299100,104.066216
