Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,90.129997,90.940002,88.239998,89.230003,1711500,88.436389
2014-05-02,89.389999,90.93,88.739998,89.970001,1011300,89.169806
2014-05-05,89.540001,90.769997,89.019997,90.610001,1053300,89.804113
2014-05-06,90.919998,91.970001,90.080002,90.300003,1001300,89.496872
2014-05-07,90.93,91.489998,89.610001,90.279999,1165900,89.477046
2014-05-08,89.809998,90.639999,87.970001,88.050003,1130600,87.266884
2014-05-09,87.849998,88.519997,87.279999,88.379997,853400,87.593943
2014-05-12,88.620003,89.300003,88.220001,88.910004,673400,88.119236
2014-05-13,89.059998,89.510002,88.900002,89.230003,673500,88.436389
2014-05-14,89.110001,89.519997,88.669998,89.080002,801300,88.287722
2014-05-15,90.190002,90.379997,88.080002,89.489998,2040000,88.694071
2014-05-16,89.379997,89.379997,87.870003,88.5,1070000,87.712879
2014-05-19,88.610001,89.449997,87.980003,89.260002,555800,88.466121
2014-05-20,88.980003,89.25,88.360001,88.580002,780300,87.792169
2014-05-21,88.589996,91.089996,88.230003,90.68,1037300,89.87349
2014-05-22,91.029999,91.040001,88.849998,88.910004,939800,88.119236
2014-05-23,89.099998,89.529999,88.370003,88.68,812400,87.891278
2014-05-27,88.949997,91.07,88.25,90.919998,1101600,90.111353
2014-05-28,91.139999,91.139999,89.300003,90.32,920500,89.516691
2014-05-29,90.550003,92.139999,89.129997,91.93,1282800,91.112372
2014-05-30,91.459999,93.169998,90.599998,92.949997,1768400,92.123297
2014-06-02,92.949997,93.349998,92.150002,92.699997,861400,91.875521
2014-06-03,92.620003,93.889999,92.260002,93.290001,973800,92.460277
2014-06-04,93.190002,93.540001,92.440002,93.029999,873300,92.202588
2014-06-05,93.440002,94.019997,92.400002,93.699997,772200,92.866627
2014-06-06,94.0,94.0,92.550003,93.360001,684700,92.529654
2014-06-09,93.379997,94.260002,92.239998,92.239998,1232200,91.419613
2014-06-10,92.099998,92.099998,89.080002,89.5,2042500,88.703985
2014-06-11,89.209999,90.150002,88.730003,89.400002,1049300,88.604876
2014-06-12,86.540001,87.860001,86.300003,87.730003,5319700,86.988656
2014-06-13,88.0,88.599998,87.150002,88.190002,2205600,87.444768
2014-06-16,88.400002,89.029999,87.809998,88.32,1933200,87.573667
2014-06-17,88.330002,88.489998,86.849998,87.800003,1314900,87.058064
2014-06-18,87.800003,88.25,87.139999,87.849998,1057900,87.107637
2014-06-19,87.93,88.790001,87.470001,88.300003,973100,87.553839
2014-06-20,88.449997,88.830002,87.360001,87.959999,2259200,87.216708
2014-06-23,87.650002,88.580002,87.360001,88.019997,934400,87.276199
2014-06-24,88.029999,88.029999,85.410004,85.669998,2116600,84.946058
2014-06-25,85.669998,86.839996,85.339996,86.019997,1345600,85.293099
2014-06-26,87.540001,87.540001,85.760002,86.629997,1328000,85.897945
2014-06-27,86.07,86.410004,85.32,85.949997,1176300,85.223691
2014-06-30,86.059998,86.980003,85.339996,86.949997,1103400,86.215241
2014-07-01,87.07,87.370003,85.169998,85.370003,1572800,84.648598
2014-07-02,85.110001,86.309998,84.669998,85.620003,1451100,84.896486
2014-07-03,85.639999,85.989998,84.650002,85.790001,667800,85.065047
2014-07-07,85.199997,85.559998,83.860001,84.029999,1875200,83.319918
2014-07-08,84.300003,85.080002,83.599998,84.07,1769700,83.359581
2014-07-09,83.989998,84.959999,83.580002,84.669998,1322100,83.954509
2014-07-10,83.580002,83.75,81.809998,82.099998,2915500,81.406226
2014-07-11,81.779999,82.279999,80.550003,81.25,2468000,80.563411
