Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,96.800003,97.230003,95.889999,97.169998,455300,90.260534
2014-05-02,97.290001,97.339996,96.559998,96.940002,304800,90.046893
2014-05-05,96.540001,97.220001,96.050003,97.199997,333100,90.2884
2014-05-06,97.050003,97.230003,96.370003,96.449997,403100,89.59173
2014-05-07,96.839996,98.660004,96.839996,98.610001,783800,91.598142
2014-05-08,98.620003,100.129997,98.580002,99.190002,709000,92.136902
2014-05-09,99.059998,100.169998,98.650002,100.150002,539700,93.028638
2014-05-12,100.400002,100.660004,99.739998,100.610001,629200,93.455928
2014-05-13,100.57,100.57,99.599998,100.400002,450800,93.260862
2014-05-14,100.110001,100.110001,98.57,98.589996,538900,92.111682
2014-05-15,98.309998,98.580002,97.300003,97.510002,484300,91.102654
2014-05-16,97.629997,98.589996,97.5,98.559998,458800,92.083655
2014-05-19,98.32,98.540001,98.019997,98.279999,401400,91.822054
2014-05-20,98.089996,98.489998,97.910004,98.07,533700,91.625854
2014-05-21,98.269997,99.129997,97.839996,99.050003,555600,92.541462
2014-05-22,98.800003,98.970001,97.989998,98.75,389300,92.261172
2014-05-23,98.730003,99.279999,98.489998,99.120003,250500,92.606862
2014-05-27,99.529999,100.620003,99.529999,100.440002,524400,93.840125
2014-05-28,100.269997,100.720001,99.959999,100.620003,562600,94.008298
2014-05-29,101.07,103.089996,101.07,103.0,1084800,96.231906
2014-05-30,102.68,103.209999,102.260002,102.599998,1012600,95.858188
2014-06-02,102.690002,102.830002,102.160004,102.470001,538700,95.736733
2014-06-03,102.449997,102.949997,102.120003,102.940002,658200,96.175851
2014-06-04,102.690002,103.18,102.360001,102.830002,950300,96.073078
2014-06-05,102.949997,105.419998,102.849998,104.309998,931800,97.455824
2014-06-06,104.309998,105.699997,104.110001,105.690002,654500,98.745149
2014-06-09,105.940002,106.68,104.849998,105.660004,751700,98.717122
2014-06-10,105.199997,105.389999,104.68,105.099998,453700,98.193914
2014-06-11,104.980003,105.580002,104.599998,104.800003,578900,97.913631
2014-06-12,104.650002,105.169998,104.260002,104.93,527100,98.035087
2014-06-13,104.800003,105.260002,104.019997,105.239998,592700,98.324714
2014-06-16,104.739998,105.879997,104.629997,105.830002,642200,98.875949
2014-06-17,105.330002,106.540001,104.889999,106.099998,680900,99.128205
2014-06-18,105.32,106.650002,105.209999,106.629997,589500,99.623377
2014-06-19,106.720001,106.980003,105.620003,106.599998,640500,99.59535
2014-06-20,107.260002,107.260002,106.050003,106.459999,884200,99.46455
2014-06-23,106.5,106.75,106.059998,106.709999,717600,99.698122
2014-06-24,106.339996,106.639999,105.900002,106.339996,470100,99.352432
2014-06-25,105.470001,106.110001,105.209999,105.790001,693800,98.838577
2014-06-26,105.889999,106.059998,105.269997,105.480003,656300,98.548949
2014-06-27,105.209999,106.059998,104.900002,106.050003,570100,99.081494
2014-06-30,106.080002,106.980003,105.389999,106.57,496900,99.567322
2014-07-01,106.809998,107.419998,106.650002,106.809998,570700,99.79155
2014-07-02,106.43,106.779999,105.980003,106.629997,535300,99.623377
2014-07-03,106.699997,107.699997,106.68,107.529999,442800,100.46424
2014-07-07,107.139999,107.739998,106.860001,107.349998,413400,100.296068
2014-07-08,107.150002,107.629997,106.5,106.660004,385800,99.651412
2014-07-09,106.699997,107.059998,106.339996,106.599998,341500,99.59535
2014-07-10,106.269997,106.580002,105.660004,106.209999,361300,99.230977
2014-07-11,106.32,106.610001,105.730003,106.470001,237100,99.473895
2014-07-14,106.760002,107.120003,106.040001,106.419998,275700,99.427177
2014-07-15,106.169998,106.639999,105.379997,105.599998,517600,98.661059
2014-07-16,106.209999,106.419998,105.290001,105.639999,269000,98.698432
2014-07-17,105.550003,105.919998,104.589996,104.720001,346900,97.838887
2014-07-18,105.160004,105.809998,104.720001,105.690002,333100,98.745149
2014-07-21,105.440002,105.629997,104.720001,105.089996,208000,98.184569
2014-07-22,105.360001,105.449997,104.860001,105.059998,350900,98.156542
2014-07-23,105.370003,105.57,104.620003,104.75,239400,97.866914
2014-07-24,104.959999,105.32,104.540001,105.160004,437500,98.249977
2014-07-25,104.989998,105.360001,104.379997,104.629997,236700,97.754797
2014-07-28,104.639999,104.779999,103.620003,104.080002,322800,97.240941
2014-07-29,104.010002,104.529999,103.25,103.25,349400,96.465479
2014-07-30,103.370003,103.540001,101.93,102.110001,480500,95.400388
2014-07-31,102.110001,102.110001,99.540001,99.639999,834500,93.09269
2014-08-01,99.489998,100.730003,98.620003,100.519997,852900,93.914863
2014-08-04,100.540001,101.010002,100.239998,100.900002,457900,94.269898
2014-08-05,100.550003,100.68,99.099998,99.370003,456500,92.840435
2014-08-06,99.07,101.449997,99.07,101.209999,403200,94.559525
2014-08-07,101.290001,101.580002,100.040001,100.620003,360100,94.008298
2014-08-08,100.57,101.900002,100.57,101.830002,452300,95.138788
2014-08-11,102.160004,103.440002,102.0,103.080002,305400,96.306651
2014-08-12,102.870003,103.220001,102.400002,102.589996,443100,95.848844
2014-08-13,102.330002,102.68,101.800003,102.669998,450900,96.525752
2014-08-14,102.870003,103.449997,102.349998,103.300003,486400,97.118054
2014-08-15,103.489998,104.029999,102.269997,102.870003,372300,96.713787
2014-08-18,103.440002,103.589996,102.940002,103.129997,481700,96.958222
2014-08-19,103.129997,103.529999,102.589996,103.449997,468900,97.259072
2014-08-20,101.5,103.059998,100.440002,102.419998,795400,96.290713
2014-08-21,102.25,102.709999,101.389999,101.650002,705900,95.566797
2014-08-22,101.790001,101.919998,101.019997,101.360001,457400,95.294151
2014-08-25,102.029999,102.080002,101.610001,101.949997,390400,95.848839
2014-08-26,102.050003,102.599998,101.790001,102.470001,302200,96.337724
2014-08-27,102.150002,102.589996,102.150002,102.419998,503700,96.290713
2014-08-28,102.239998,102.440002,101.919998,102.360001,309700,96.234306
2014-08-29,102.529999,102.660004,102.040001,102.599998,261900,96.459941
2014-09-02,102.610001,103.389999,102.150002,102.660004,670300,96.516355
2014-09-03,102.739998,103.150002,102.260002,102.389999,312000,96.262509
2014-09-04,102.290001,102.739998,101.739998,102.019997,277000,95.914649
2014-09-05,101.93,102.709999,101.5,102.709999,263900,96.563359
2014-09-08,102.279999,102.610001,101.830002,101.970001,307400,95.867646
2014-09-09,101.870003,101.989998,101.190002,101.260002,388400,95.200136
2014-09-10,101.120003,101.419998,100.459999,101.080002,398500,95.030908
2014-09-11,100.860001,101.169998,100.540001,101.129997,557300,95.077912
2014-09-12,101.07,101.129997,99.599998,99.699997,504900,93.733489
2014-09-15,99.790001,99.959999,99.199997,99.730003,472200,93.7617
2014-09-16,99.5,100.910004,99.389999,100.800003,591300,94.767666
2014-09-17,100.629997,100.699997,99.610001,99.709999,514600,93.742893
2014-09-18,100.099998,100.419998,99.279999,100.220001,391300,94.222374
2014-09-19,100.839996,100.839996,100.120003,100.190002,746600,94.194171
2014-09-22,100.010002,100.099998,99.489998,99.510002,400900,93.554865
2014-09-23,99.260002,99.290001,98.580002,98.809998,568300,92.896751
2014-09-24,98.830002,100.059998,98.580002,99.900002,305000,93.921525
2014-09-25,99.440002,99.790001,98.209999,98.220001,518300,92.342063
2014-09-26,98.300003,98.790001,97.760002,98.529999,363300,92.633509
2014-09-29,97.889999,98.760002,97.690002,98.440002,540500,92.548899
2014-09-30,98.699997,99.470001,98.650002,98.989998,456800,93.06598
2014-10-01,99.0,99.169998,97.720001,97.889999,675000,92.03181
2014-10-02,98.010002,98.080002,96.75,97.75,654200,91.900189
2014-10-03,98.010002,98.980003,97.82,98.660004,523700,92.755734
2014-10-06,99.220001,99.220001,97.510002,98.5,412500,92.605306
2014-10-07,98.120003,98.400002,97.220001,97.25,505300,91.430111
2014-10-08,97.349998,98.779999,96.730003,98.730003,405700,92.821545
2014-10-09,98.639999,99.370003,97.599998,97.870003,577200,92.01301
2014-10-10,98.059998,99.260002,97.709999,97.709999,609100,91.862582
2014-10-13,97.629997,98.93,97.339996,97.410004,455700,91.58054
2014-10-14,97.889999,98.849998,97.599998,97.980003,619700,92.116428
2014-10-15,96.480003,97.900002,95.599998,97.360001,837300,91.533529
2014-10-16,96.419998,98.550003,96.419998,97.879997,1062500,92.022407
2014-10-17,99.199997,99.220001,97.82,98.660004,495500,92.755734
2014-10-20,98.699997,101.169998,98.699997,101.029999,599000,94.983898
2014-10-21,101.32,102.489998,101.019997,102.389999,593500,96.262509
2014-10-22,102.5,103.0,101.650002,101.730003,528300,95.642011
2014-10-23,102.099998,102.68,101.610001,101.75,288000,95.660811
2014-10-24,101.769997,102.419998,101.360001,102.339996,282300,96.215499
2014-10-27,102.190002,103.419998,102.099998,103.139999,373500,96.967626
2014-10-28,103.470001,103.910004,103.059998,103.910004,339600,97.69155
2014-10-29,103.790001,104.07,101.610001,102.519997,506300,96.384727
2014-10-30,101.769997,103.43,101.599998,103.029999,368000,96.864208
2014-10-31,103.879997,104.510002,103.449997,104.0,651700,97.77616
2014-11-03,103.779999,104.519997,103.610001,104.07,335800,97.841971
2014-11-04,103.989998,104.93,103.559998,104.309998,329700,98.067606
2014-11-05,105.089996,105.739998,104.610001,105.339996,381500,99.035965
2014-11-06,105.339996,105.910004,104.800003,105.800003,599800,99.468443
2014-11-07,105.150002,105.400002,104.110001,104.839996,473200,98.565887
2014-11-10,104.660004,105.550003,104.07,105.309998,399600,99.007762
2014-11-11,105.0,105.370003,104.279999,104.720001,660100,98.453073
2014-11-12,98.720001,101.760002,98.190002,100.379997,2153500,94.953109
2014-11-13,100.160004,100.339996,98.699997,99.870003,1279700,94.470687
2014-11-14,99.760002,100.610001,99.300003,100.230003,529500,94.811225
2014-11-17,100.290001,101.610001,100.029999,101.519997,724600,96.031476
2014-11-18,101.610001,102.059998,101.43,101.970001,603900,96.457152
2014-11-19,101.690002,103.169998,100.349998,101.660004,651300,96.163914
2014-11-20,101.0,102.139999,100.959999,101.110001,592400,95.643646
2014-11-21,101.93,102.150002,101.050003,101.290001,578700,95.813915
2014-11-24,101.629997,101.650002,100.519997,100.639999,699300,95.199055
2014-11-25,100.629997,101.879997,100.580002,101.190002,703200,95.719323
2014-11-26,101.029999,101.599998,100.849998,101.129997,610900,95.662562
2014-11-28,101.540001,102.989998,101.5,102.57,301800,97.024713
2014-12-01,102.169998,103.5,102.07,102.779999,687600,97.223359
2014-12-02,103.339996,103.379997,102.32,103.239998,791200,97.658488
2014-12-03,103.050003,103.050003,101.779999,101.919998,467500,96.409853
2014-12-04,102.010002,102.010002,100.839996,101.150002,337300,95.681485
2014-12-05,101.269997,101.940002,101.150002,101.720001,287800,96.220668
2014-12-08,101.830002,102.82,101.349998,101.839996,398900,96.334176
2014-12-09,101.209999,101.830002,100.639999,101.199997,431400,95.728777
2014-12-10,101.309998,101.349998,100.160004,100.230003,538900,94.811225
2014-12-11,100.5,101.010002,100.0,100.639999,612200,95.199055
2014-12-12,100.169998,100.629997,99.110001,99.160004,553700,93.799073
2014-12-15,99.690002,99.690002,97.550003,98.290001,758200,92.976105
2014-12-16,98.099998,99.769997,97.330002,98.309998,597500,92.995021
2014-12-17,98.699997,100.610001,98.5,100.349998,457000,94.924732
2014-12-18,101.510002,102.629997,100.860001,102.610001,732800,97.062551
2014-12-19,103.050003,103.489998,102.160004,102.790001,884700,97.23282
2014-12-22,103.120003,103.559998,102.620003,103.150002,394000,97.573358
2014-12-23,103.610001,104.089996,103.160004,103.650002,376100,98.046326
2014-12-24,103.910004,103.910004,103.220001,103.449997,173900,97.857134
2014-12-26,103.629997,104.019997,103.339996,103.389999,155900,97.80038
2014-12-29,103.059998,103.650002,102.879997,103.099998,377300,97.526058
2014-12-30,102.75,103.489998,102.459999,102.5,460000,96.958497
2014-12-31,102.739998,103.199997,100.949997,100.980003,384200,95.520677
2015-01-02,101.139999,101.690002,99.949997,100.480003,360600,95.047709
2015-01-05,99.900002,100.110001,98.599998,98.839996,478400,93.496366
2015-01-06,99.0,99.269997,97.279999,98.050003,671800,92.749083
2015-01-07,98.43,100.419998,98.230003,100.239998,488600,94.820679
2015-01-08,101.43,101.860001,100.620003,101.690002,487500,96.192291
2015-01-09,101.959999,102.059998,100.739998,101.040001,422900,95.577431
2015-01-12,101.110001,101.440002,99.769997,100.339996,581100,94.915271
2015-01-13,101.25,101.849998,99.970001,100.940002,538100,95.482839
2015-01-14,100.269997,101.099998,99.980003,100.959999,381700,95.501754
2015-01-15,100.959999,102.099998,100.959999,101.300003,705200,95.823376
2015-01-16,101.349998,102.0,100.699997,101.860001,396800,96.353099
2015-01-20,102.25,104.300003,102.0,104.190002,744000,98.557133
2015-01-21,104.519997,107.209999,103.870003,106.040001,1108800,100.307114
2015-01-22,106.419998,107.040001,105.68,106.870003,506000,101.092243
2015-01-23,106.849998,107.190002,106.089996,106.489998,401800,100.732782
2015-01-26,106.239998,106.790001,106.110001,106.449997,366900,100.694944
2015-01-27,106.0,106.349998,105.169998,105.769997,362100,100.051707
2015-01-28,105.959999,106.709999,104.620003,104.730003,399300,99.067939
2015-01-29,104.760002,105.160004,103.5,105.099998,576000,99.417931
2015-01-30,104.43,104.440002,103.010002,103.150002,453600,97.573358
2015-02-02,103.230003,104.489998,101.879997,104.470001,398500,98.821994
2015-02-03,104.68,105.910004,104.68,105.879997,405900,100.15576
2015-02-04,113.019997,114.470001,111.519997,112.099998,6183700,106.039487
2015-02-05,112.019997,113.410004,111.68,113.330002,1535900,107.202992
2015-02-06,113.330002,113.470001,112.510002,113.0,840200,106.890831
2015-02-09,112.68,113.309998,112.459999,112.910004,640300,106.805701
2015-02-10,113.339996,113.550003,112.309998,113.150002,574800,107.032723
2015-02-11,112.440002,113.080002,110.889999,111.260002,1051600,105.843573
2015-02-12,110.940002,112.470001,110.519997,112.389999,892600,106.918559
2015-02-13,111.139999,114.910004,109.57,113.889999,1743600,108.345535
2015-02-17,113.279999,113.82,112.639999,113.209999,1174200,107.698639
2015-02-18,112.690002,114.389999,112.690002,114.300003,506200,108.735578
2015-02-19,113.959999,114.43,112.849998,113.879997,661500,108.336019
2015-02-20,113.32,114.0,112.239998,113.440002,1466700,107.917445
2015-02-23,113.059998,113.639999,112.730003,113.25,944500,107.736692
2015-02-24,112.910004,113.809998,112.040001,113.470001,776600,107.945983
2015-02-25,113.599998,113.839996,112.919998,113.110001,567300,107.603508
2015-02-26,113.980003,115.400002,112.910004,115.209999,1039600,109.601273
2015-02-27,115.389999,115.839996,114.669998,115.349998,754300,109.734457
2015-03-02,115.349998,115.660004,114.5,114.959999,570200,109.363444
2015-03-03,114.919998,114.949997,113.019997,114.120003,673700,108.564341
2015-03-04,114.07,114.269997,113.379997,114.239998,485100,108.678494
2015-03-05,114.760002,114.760002,113.699997,114.230003,580300,108.668986
2015-03-06,114.029999,114.190002,112.230003,112.769997,601600,107.280057
2015-03-09,112.5,113.309998,112.18,113.050003,526800,107.546432
2015-03-10,112.25,112.529999,110.730003,110.730003,719800,105.339376
2015-03-11,110.739998,111.25,110.059998,111.120003,650000,105.710389
