Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,116.25,116.540001,115.220001,115.989998,277400,115.989998
2014-05-02,116.489998,116.510002,115.25,115.529999,280100,115.529999
2014-05-05,114.809998,115.809998,114.330002,115.480003,431700,115.480003
2014-05-06,115.379997,115.68,114.769997,114.93,294600,114.93
2014-05-07,114.790001,116.690002,112.910004,114.75,580500,114.75
2014-05-08,114.379997,114.980003,113.839996,114.239998,226500,114.239998
2014-05-09,114.559998,114.559998,113.410004,113.900002,360200,113.900002
2014-05-12,114.400002,114.900002,114.0,114.269997,310400,114.269997
2014-05-13,114.279999,114.529999,113.879997,114.089996,544100,114.089996
2014-05-14,113.849998,114.43,113.230003,113.349998,413900,113.349998
2014-05-15,113.150002,113.639999,112.07,112.449997,472700,112.449997
2014-05-16,112.370003,113.0,111.029999,112.870003,457100,112.870003
2014-05-19,112.480003,113.059998,112.110001,112.970001,248400,112.970001
2014-05-20,112.629997,112.739998,111.529999,111.800003,415500,111.800003
2014-05-21,112.110001,112.370003,111.599998,112.260002,227800,112.260002
2014-05-22,112.050003,112.470001,111.510002,112.139999,299200,112.139999
2014-05-23,112.5,112.870003,112.080002,112.480003,203300,112.480003
2014-05-27,112.559998,113.18,112.190002,113.050003,307600,113.050003
2014-05-28,112.889999,114.029999,112.660004,112.699997,402900,112.699997
2014-05-29,112.910004,113.120003,112.150002,112.620003,264200,112.620003
2014-05-30,113.199997,114.550003,112.459999,114.370003,870600,114.370003
2014-06-02,114.239998,114.639999,113.730003,114.550003,325200,114.550003
2014-06-03,114.620003,114.839996,114.220001,114.5,323800,114.5
2014-06-04,114.269997,115.32,114.269997,115.260002,300500,115.260002
2014-06-05,115.110001,115.379997,114.519997,115.209999,218400,115.209999
2014-06-06,115.769997,115.989998,115.410004,115.760002,259700,115.760002
2014-06-09,115.660004,116.510002,115.660004,116.080002,238600,116.080002
2014-06-10,116.029999,116.18,115.440002,115.949997,252900,115.949997
2014-06-11,115.419998,115.949997,115.040001,115.25,248400,115.25
2014-06-12,115.339996,115.339996,114.5,114.970001,252700,114.970001
2014-06-13,116.889999,118.790001,116.25,118.470001,749800,118.470001
2014-06-16,118.029999,119.040001,117.230003,117.459999,398500,117.459999
2014-06-17,117.059998,117.940002,117.0,117.470001,269800,117.470001
2014-06-18,117.410004,118.050003,117.019997,117.75,354600,117.75
2014-06-19,118.07,118.07,117.18,117.699997,370900,117.699997
2014-06-20,118.059998,119.0,117.660004,118.900002,658300,118.900002
2014-06-23,118.900002,119.730003,118.160004,118.620003,293300,118.620003
2014-06-24,118.489998,119.0,118.07,118.43,224500,118.43
2014-06-25,118.400002,119.029999,117.839996,118.660004,278700,118.660004
2014-06-26,118.739998,118.739998,117.519997,118.339996,195000,118.339996
2014-06-27,118.120003,118.989998,117.860001,118.440002,418600,118.440002
2014-06-30,118.419998,118.669998,118.029999,118.419998,309500,118.419998
2014-07-01,118.790001,119.540001,117.870003,119.150002,377200,119.150002
2014-07-02,119.0,119.419998,118.699997,119.07,331600,119.07
2014-07-03,119.449997,119.57,118.660004,119.230003,140400,119.230003
2014-07-07,119.370003,119.559998,118.110001,119.480003,390800,119.480003
2014-07-08,119.480003,119.480003,118.779999,118.949997,412300,118.949997
2014-07-09,119.480003,120.190002,119.209999,119.43,337600,119.43
2014-07-10,118.690002,119.169998,118.32,118.699997,291100,118.699997
2014-07-11,118.989998,119.059998,118.0,119.010002,297400,119.010002
2014-07-14,119.620003,119.849998,118.870003,119.120003,196200,119.120003
2014-07-15,119.459999,119.800003,118.720001,119.309998,288900,119.309998
2014-07-16,119.379997,119.730003,118.910004,119.440002,212400,119.440002
2014-07-17,118.739998,119.470001,117.790001,118.120003,315400,118.120003
2014-07-18,118.32,119.099998,117.510002,118.82,238700,118.82
2014-07-21,118.489998,118.790001,117.559998,118.290001,212600,118.290001
2014-07-22,118.720001,118.879997,117.760002,117.910004,323100,117.910004
2014-07-23,117.669998,118.510002,117.510002,117.730003,182800,117.730003
2014-07-24,118.010002,118.080002,117.089996,117.769997,310700,117.769997
2014-07-25,118.870003,119.279999,117.769997,118.25,452800,118.25
2014-07-28,117.790001,118.410004,117.0,118.18,391500,118.18
2014-07-29,118.360001,119.68,118.029999,118.800003,506800,118.800003
2014-07-30,124.330002,125.43,118.629997,119.650002,315700,119.650002
2014-07-31,119.5,119.5,117.610001,117.650002,405600,117.650002
2014-08-01,117.550003,118.040001,116.32,116.809998,323900,116.809998
2014-08-04,116.949997,117.519997,116.279999,117.260002,248600,117.260002
2014-08-05,116.830002,117.550003,116.32,117.360001,384200,117.360001
2014-08-06,117.0,117.470001,116.580002,116.660004,288900,116.660004
2014-08-07,117.160004,117.650002,116.769997,117.370003,328100,117.370003
2014-08-08,117.610001,118.800003,117.290001,118.699997,287300,118.699997
2014-08-11,118.449997,118.57,117.660004,117.690002,189700,117.690002
