Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,85.690002,86.510002,85.5,85.989998,1190600,80.768386
2014-05-02,86.18,86.699997,85.699997,85.93,837200,80.712031
2014-05-05,85.519997,86.029999,85.099998,85.730003,823100,80.524179
2014-05-06,85.5,85.75,85.059998,85.190002,505600,80.016969
2014-05-07,85.550003,86.220001,85.0,86.150002,1194400,80.918673
2014-05-08,85.860001,87.099998,85.68,86.400002,810000,81.153492
2014-05-09,86.279999,86.400002,85.57,86.330002,564900,81.087743
2014-05-12,86.650002,87.760002,86.650002,87.370003,1071900,82.064592
2014-05-13,87.370003,87.5,86.919998,87.0,683800,81.717057
2014-05-14,86.889999,87.139999,85.760002,85.779999,760200,80.571138
2014-05-15,85.540001,85.720001,84.190002,84.989998,1022900,79.829109
2014-05-16,85.120003,85.769997,84.57,85.699997,817000,80.495995
2014-05-19,85.580002,86.57,85.32,86.459999,825900,81.209847
2014-05-20,86.169998,86.379997,84.309998,84.870003,1196500,79.716401
2014-05-21,85.230003,86.230003,85.18,86.190002,888900,80.956245
2014-05-22,86.019997,86.879997,85.910004,86.129997,666700,80.899884
2014-05-23,86.089996,87.470001,85.860001,87.25,967300,81.951876
2014-05-27,87.510002,88.059998,87.099998,87.400002,725300,82.092769
2014-05-28,87.440002,87.620003,87.07,87.400002,527200,82.092769
2014-05-29,87.419998,87.75,86.489998,87.18,638100,81.886127
2014-05-30,87.099998,87.540001,86.75,87.400002,1499100,82.092769
2014-06-02,87.089996,87.660004,86.449997,87.5,728500,82.659576
2014-06-03,87.080002,87.199997,86.480003,86.629997,555600,81.837701
2014-06-04,86.419998,86.959999,86.099998,86.110001,785000,81.34647
2014-06-05,86.610001,87.760002,86.029999,87.580002,1185200,82.735152
2014-06-06,87.599998,88.099998,87.580002,87.860001,783000,82.999662
2014-06-09,87.699997,88.879997,87.650002,88.260002,762100,83.377536
2014-06-10,88.169998,88.239998,87.75,88.239998,519500,83.358638
2014-06-11,87.809998,87.809998,87.050003,87.459999,588700,82.621788
2014-06-12,87.300003,87.440002,86.760002,87.120003,952400,82.3006
2014-06-13,87.029999,87.370003,86.720001,87.169998,772600,82.34783
2014-06-16,87.07,87.769997,86.900002,87.760002,676200,82.905195
2014-06-17,87.309998,88.099998,86.639999,87.980003,628800,83.113026
2014-06-18,87.849998,88.410004,87.139999,88.269997,584000,83.386977
2014-06-19,88.370003,88.589996,87.860001,88.379997,589300,83.490893
2014-06-20,88.510002,89.050003,88.150002,89.019997,1959100,84.095488
2014-06-23,88.919998,88.949997,88.080002,88.470001,666500,83.575918
2014-06-24,88.07,88.629997,87.32,87.370003,682700,82.53677
2014-06-25,87.360001,88.330002,87.190002,87.589996,637300,82.744594
2014-06-26,87.75,87.830002,86.519997,87.260002,616900,82.432855
2014-06-27,87.169998,88.059998,86.900002,88.040001,1092600,83.169705
2014-06-30,88.010002,88.260002,87.559998,87.82,692500,82.961874
2014-07-01,88.129997,88.690002,87.919998,87.959999,731100,83.094128
