Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,58.139999,58.77,57.959999,58.259998,2614400,55.911522
2014-05-02,58.200001,59.040001,58.200001,58.380001,1639500,56.026688
2014-05-05,58.220001,58.669998,57.959999,58.099998,1854300,55.757972
2014-05-06,57.849998,57.880001,56.98,57.029999,3231200,54.731104
2014-05-07,57.119999,57.27,56.669998,57.209999,2895500,54.903849
2014-05-08,57.330002,58.23,57.110001,57.82,3366300,55.48926
2014-05-09,57.91,58.5,57.689999,58.470001,2898900,56.11306
2014-05-12,58.700001,59.950001,58.700001,59.860001,3941900,57.447028
2014-05-13,59.73,59.75,58.959999,59.080002,2669200,56.864715
2014-05-14,59.080002,59.720001,59.040001,59.130001,3362600,56.91284
2014-05-15,58.759998,58.849998,57.75,58.119999,4968900,55.940709
2014-05-16,58.110001,58.720001,58.02,58.560001,3953600,56.364213
2014-05-19,58.369999,58.540001,57.830002,58.400002,3412800,56.210212
2014-05-20,56.049999,56.900002,53.869999,53.950001,17344400,51.927071
2014-05-21,54.330002,56.740002,54.310001,56.599998,11885600,54.477703
2014-05-22,56.619999,56.900002,55.27,55.470001,6217000,53.390077
2014-05-23,55.490002,56.09,55.139999,55.150002,4156400,53.082076
2014-05-27,55.330002,55.490002,54.580002,54.66,5224300,52.610447
2014-05-28,54.610001,54.700001,54.099998,54.299999,7200900,52.263945
2014-05-29,54.669998,54.689999,54.119999,54.450001,4250800,52.408322
2014-05-30,54.400002,54.630001,54.150002,54.450001,5419900,52.408322
2014-06-02,54.639999,54.720001,54.07,54.130001,4138700,52.100322
2014-06-03,54.009998,54.290001,53.860001,54.23,5697200,52.19657
2014-06-04,54.23,55.59,54.130001,55.529999,7502600,53.447824
2014-06-05,55.490002,56.07,55.16,56.02,6555100,53.919453
2014-06-06,56.139999,56.84,56.080002,56.419998,4779400,54.304452
2014-06-09,56.220001,56.889999,56.16,56.220001,3270700,54.111954
2014-06-10,56.060001,56.25,55.82,56.060001,3213200,53.957954
2014-06-11,55.830002,55.849998,55.349998,55.470001,4070100,53.390077
2014-06-12,55.34,55.400002,54.560001,54.689999,4242600,52.639321
2014-06-13,54.73,54.889999,54.450001,54.790001,3106200,52.735574
2014-06-16,54.810001,54.84,54.400002,54.709999,3054700,52.658572
2014-06-17,54.75,54.880001,54.349998,54.740002,3244900,52.687449
2014-06-18,54.720001,55.599998,54.689999,55.560001,3120800,53.476702
2014-06-19,55.580002,55.580002,55.060001,55.119999,3085700,53.053198
2014-06-20,55.380001,55.459999,54.889999,54.950001,5368200,52.889574
2014-06-23,54.790001,55.049999,54.540001,54.810001,3495300,52.754824
2014-06-24,54.799999,54.84,53.82,53.84,4910100,51.821195
2014-06-25,53.790001,53.900002,52.950001,53.139999,8462600,51.147441
2014-06-26,53.189999,53.279999,51.970001,52.82,7205600,50.83944
2014-06-27,52.689999,53.080002,52.630001,52.77,5347600,50.791316
2014-06-30,52.830002,53.23,52.830002,53.150002,4847900,51.157068
2014-07-01,53.07,53.610001,53.029999,53.509998,3511100,51.503567
2014-07-02,53.419998,53.959999,53.41,53.709999,3151200,51.696068
2014-07-03,53.75,54.009998,53.68,53.799999,2186400,51.782694
2014-07-07,53.630001,53.84,53.27,53.41,5275100,51.407318
2014-07-08,53.400002,53.959999,53.130001,53.849998,4489400,51.830818
2014-07-09,53.939999,54.73,53.91,54.48,4113800,52.437196
2014-07-10,53.91,54.240002,53.599998,53.779999,4041400,51.763443
2014-07-11,53.610001,53.790001,53.310001,53.549999,2803000,51.542068
2014-07-14,53.950001,53.950001,53.240002,53.450001,3159700,51.445819
2014-07-15,53.279999,54.0,53.189999,53.939999,4775800,51.917444
2014-07-16,53.939999,53.939999,52.529999,52.580002,8381400,50.608442
2014-07-17,52.360001,52.669998,52.130001,52.23,5978100,50.271563
2014-07-18,52.450001,53.009998,51.91,52.98,3665000,50.993441
2014-07-21,52.849998,52.869999,52.009998,52.389999,3590700,50.425564
2014-07-22,52.790001,52.830002,52.419998,52.48,2920400,50.512189
2014-07-23,52.650002,53.25,52.639999,53.099998,3670800,51.10894
2014-07-24,53.439999,53.740002,53.18,53.209999,3508300,51.214816
2014-07-25,53.029999,53.27,52.540001,52.549999,3092700,50.579564
2014-07-28,52.869999,53.060001,52.599998,52.639999,3876900,50.66619
2014-07-29,52.740002,53.049999,52.490002,52.490002,2878400,50.521816
2014-07-30,52.77,53.790001,52.689999,53.68,4235900,51.667194
2014-07-31,52.990002,53.630001,52.919998,53.290001,5232200,51.291818
2014-08-01,52.98,53.419998,52.919998,53.119999,3630400,51.128191
2014-08-04,53.889999,53.889999,53.029999,53.709999,2705200,51.696068
2014-08-05,53.709999,53.709999,53.009998,53.139999,3411600,51.147441
2014-08-06,52.759998,54.34,52.759998,53.91,3947000,51.88857
2014-08-07,54.110001,54.360001,53.400002,53.490002,2168500,51.48432
2014-08-08,53.630001,54.939999,53.610001,54.900002,3968800,52.84145
2014-08-11,55.02,55.150002,54.389999,54.459999,2879200,52.417946
2014-08-12,54.330002,54.630001,54.119999,54.209999,3250900,52.345525
2014-08-13,54.099998,54.130001,53.27,53.34,5251900,51.505448
2014-08-14,53.669998,54.09,53.369999,53.959999,3902100,52.104123
2014-08-15,54.029999,54.029999,53.0,53.139999,4232900,51.312326
2014-08-18,53.59,54.34,53.43,53.900002,5332500,52.046189
2014-08-19,56.73,59.5,56.490002,58.560001,15917500,56.545915
2014-08-20,58.25,59.700001,57.939999,59.400002,8253800,57.357025
2014-08-21,59.400002,59.5,58.619999,58.91,4591800,56.883876
2014-08-22,59.009998,59.470001,58.970001,59.360001,3769200,57.3184
2014-08-25,59.5,59.639999,58.950001,58.98,3592300,56.951468
2014-08-26,59.029999,59.68,58.939999,59.5,5561700,57.453584
2014-08-27,59.490002,59.700001,59.32,59.540001,3328400,57.492209
2014-08-28,59.040001,60.040001,58.77,59.77,3859800,57.714298
2014-08-29,59.860001,59.880001,59.41,59.610001,2469900,57.559801
2014-09-02,59.880001,60.650002,59.830002,60.439999,4498200,58.361253
2014-09-03,60.630001,60.75,60.150002,60.360001,2689800,58.284006
2014-09-04,60.400002,61.25,60.369999,60.889999,3385100,58.795776
2014-09-05,60.68,61.18,60.0,61.150002,3276600,59.046836
2014-09-08,60.740002,60.990002,60.310001,60.529999,3060000,58.448157
2014-09-09,60.220001,60.25,59.490002,59.720001,4269300,57.666018
2014-09-10,59.84,60.049999,59.459999,59.700001,2926400,57.646706
2014-09-11,59.650002,60.34,59.580002,60.18,2812900,58.110197
2014-09-12,60.349998,60.360001,59.52,59.889999,2353200,57.83017
2014-09-15,59.77,59.950001,59.580002,59.700001,1933400,57.646706
2014-09-16,59.709999,60.66,59.509998,60.23,3107000,58.158476
2014-09-17,60.259998,60.290001,59.59,59.919998,2203400,57.859137
2014-09-18,60.139999,60.52,60.049999,60.220001,2125400,58.148822
2014-09-19,60.490002,60.560001,59.639999,59.650002,4352900,57.598426
2014-09-22,59.66,59.759998,58.939999,59.18,2687700,57.14459
2014-09-23,59.040001,59.189999,58.580002,58.759998,3903500,56.739033
2014-09-24,58.889999,60.490002,58.779999,60.360001,4996900,58.284006
2014-09-25,60.009998,60.360001,59.150002,59.299999,4973800,57.260462
2014-09-26,59.450001,60.25,59.330002,59.919998,4123800,57.859137
2014-09-29,59.330002,60.130001,59.139999,59.799999,3085400,57.743265
2014-09-30,59.599998,59.68,59.169998,59.169998,3414700,57.134932
2014-10-01,59.27,59.790001,58.959999,59.220001,3413600,57.183215
2014-10-02,59.41,60.099998,59.16,59.950001,3123400,57.888107
2014-10-03,60.25,61.419998,60.25,61.080002,3887600,58.979244
2014-10-06,61.169998,61.240002,60.240002,60.299999,2375100,58.226068
2014-10-07,59.939999,60.419998,59.689999,59.689999,3027200,57.637048
2014-10-08,59.869999,61.049999,59.599998,60.990002,3770300,58.892339
2014-10-09,60.66,61.32,60.389999,60.490002,4980700,58.409536
2014-10-10,60.66,62.18,60.630001,61.57,5393400,59.452389
2014-10-13,61.5,61.66,60.57,60.630001,3894400,58.54472
2014-10-14,61.02,61.619999,60.860001,61.41,4633400,59.297892
2014-10-15,60.650002,61.220001,59.43,60.099998,6752900,58.032946
2014-10-16,59.259998,60.25,59.220001,59.619999,7120300,57.569456
2014-10-17,60.330002,60.630001,59.650002,60.400002,7058600,58.322631
2014-10-20,60.150002,60.93,60.150002,60.66,7070100,58.573687
2014-10-21,61.0,62.610001,60.43,62.16,4740200,60.022097
2014-10-22,61.740002,62.900002,61.48,61.619999,5570700,59.500668
2014-10-23,62.080002,62.849998,61.970001,62.34,3322300,60.195906
2014-10-24,62.119999,62.450001,61.700001,62.080002,3162000,59.94485
2014-10-27,62.080002,62.900002,62.080002,62.830002,2501300,60.669055
2014-10-28,62.669998,62.82,62.02,62.700001,2786200,60.543525
2014-10-29,62.59,63.259998,62.27,62.720001,2867900,60.562838
2014-10-30,62.290001,63.369999,62.25,63.25,2756300,61.074608
2014-10-31,63.98,64.199997,62.939999,63.32,3400900,61.1422
2014-11-03,64.099998,64.129997,63.23,63.900002,3536800,61.702254
2014-11-04,63.82,64.089996,63.52,63.860001,2776600,61.663629
2014-11-05,64.0,64.279999,63.549999,63.720001,3104800,61.528444
2014-11-06,63.790001,64.629997,63.459999,64.559998,3647600,62.33955
