Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,67.339996,67.760002,66.5,66.699997,803400,64.693763
2014-05-02,67.0,67.900002,66.440002,67.07,676800,65.052637
2014-05-05,66.529999,67.279999,66.339996,66.82,483200,64.810156
2014-05-06,66.730003,66.800003,65.300003,65.309998,807500,63.345573
2014-05-07,65.290001,65.489998,63.810001,64.349998,1143200,62.414449
2014-05-08,64.389999,65.269997,64.220001,64.43,814700,62.492044
2014-05-09,64.639999,65.550003,64.160004,65.440002,700500,63.471667
2014-05-12,65.769997,66.589996,65.57,66.5,608000,64.499782
2014-05-13,65.720001,65.949997,64.470001,64.720001,1075800,62.773323
2014-05-14,64.519997,64.589996,63.950001,64.150002,1309700,62.220468
2014-05-15,64.089996,64.089996,62.650002,63.16,1506400,61.413419
2014-05-16,63.150002,63.849998,62.830002,63.82,1165000,62.055168
2014-05-19,63.16,64.040001,62.900002,63.669998,750200,61.909314
2014-05-20,63.23,63.77,62.549999,63.59,1307800,61.831528
2014-05-21,63.630001,64.410004,63.400002,63.970001,941000,62.201021
2014-05-22,64.019997,64.459999,63.52,63.59,739900,61.831528
2014-05-23,63.700001,63.810001,63.290001,63.740002,574200,61.977382
2014-05-27,64.0,64.870003,63.529999,64.800003,1161000,63.008071
2014-05-28,64.650002,64.660004,63.68,63.740002,707000,61.977382
2014-05-29,63.740002,63.939999,63.189999,63.619999,929300,61.860697
2014-05-30,63.869999,65.18,63.73,65.019997,1052600,63.221981
2014-06-02,65.0,65.599998,64.669998,65.050003,1184700,63.251157
2014-06-03,65.290001,65.400002,64.620003,65.330002,863300,63.523413
2014-06-04,65.050003,65.410004,64.769997,65.18,474700,63.37756
2014-06-05,65.18,65.709999,64.68,65.540001,595300,63.727605
2014-06-06,65.900002,66.470001,65.790001,65.989998,488200,64.165158
2014-06-09,65.849998,66.669998,65.839996,66.190002,568500,64.359632
2014-06-10,65.989998,66.400002,65.5,65.650002,483900,63.834564
2014-06-11,65.449997,65.959999,65.32,65.900002,679600,64.077651
2014-06-12,65.57,65.720001,64.849998,65.050003,477600,63.251157
2014-06-13,64.959999,65.18,64.410004,65.0,410400,63.202537
2014-06-16,64.739998,64.800003,63.860001,64.360001,913900,62.580236
2014-06-17,64.199997,64.709999,63.98,64.449997,804200,62.667743
2014-06-18,64.269997,64.739998,64.0,64.559998,457200,62.774702
2014-06-19,64.620003,64.889999,64.150002,64.190002,593500,62.414939
2014-06-20,64.330002,64.330002,62.919998,63.049999,3306900,61.30646
2014-06-23,62.959999,63.57,62.490002,63.0,1273300,61.257844
2014-06-24,62.669998,63.139999,62.52,62.560001,883700,60.830012
2014-06-25,62.549999,62.82,62.240002,62.259998,2925600,60.538305
2014-06-26,62.439999,62.630001,60.639999,60.84,2428300,59.157575
2014-06-27,60.549999,60.68,59.75,60.209999,2848700,58.544995
2014-06-30,59.889999,60.84,59.779999,60.400002,2221600,58.729744
2014-07-01,60.549999,61.200001,60.349998,61.080002,1285800,59.39094
2014-07-02,61.029999,61.330002,60.849998,60.889999,926800,59.206191
2014-07-03,61.099998,62.119999,60.560001,61.650002,699800,59.945177
2014-07-07,61.66,61.790001,61.43,61.540001,786200,59.838218
2014-07-08,61.41,61.540001,60.68,60.790001,1026600,59.108958
2014-07-09,60.91,61.509998,60.799999,61.380001,1080900,59.682643
2014-07-10,58.200001,60.330002,57.200001,59.919998,9293200,58.263014
2014-07-11,60.0,60.369999,59.099998,60.349998,2332500,58.681123
2014-07-14,60.779999,61.0,60.119999,60.650002,1913000,58.97283
2014-07-15,60.41,61.189999,60.200001,60.98,1835600,59.293703
2014-07-16,60.740002,61.07,60.470001,60.950001,3404900,59.264534
2014-07-17,60.689999,62.080002,60.509998,61.099998,2522800,59.410383
2014-07-18,61.400002,62.419998,61.09,62.220001,1413400,60.499414
2014-07-21,61.98,62.099998,61.139999,61.619999,1427200,59.916004
2014-07-22,61.939999,62.0,61.459999,61.59,1164300,59.886835
2014-07-23,61.549999,61.970001,60.720001,61.07,1763800,59.381214
2014-07-24,63.900002,65.800003,63.349998,65.110001,4267100,63.309496
2014-07-25,64.830002,65.0,63.189999,63.470001,1630400,61.714848
2014-07-28,63.5,63.889999,63.119999,63.43,1013100,61.675953
2014-07-29,63.369999,64.110001,63.369999,63.540001,1094300,61.782912
2014-07-30,63.84,63.990002,63.32,63.810001,984700,62.045446
2014-07-31,63.560001,63.93,62.130001,62.169998,1314000,60.450794
2014-08-01,62.080002,62.439999,61.080002,61.32,1602900,59.624301
2014-08-04,61.349998,62.07,61.220001,61.810001,770000,60.100752
2014-08-05,61.470001,62.490002,61.380001,61.82,904200,60.110474
2014-08-06,61.349998,62.029999,60.91,61.34,1047500,59.643748
2014-08-07,61.48,61.810001,60.810001,60.91,639100,59.225639
2014-08-08,61.099998,61.779999,61.099998,61.75,769400,60.04241
2014-08-11,61.939999,62.25,61.610001,62.119999,578000,60.402177
2014-08-12,61.880001,62.490002,61.02,62.130001,569100,60.411903
2014-08-13,62.099998,62.279999,61.23,61.709999,770100,60.003515
2014-08-14,61.73,62.119999,61.360001,62.029999,594200,60.471456
2014-08-15,62.41,62.459999,60.650002,61.299999,1041500,59.759799
2014-08-18,61.779999,62.009998,61.299999,61.860001,878900,60.30573
2014-08-19,61.91,62.869999,61.91,62.32,907900,60.754171
2014-08-20,62.18,63.419998,61.990002,63.25,868900,61.660804
2014-08-21,63.049999,63.700001,62.619999,63.529999,1434000,61.933768
2014-08-22,63.639999,64.779999,63.529999,64.559998,1270700,62.937887
2014-08-25,64.889999,65.309998,64.620003,65.269997,1339200,63.630047
