Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,45.91,46.0,45.150002,45.23,9211400,41.830905
2014-05-02,45.57,45.970001,45.25,45.779999,6002400,42.339571
2014-05-05,45.490002,45.860001,45.380001,45.720001,3970900,42.284083
2014-05-06,45.630001,45.860001,45.32,45.380001,4431200,41.969634
2014-05-07,45.330002,45.66,45.080002,45.580002,4491500,42.154604
2014-05-08,45.59,46.599998,45.369999,46.110001,6113600,42.644773
2014-05-09,46.040001,46.18,45.48,45.84,5549800,42.395063
2014-05-12,46.130001,47.150002,45.98,46.950001,6529000,43.421646
2014-05-13,46.91,47.009998,46.099998,46.139999,8041500,42.672517
2014-05-14,45.830002,46.279999,45.459999,45.610001,6239800,42.182349
2014-05-15,45.529999,45.66,44.68,44.889999,8456000,41.516456
2014-05-16,45.119999,45.220001,44.75,44.990002,6593500,41.608943
2014-05-19,45.209999,45.830002,45.130001,45.599998,4692100,42.173098
2014-05-20,45.419998,45.830002,45.380001,45.709999,4440100,42.274832
2014-05-21,45.939999,45.950001,45.349998,45.650002,3993300,42.219343
2014-05-22,45.740002,46.259998,45.619999,46.139999,4279700,42.672517
2014-05-23,46.080002,46.299999,45.919998,46.25,3864500,42.774251
2014-05-27,46.380001,46.790001,46.240002,46.349998,4594900,42.866735
2014-05-28,46.290001,46.529999,45.970001,46.459999,3976400,42.968469
2014-05-29,46.57,46.66,46.389999,46.66,2975300,43.153439
2014-05-30,46.84,47.0,46.439999,46.98,4576100,43.44939
2014-06-02,47.0,47.240002,46.779999,46.990002,3379700,43.458641
2014-06-03,46.93,47.189999,46.779999,46.990002,3955200,43.458641
2014-06-04,47.189999,47.189999,46.77,46.849998,3497700,43.329159
2014-06-05,45.860001,47.490002,45.650002,47.400002,4038200,43.837829
2014-06-06,47.689999,47.77,47.380001,47.5,2965800,43.930312
2014-06-09,47.540001,47.970001,47.48,47.880001,4376700,44.281756
2014-06-10,47.779999,47.98,47.650002,47.970001,2697000,44.364992
