Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,204.100006,207.309998,203.360001,206.089996,14273200,50.391749
2014-05-02,205.740005,207.100006,204.0,204.419998,10908800,49.983412
2014-05-05,203.75,207.880005,203.0,207.130005,13792800,50.646045
2014-05-06,206.699997,207.020004,205.199997,205.360001,10873200,50.213255
2014-05-07,207.009995,209.0,204.440002,208.699997,14732000,51.029929
2014-05-08,208.929993,212.100006,208.610001,210.899994,14613600,51.567857
2014-05-09,210.179993,210.869995,208.149994,210.809998,11795600,51.545852
2014-05-12,211.080002,212.479996,211.029999,211.699997,8732800,51.763469
2014-05-13,211.990005,212.690002,211.399994,212.059998,7137600,51.851494
2014-05-14,211.199997,211.880005,209.860001,209.860001,6838000,51.410538
2014-05-15,209.0,209.690002,206.419998,207.449997,12685200,50.820147
2014-05-16,207.589996,210.089996,207.589996,209.809998,12279600,51.398289
2014-05-19,209.380005,210.979996,208.850006,210.360001,7039600,51.533026
2014-05-20,210.320007,210.320007,207.399994,207.919998,8740000,50.935285
2014-05-21,208.850006,210.669998,208.589996,210.100006,9096400,51.469334
2014-05-22,210.130005,210.279999,208.699997,209.369995,16870000,51.290499
2014-05-23,209.990005,212.270004,209.710007,212.070007,11117600,51.951935
2014-05-27,212.990005,214.520004,212.820007,214.5,9676800,52.547224
2014-05-28,214.5,214.5,213.009995,213.800003,7223200,52.375742
2014-05-29,214.0,214.690002,213.5,214.669998,5260400,52.588869
2014-05-30,215.880005,215.949997,213.330002,214.830002,6136400,52.628066
2014-06-02,215.369995,215.690002,212.839996,213.520004,6364000,52.307149
2014-06-03,213.029999,213.229996,210.800003,211.320007,9011600,51.768204
2014-06-04,211.160004,211.429993,209.449997,211.429993,12589600,51.795148
2014-06-05,212.119995,212.5,210.619995,212.220001,6597600,51.98868
2014-06-06,212.529999,213.399994,211.610001,213.0,10002400,52.179761
2014-06-09,213.490005,213.990005,211.630005,212.580002,5516400,52.076872
2014-06-10,213.0,214.779999,212.75,214.25,6835600,52.48598
2014-06-11,212.990005,213.910004,212.119995,212.679993,6758000,52.101367
2014-06-12,212.389999,213.169998,211.229996,211.770004,6218000,51.878442
2014-06-13,211.869995,212.070007,210.850006,211.289993,7085200,51.760851
2014-06-16,210.880005,210.990005,209.970001,210.240005,7899200,51.50363
2014-06-17,210.139999,211.919998,209.899994,210.809998,5722400,51.643264
2014-06-18,210.449997,211.25,209.029999,211.25,10326000,51.751054
2014-06-19,211.470001,212.160004,208.020004,210.320007,15331200,51.523229
2014-06-20,211.520004,212.119995,209.100006,209.490005,18358800,51.319899
2014-06-23,209.0,209.809998,208.179993,209.470001,14765200,51.314998
2014-06-24,209.270004,210.589996,207.380005,207.789993,13089600,50.903437
2014-06-25,207.309998,210.490005,207.309998,209.059998,8244800,51.214557
2014-06-26,209.830002,209.860001,207.559998,208.960007,8580400,51.190062
2014-06-27,208.100006,209.899994,207.860001,209.279999,12961200,51.268452
2014-06-30,208.660004,211.740005,208.5,210.710007,9961600,51.618769
2014-07-01,211.949997,215.350006,211.830002,214.25,10993600,52.48598
2014-07-02,214.880005,215.490005,214.25,214.839996,5768800,52.630515
2014-07-03,215.309998,217.0,215.100006,216.509995,5571600,53.039623
2014-07-07,216.429993,217.550003,215.639999,216.740005,6612400,53.09597
2014-07-08,216.770004,216.889999,213.149994,215.259995,12149200,52.733404
2014-07-09,215.5,216.279999,214.509995,216.160004,5177200,52.953884
2014-07-10,213.800003,216.889999,212.679993,215.539993,8536800,52.801997
2014-07-11,215.949997,217.039993,214.369995,217.0,5696800,53.159662
2014-07-14,218.75,222.360001,217.649994,221.029999,13716400,54.146913
2014-07-15,221.669998,224.75,220.899994,221.779999,10900800,54.330645
2014-07-16,222.940002,223.160004,221.080002,222.669998,8853200,54.548673
2014-07-17,221.940002,222.0,217.830002,217.880005,9806000,53.375242
2014-07-18,219.179993,221.889999,218.919998,220.199997,11068000,53.943583
2014-07-21,219.529999,220.130005,218.509995,219.220001,6168400,53.703508
2014-07-22,220.919998,222.589996,220.610001,221.259995,7699200,54.203256
2014-07-23,221.490005,222.539993,220.679993,221.199997,8189200,54.188558
2014-07-24,223.389999,223.850006,221.830002,222.740005,11947600,54.565823
2014-07-25,214.100006,216.699997,211.339996,214.770004,27530400,52.613368
2014-07-28,214.419998,214.960007,213.119995,214.220001,10401600,52.478631
2014-07-29,214.399994,215.710007,213.330002,213.5,10577200,52.302249
2014-07-30,213.490005,214.789993,213.449997,214.059998,10422800,52.439434
2014-07-31,213.270004,213.360001,211.009995,211.009995,13874000,51.692258
2014-08-01,209.869995,213.059998,209.779999,211.809998,14100000,51.88824
2014-08-04,212.850006,213.169998,211.520004,212.160004,8079600,51.973982
2014-08-05,211.5,212.389999,209.169998,210.539993,11151200,51.57712
2014-08-06,209.979996,211.380005,209.809998,210.690002,7528400,51.613868
2014-08-07,211.179993,211.449997,208.600006,209.039993,9568000,51.209657
2014-08-08,208.880005,210.550003,208.210007,210.460007,9256800,51.557525
2014-08-11,211.039993,211.220001,210.029999,210.580002,9018400,51.586921
2014-08-12,210.089996,211.199997,209.449997,210.300003,6442000,51.518328
2014-08-13,210.949997,212.100006,210.460007,211.429993,6451200,51.893854
2014-08-14,212.089996,212.589996,211.309998,212.520004,7136800,52.161389
2014-08-15,212.889999,213.320007,209.929993,210.190002,8999600,51.589508
2014-08-18,211.490005,214.429993,211.270004,214.320007,8352400,52.603186
2014-08-19,214.75,215.690002,214.130005,215.0,8212400,52.770085
2014-08-20,214.580002,216.440002,214.429993,216.199997,7296800,53.064615
2014-08-21,216.5,216.970001,215.710007,215.75,5544000,52.954167
2014-08-22,216.199997,216.949997,215.300003,216.089996,7145600,53.037616
2014-08-25,217.199997,217.320007,215.850006,216.020004,4962400,53.020437
2014-08-26,216.490005,218.0,216.179993,216.729996,6944000,53.194699
2014-08-27,217.119995,217.529999,215.289993,217.130005,8035600,53.292878
2014-08-28,215.0,215.740005,213.770004,214.600006,11083600,52.67191
