Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,59.959999,60.459999,59.66,59.91,895000,59.91
2014-05-02,60.43,60.43,59.639999,59.73,552600,59.73
2014-05-05,59.34,60.310001,59.099998,60.25,533900,60.25
2014-05-06,60.099998,60.360001,59.700001,59.849998,327900,59.849998
2014-05-07,59.880001,60.029999,59.110001,59.73,652500,59.73
2014-05-08,59.540001,60.669998,59.189999,60.200001,586500,60.200001
2014-05-09,60.310001,60.970001,59.939999,60.529999,460300,60.529999
2014-05-12,60.73,61.68,60.369999,61.450001,470700,61.450001
2014-05-13,61.650002,61.650002,60.650002,60.82,400700,60.82
2014-05-14,60.540001,61.290001,60.540001,60.91,348600,60.91
2014-05-15,60.860001,60.860001,59.48,60.25,549300,60.25
2014-05-16,60.259998,60.98,59.779999,60.970001,466900,60.970001
2014-05-19,60.68,61.560001,60.619999,61.16,554600,61.16
2014-05-20,61.25,61.48,60.52,60.740002,584900,60.740002
2014-05-21,60.830002,61.279999,60.619999,60.990002,478100,60.990002
2014-05-22,60.889999,61.32,60.549999,60.630001,689600,60.630001
2014-05-23,60.889999,61.029999,60.540001,60.950001,462600,60.950001
2014-05-27,61.029999,61.139999,60.66,61.130001,437700,61.130001
2014-05-28,61.25,61.25,60.529999,60.540001,481200,60.540001
2014-05-29,60.549999,61.02,60.490002,60.810001,361700,60.810001
2014-05-30,61.0,61.0,59.189999,59.189999,3349800,59.189999
2014-06-02,59.310001,59.689999,59.110001,59.57,836200,59.57
2014-06-03,59.48,60.209999,59.41,59.919998,501200,59.919998
2014-06-04,59.73,61.0,59.73,60.880001,1029700,60.880001
2014-06-05,61.0,61.41,60.849998,61.34,579700,61.34
2014-06-06,61.610001,61.849998,61.240002,61.34,378100,61.34
2014-06-09,61.189999,61.830002,61.029999,61.790001,362300,61.790001
2014-06-10,61.650002,61.919998,61.099998,61.189999,374100,61.189999
2014-06-11,60.98,61.18,60.75,61.139999,318500,61.139999
2014-06-12,61.07,61.189999,60.470001,60.599998,457200,60.599998
2014-06-13,60.639999,60.73,60.27,60.419998,468900,60.419998
2014-06-16,60.529999,61.009998,60.439999,60.799999,653200,60.799999
2014-06-17,60.68,61.0,60.279999,60.380001,636100,60.380001
2014-06-18,60.459999,60.669998,59.810001,59.990002,525400,59.990002
2014-06-19,62.959999,62.959999,59.810001,60.200001,797000,60.200001
2014-06-20,60.080002,60.77,60.009998,60.459999,1016800,60.459999
2014-06-23,60.310001,60.59,59.880001,60.369999,719900,60.369999
2014-06-24,60.41,60.630001,59.439999,59.540001,1070900,59.540001
2014-06-25,59.580002,59.720001,59.169998,59.23,904200,59.23
