Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,68.029999,70.07,67.75,69.43,7852200,65.744257
2014-05-02,69.43,69.800003,68.639999,68.860001,4238400,65.204516
2014-05-05,68.699997,70.0,68.599998,69.849998,4172200,66.141959
2014-05-06,69.449997,69.790001,68.739998,68.779999,3863700,65.128761
2014-05-07,69.150002,69.970001,68.050003,69.870003,4197900,66.160902
2014-05-08,69.349998,71.019997,68.400002,68.690002,7113400,65.043543
2014-05-09,68.699997,68.82,68.019997,68.660004,5083200,65.015136
2014-05-12,69.160004,69.669998,69.010002,69.349998,4067900,65.668502
2014-05-13,69.629997,69.68,68.919998,69.57,2993400,65.876824
2014-05-14,69.220001,69.400002,68.400002,68.610001,3316300,64.967788
2014-05-15,68.769997,68.769997,67.5,68.110001,5399500,64.494331
2014-05-16,68.0,68.589996,67.57,67.769997,4726500,64.172376
2014-05-19,67.919998,70.43,67.910004,69.540001,8322600,66.155916
2014-05-20,69.160004,69.5,68.690002,68.879997,3526000,65.528031
2014-05-21,69.120003,69.389999,68.660004,68.849998,2177500,65.499492
2014-05-22,68.82,69.910004,68.25,69.830002,9353200,66.431805
2014-05-23,69.870003,70.400002,69.739998,69.790001,4880200,66.39375
2014-05-27,69.980003,70.629997,69.860001,70.239998,3800500,66.821849
2014-05-28,70.019997,70.550003,69.790001,69.809998,2888500,66.412774
2014-05-29,70.07,71.470001,69.910004,71.110001,4405300,67.649514
2014-05-30,70.839996,71.970001,70.75,71.910004,4645800,68.410586
2014-06-02,71.610001,72.459999,71.220001,72.010002,4270200,68.505718
2014-06-03,71.860001,71.940002,71.480003,71.559998,3647300,68.077612
2014-06-04,71.919998,75.160004,71.769997,74.559998,12767700,70.931621
2014-06-05,74.169998,75.620003,72.690002,75.599998,8565400,71.921011
2014-06-06,75.68,75.839996,74.75,75.029999,4972600,71.37875
2014-06-09,74.699997,75.169998,74.519997,74.919998,3697100,71.274102
2014-06-10,74.699997,74.989998,74.129997,74.739998,2609800,71.102861
2014-06-11,74.5,74.970001,74.290001,74.669998,2687400,71.036268
2014-06-12,74.370003,74.480003,72.370003,72.470001,7302400,68.943332
2014-06-13,72.790001,73.559998,72.790001,73.059998,4172300,69.504616
2014-06-16,72.900002,73.620003,72.300003,73.290001,4831300,69.723427
2014-06-17,72.949997,73.400002,72.43,73.099998,2956300,69.542671
2014-06-18,74.940002,76.169998,74.110001,76.080002,8847900,72.377656
2014-06-19,76.209999,76.389999,75.360001,75.389999,6472800,71.721231
2014-06-20,75.589996,75.589996,74.449997,74.540001,6545500,70.912597
2014-06-23,75.040001,75.279999,73.440002,73.730003,7992000,70.142017
2014-06-24,73.099998,73.900002,71.730003,72.480003,14048300,68.952847
2014-06-25,73.099998,74.709999,72.910004,74.190002,8676900,70.579631
2014-06-26,73.919998,74.419998,73.209999,74.230003,4102900,70.617685
2014-06-27,74.190002,74.43,73.660004,74.099998,4082500,70.494007
2014-06-30,74.480003,74.580002,73.980003,74.129997,4022000,70.522546
2014-07-01,74.300003,74.330002,73.379997,73.779999,4191900,70.18958
2014-07-02,73.760002,74.129997,72.849998,73.040001,5240300,69.485593
2014-07-03,73.309998,74.370003,73.230003,73.980003,4730100,70.379851
2014-07-07,73.870003,73.959999,73.239998,73.580002,3233200,69.999315
2014-07-08,73.139999,73.25,71.059998,71.120003,8850500,67.659029
2014-07-09,71.790001,72.290001,71.519997,71.949997,5097800,68.448633
2014-07-10,71.019997,71.629997,70.68,71.529999,3910600,68.049073
2014-07-11,71.150002,71.760002,71.029999,71.660004,2690000,68.172752
2014-07-14,72.040001,72.080002,71.099998,71.489998,4172800,68.011019
2014-07-15,71.459999,71.889999,71.010002,71.589996,5703700,68.106151
2014-07-16,71.919998,72.410004,70.610001,71.419998,11340300,67.944426
2014-07-17,70.839996,71.620003,69.910004,70.18,5152900,66.764771
2014-07-18,70.330002,72.330002,70.239998,71.970001,6967200,68.467664
2014-07-21,71.660004,72.089996,71.019997,71.669998,3613200,68.18226
2014-07-22,72.389999,73.260002,72.25,72.860001,6258700,69.314352
2014-07-23,72.610001,72.970001,72.360001,72.900002,7215000,69.352406
2014-07-24,73.080002,73.75,72.550003,73.080002,6606500,69.523647
2014-07-25,72.879997,73.330002,72.699997,73.290001,3367700,69.723427
2014-07-28,73.309998,73.349998,71.389999,71.449997,5145800,67.972965
2014-07-29,71.440002,71.489998,70.150002,70.160004,4900000,66.745747
2014-07-30,70.709999,71.019997,70.099998,70.889999,4831100,67.440219
2014-07-31,70.419998,70.760002,68.480003,68.769997,9358900,65.423384
2014-08-01,68.0,70.940002,68.0,70.529999,8120600,67.097737
2014-08-04,71.029999,72.910004,70.949997,72.110001,8935900,68.60085
2014-08-05,71.900002,72.760002,66.5,69.120003,31355500,65.756357
2014-08-06,57.98,61.5,57.75,59.209999,84130100,56.328612
2014-08-07,60.619999,61.18,58.93,60.869999,33620800,57.90783
2014-08-08,61.040001,62.560001,60.669998,60.700001,26909900,57.746105
2014-08-11,61.700001,62.169998,61.34,61.990002,10249300,58.973329
2014-08-12,62.150002,62.279999,61.330002,62.16,12393200,59.135055
2014-08-13,62.540001,62.84,62.119999,62.450001,6934900,59.410943
2014-08-14,62.509998,62.84,62.09,62.25,6360500,59.220675
2014-08-15,62.450001,62.490002,61.48,61.75,8870800,58.745007
2014-08-18,62.369999,62.389999,61.650002,62.07,7346500,59.049434
2014-08-19,62.0,62.470001,61.740002,62.150002,6918100,59.449273
2014-08-20,61.990002,62.299999,61.790001,62.0,6664100,59.30579
2014-08-21,62.110001,62.110001,61.029999,61.07,7879100,58.416203
2014-08-22,61.139999,61.580002,60.860001,61.049999,6176100,58.397071
2014-08-25,61.34,61.34,60.669998,60.790001,5238300,58.148371
2014-08-26,60.919998,61.080002,60.450001,60.93,4128600,58.282287
2014-08-27,60.970001,61.18,60.43,60.529999,3908000,57.899667
2014-08-28,60.290001,60.639999,60.23,60.470001,3548100,57.842277
2014-08-29,60.580002,60.869999,60.259998,60.52,3189200,57.890104
2014-09-02,60.23,60.740002,59.990002,60.009998,5430800,57.402264
2014-09-03,59.919998,60.43,59.82,60.220001,5032700,57.603141
2014-09-04,60.27,62.5,60.080002,62.459999,16255500,59.7458
2014-09-05,62.290001,65.0,61.900002,63.950001,20600400,61.171053
2014-09-08,64.309998,65.190002,62.830002,62.959999,8897600,60.224072
2014-09-09,63.240002,63.740002,62.41,62.610001,7663400,59.889283
2014-09-10,62.689999,63.57,62.560001,63.32,5923300,60.568429
2014-09-11,63.23,63.48,62.869999,63.439999,3143100,60.683213
2014-09-12,63.459999,63.669998,62.560001,62.82,4728400,60.090156
2014-09-15,63.07,63.080002,62.32,62.720001,3711200,59.994503
2014-09-16,62.639999,64.050003,62.43,63.639999,4268800,60.874523
2014-09-17,63.630001,64.269997,63.330002,63.73,4767700,60.960612
2014-09-18,63.48,63.68,62.889999,63.18,5643000,60.434513
2014-09-19,63.560001,63.779999,62.84,62.880001,5705200,60.14755
2014-09-22,62.130001,62.130001,59.950001,60.419998,11087200,57.794447
2014-09-23,60.290001,61.709999,60.119999,61.099998,9194700,58.444898
2014-09-24,61.23,61.849998,61.130001,61.52,7328100,58.846649
2014-09-25,61.41,61.549999,60.459999,60.490002,5290600,57.861408
2014-09-26,60.5,60.700001,59.959999,60.18,7464300,57.564878
2014-09-29,60.0,60.169998,59.259998,59.599998,8862600,57.01008
2014-09-30,60.389999,61.34,58.389999,59.27,11411100,56.694422
2014-10-01,59.580002,59.84,58.630001,59.040001,6018600,56.474417
2014-10-02,59.02,59.91,58.52,59.759998,5308000,57.163127
2014-10-03,60.509998,61.669998,60.200001,60.77,8758600,58.12924
2014-10-06,61.040001,61.09,60.459999,60.650002,4794200,58.014455
2014-10-07,60.18,60.650002,59.759998,59.84,4381100,57.239653
2014-10-08,60.09,61.52,59.950001,61.459999,4981300,58.789255
