Date,Open,High,Low,Close,Volume,Adj Close
2015-06-24,63.450001,63.450001,63.380001,63.380001,3300,59.313205
2015-06-25,62.900002,62.900002,61.900002,61.900002,3700,57.92817
2015-06-26,61.900002,61.900002,61.900002,61.900002,100,57.92817
2015-06-29,60.919998,60.919998,60.799999,60.799999,300,56.898749
2015-06-30,61.330002,61.400002,60.330002,60.900002,1815500,56.992335
2015-07-01,60.740002,62.400002,60.630001,62.400002,192400,58.396087
2015-07-02,63.0,65.0,62.400002,64.989998,1745000,60.819896
2015-07-06,65.120003,66.400002,62.990002,63.75,2092300,59.659462
2015-07-07,63.91,63.990002,61.540001,62.470001,3053100,58.461595
2015-07-08,62.5,63.900002,59.5,59.709999,3784300,55.878689
2015-07-09,59.5,60.93,58.509998,59.509998,2284200,55.691522
2015-07-10,59.970001,61.599998,59.400002,61.400002,2237000,57.460252
2015-07-13,62.040001,62.25,61.610001,62.119999,1249000,58.134051
2015-07-14,62.099998,63.049999,61.439999,62.189999,994800,58.199559
2015-07-15,62.25,62.93,61.130001,61.619999,1209900,57.666134
2015-07-16,61.700001,63.68,61.535999,62.32,1365900,58.321219
2015-07-17,62.619999,63.25,61.639999,61.75,1213200,57.787793
2015-07-20,62.0,62.93,61.5,61.549999,1977000,57.600625
2015-07-21,61.84,62.860001,59.619999,59.849998,1801000,56.009706
2015-07-22,60.349998,61.139999,59.57,60.139999,900100,56.281099
2015-07-23,59.77,60.779999,59.349998,59.849998,1124700,56.009706
2015-07-24,59.549999,59.950001,57.66,58.91,1154600,55.130022
2015-07-27,58.450001,59.419998,57.865002,58.189999,1255200,54.45622
2015-07-28,58.52,59.75,57.490002,59.34,1636700,55.532432
2015-07-29,58.880001,59.73,58.080002,59.389999,1790200,55.579223
2015-07-30,61.360001,63.189999,61.040001,62.830002,3530100,58.798496
2015-07-31,61.5,63.75,61.16,63.060001,1624900,59.013738
2015-08-03,63.369999,64.739998,62.389999,63.169998,2128000,59.116677
2015-08-04,62.25,63.450001,62.240002,62.57,703000,58.555177
2015-08-05,63.290001,63.959999,62.220001,62.75,1499400,58.723628
2015-08-06,62.0,62.5,60.48,61.740002,2536800,57.778436
2015-08-07,61.68,62.610001,60.98,62.560001,2060900,58.54582
2015-08-10,62.990002,63.5,61.900002,62.98,1424100,59.294292
2015-08-11,64.0,64.0,61.709999,63.400002,1726300,59.689715
2015-08-12,63.400002,63.869999,61.709999,63.310001,1389100,59.604982
2015-08-13,63.259998,63.798,62.349998,63.130001,844300,59.435516
2015-08-14,63.130001,63.810001,61.959,63.23,938700,59.529662
2015-08-17,62.630001,63.41,62.630001,63.34,714200,59.633225
2015-08-18,63.02,63.580002,62.91,63.16,806200,59.463759
2015-08-19,62.98,63.290001,62.07,62.07,1076900,58.437547
2015-08-20,61.75,61.75,60.380001,60.68,1297300,57.128893
2015-08-21,60.220001,60.264999,58.630001,59.009998,1958400,55.556623
2015-08-24,56.66,60.290001,53.48,56.459999,2146000,53.155855
2015-08-25,58.299999,58.369999,55.009998,55.5,2348700,52.252036
2015-08-26,57.130001,57.939999,55.150002,56.450001,1860500,53.146441
2015-08-27,58.240002,59.25,57.740002,59.220001,1874600,55.754336
2015-08-28,59.32,60.419998,59.220001,60.259998,1508700,56.733471
2015-08-31,60.09,60.23,58.639999,59.349998,1681300,55.876726
2015-09-01,58.5,59.119999,57.66,58.43,1851500,55.010568
2015-09-02,58.919998,59.439999,57.450001,58.169998,1237800,54.765781
2015-09-03,58.349998,59.639999,58.18,58.720001,1105600,55.283597
2015-09-04,57.259998,58.330002,57.25,57.349998,821100,53.99377
2015-09-08,58.139999,58.68,57.689999,58.599998,625500,55.170617
2015-09-09,59.0,60.060001,58.130001,58.25,1079400,54.841101
2015-09-10,58.130001,59.41,58.029999,58.740002,1663000,55.302427
2015-09-11,58.5,59.779999,58.02,58.75,1032800,55.31184
2015-09-14,58.75,59.619999,57.549999,59.580002,1485300,56.093269
2015-09-15,62.990002,62.990002,58.669998,59.68,1421800,56.187415
2015-09-16,59.23,59.23,57.009998,58.790001,1965000,55.3495
2015-09-17,58.68,59.18,57.380001,57.73,1228600,54.351532
2015-09-18,56.970001,57.330002,55.599998,55.700001,2215400,52.440333
2015-09-21,57.68,57.68,55.490002,55.860001,1649300,52.590969
2015-09-22,56.990002,56.990002,53.450001,53.939999,1991900,50.783329
2015-09-23,53.830002,55.02,52.580002,52.790001,1841300,49.700632
2015-09-24,51.009998,52.450001,50.5,52.310001,2477600,49.248722
2015-09-25,52.57,52.779999,51.669998,51.950001,1469200,48.90979
2015-09-28,51.360001,51.919998,49.900002,49.970001,1764800,47.045663
2015-09-29,49.380001,51.27,48.799999,50.57,1774600,47.610549
2015-09-30,54.759998,54.759998,50.619999,51.439999,1591800,48.429634
2015-10-01,55.220001,56.049999,51.09,52.0,2199800,48.956863
2015-10-02,49.990002,53.049999,49.990002,53.009998,1927900,49.907754
2015-10-05,53.400002,54.380001,53.110001,54.099998,1544700,50.933966
2015-10-06,54.360001,55.049999,53.970001,54.310001,2160800,51.131679
2015-10-07,51.540001,54.830002,51.540001,54.060001,2451400,50.896309
2015-10-08,53.919998,54.639999,53.560001,54.189999,1810400,51.018699
2015-10-09,55.009998,57.720001,55.009998,57.57,3475500,54.200896
2015-10-12,57.529999,57.59,55.48,56.330002,1297300,53.033465
2015-10-13,55.66,56.799999,55.450001,55.540001,1769000,52.289696
2015-10-14,55.580002,56.189999,55.279999,55.759998,1020400,52.496819
2015-10-15,55.57,56.130001,54.950001,56.009998,876800,52.732189
2015-10-16,57.849998,57.849998,54.759998,55.790001,1397000,52.525066
2015-10-19,55.189999,55.729,53.661999,54.27,1440200,51.094019
2015-10-20,53.84,54.439999,51.360001,53.759998,1125900,50.613863
2015-10-21,54.200001,54.200001,51.75,52.57,1553000,49.493505
2015-10-22,53.169998,53.759998,51.93,52.5,1879300,49.427602
2015-10-23,52.689999,53.709999,52.639999,53.369999,1502200,50.246687
2015-10-26,53.299999,53.355,52.189999,53.259998,1164100,50.143124
2015-10-27,52.790001,53.310001,52.169998,53.07,1021600,49.964244
2015-10-28,54.799999,54.919998,52.959999,54.41,1828700,51.225825
2015-10-29,52.709999,54.830002,52.02,54.060001,1101200,50.896309
2015-10-30,54.110001,54.560001,53.759998,53.759998,1046000,50.613863
2015-11-02,53.560001,54.650002,53.52,54.099998,1169700,50.933966
2015-11-03,51.02,53.82,51.02,53.220001,1388200,50.105467
2015-11-04,54.84,54.84,53.119999,53.25,1021700,50.133711
2015-11-05,49.98,52.59,48.200001,51.380001,3935000,48.373147
2015-11-06,50.919998,53.73,50.919998,53.66,1404600,50.519716
2015-11-09,51.130001,54.09,51.119999,51.900002,1495500,48.862717
2015-11-10,52.59,52.59,50.330002,51.330002,1202600,48.326074
2015-11-11,50.439999,51.950001,50.439999,51.560001,801000,48.542614
2015-11-12,50.400002,50.919998,49.240002,49.27,1346500,46.386628
2015-11-13,48.919998,49.98,48.43,48.549999,1642000,45.708763
2015-11-16,48.599998,48.744999,47.650002,47.93,2369700,45.125047
2015-11-17,46.290001,49.040001,46.290001,47.75,2299700,45.310082
2015-11-18,47.639999,49.619999,47.639999,49.57,1771500,47.037084
2015-11-19,49.290001,50.5,48.98,50.18,1537400,47.615915
2015-11-20,50.360001,50.700001,49.84,50.110001,986300,47.549492
2015-11-23,49.110001,50.889999,49.110001,50.400002,1194300,47.824675
2015-11-24,52.619999,52.619999,50.040001,50.5,1721700,47.919564
2015-11-25,49.93,51.02,48.990002,50.279999,926100,47.710804
2015-11-27,50.119999,50.68,49.991001,50.41,289000,47.834162
2015-11-30,52.099998,52.099998,50.52,50.630001,1461800,48.042922
2015-12-01,50.779999,51.720001,50.400002,51.02,1055800,48.412993
2015-12-02,49.77,51.57,49.77,50.369999,1084300,47.796205
2015-12-03,52.099998,52.099998,50.009998,50.529999,1244200,47.94803
2015-12-04,50.669998,50.779999,49.779999,50.419998,827700,47.84365
2015-12-07,49.310001,50.419998,48.900002,48.959999,1540500,46.458253
2015-12-08,48.860001,49.18,47.98,48.0,1232200,45.547308
2015-12-09,48.139999,48.82,47.5,48.049999,1529200,45.594752
2015-12-10,47.029999,48.34,46.5,46.91,3138900,44.513004
2015-12-11,46.18,46.98,45.610001,45.759998,1569300,43.421765
2015-12-14,45.650002,45.93,43.900002,44.150002,2078600,41.894036
2015-12-15,44.669998,45.562,43.549999,43.57,3263600,41.343671
