Date,Open,High,Low,Close,Volume,Adj Close
2014-05-01,101.959999,102.389999,101.199997,101.410004,11161700,91.042616
2014-05-02,101.279999,102.910004,100.980003,102.010002,11168100,91.581275
2014-05-05,101.690002,103.129997,101.580002,102.910004,7614200,92.389267
2014-05-06,102.599998,103.300003,102.410004,102.669998,9669800,92.173798
2014-05-07,103.120003,103.449997,102.790001,103.110001,11007400,92.568818
2014-05-08,103.089996,103.290001,102.169998,102.32,8922500,91.859581
2014-05-09,101.709999,102.18,101.260002,101.949997,8948800,92.148813
2014-05-12,102.330002,102.349998,101.529999,102.230003,8830500,92.401901
2014-05-13,102.18,102.709999,101.940002,102.360001,7528800,92.5194
2014-05-14,102.360001,102.68,102.110001,102.290001,6999200,92.45613
2014-05-15,102.0,102.419998,100.330002,100.779999,13658700,91.091295
2014-05-16,100.589996,101.0,100.32,100.739998,10369200,91.05514
2014-05-19,100.419998,101.110001,100.419998,100.870003,5851400,91.172647
2014-05-20,100.690002,101.080002,100.449997,100.669998,6134100,90.99187
2014-05-21,100.849998,102.220001,100.720001,102.029999,7747900,92.221124
2014-05-22,101.809998,101.970001,101.470001,101.5,5304300,91.742078
2014-05-23,101.550003,101.93,101.269997,101.32,5410900,91.579382
2014-05-27,101.610001,101.900002,100.93,101.360001,8359700,91.615537
2014-05-28,101.230003,102.07,101.050003,101.059998,7586700,91.344376
2014-05-29,101.540001,101.650002,101.019997,101.269997,6113700,91.534186
2014-05-30,100.800003,101.150002,100.370003,100.529999,11499000,90.86533
2014-06-02,100.529999,100.879997,99.669998,99.940002,7761300,90.332054
2014-06-03,99.589996,100.690002,99.589996,100.389999,9384200,90.738789
2014-06-04,100.209999,100.459999,99.959999,100.040001,7148800,90.422439
2014-06-05,100.099998,100.830002,99.959999,100.550003,12296100,90.883411
2014-06-06,100.610001,101.629997,100.599998,101.599998,9340900,91.832463
2014-06-09,101.449997,101.959999,101.190002,101.519997,6404800,91.760152
2014-06-10,101.480003,101.730003,101.0,101.459999,7917500,91.705922
2014-06-11,101.190002,102.330002,101.0,101.949997,10270300,92.148813
2014-06-12,102.459999,102.949997,101.57,101.660004,11421000,91.886699
2014-06-13,101.93,102.660004,101.629997,102.650002,8240300,92.781521
2014-06-16,102.57,103.25,102.169998,102.919998,8977600,93.025561
2014-06-17,102.580002,102.589996,101.449997,102.419998,9355400,92.57363
2014-06-18,102.57,102.949997,102.059998,102.730003,9575100,92.853832
2014-06-19,102.610001,102.839996,101.68,102.629997,11105600,92.76344
2014-06-20,103.279999,104.059998,102.940002,103.830002,17674400,93.84808
2014-06-23,104.110001,104.610001,103.879997,104.379997,8553700,94.3452
2014-06-24,104.18,104.470001,102.470001,102.730003,9708400,92.853832
2014-06-25,102.339996,102.620003,101.529999,102.139999,10714800,92.320549
2014-06-26,101.940002,102.379997,100.849998,102.029999,8424200,92.221124
2014-06-27,101.669998,101.790001,100.660004,101.209999,15147400,91.479957
2014-06-30,101.209999,101.269997,100.519997,100.68,9454800,91.00091
2014-07-01,101.150002,101.589996,100.790001,101.360001,8399600,91.615537
2014-07-02,101.150002,101.639999,101.040001,101.57,6954400,91.805348
2014-07-03,101.949997,103.269997,101.68,102.589996,6922600,92.727285
2014-07-07,102.330002,102.650002,102.019997,102.650002,7979600,92.781521
2014-07-08,102.330002,103.230003,102.169998,102.830002,9613600,92.944217
2014-07-09,102.959999,103.690002,102.809998,103.550003,7655300,93.594999
2014-07-10,102.879997,103.07,102.040001,102.57,8533700,92.709211
2014-07-11,102.400002,102.5,101.32,101.739998,7680800,91.959003
2014-07-14,102.169998,103.080002,102.160004,102.68,8253100,92.808636
2014-07-15,102.529999,102.599998,101.739998,102.389999,8755800,92.546515
2014-07-16,102.559998,103.790001,102.540001,103.769997,8870200,93.793843
2014-07-17,103.379997,103.889999,102.290001,102.309998,8145700,92.474204
2014-07-18,102.690002,102.959999,101.860001,102.730003,8208300,92.853832
2014-07-21,102.360001,103.190002,102.059998,103.080002,6632400,93.170183
2014-07-22,103.639999,104.190002,103.5,103.540001,7426300,93.585959
2014-07-23,103.639999,104.449997,103.529999,104.25,7007200,94.2277
